"Stage","Count"
"Total records identified",2325
"Litsearchr duplicates removed",651
"Records after litsearchr",1674
"Additional duplicates found",5
"Other language",2
"Additional exclusions during screening",7
"Records after all duplicates removed",1667
"Records screened (title/abstract)",1667
"Records excluded (title)",1338
"Records excluded (abstract)",245
"Records excluded (title/abstract total)",1583
"Reports sought for retrieval",84
"Reports not retrieved",4
"Reports assessed (full-text)",80
"Reports excluded (full-text)",31
"Final included studies",49
