"Master_Title","Clean_Title","Match_Type"
"Residential burglary target selection: An analysis at the property-level using Google Street View","Residential burglary target selection: An analysis at the property-level using Google Street View","Exact"
"Graffiti Writers Choose Locations That Optimize Exposure","Graffiti Writers Choose Locations That Optimize Exposure","Exact"
"Go where the money is: Modeling street robbers' location choices","Go where the money is: modeling street robbers' location choices","Exact"
"Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago","Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago","Exact"
"The usefulness of past crime data as an attractiveness index for residential burglars","The usefulness of past crime data as an attractiveness index for residential burglars","Exact"
"Role of the Street Network in Burglars' Spatial Decision-Making","ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *","Exact"
"discrete choice analysis of spatial attack sites","Discrete choice analysis of spatial attack sites","Exact"
"spatial analysis with preference specification of latent decision makers for criminal event prediction","Spatial analysis with preference specification of latent decision makers for criminal event prediction","Exact"
"Modelling the spatial decision making of terrorists: The discrete choice approach","Modelling the spatial decision making of terrorists: the discrete choice approach","Exact"
"Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces","Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces","Exact"
"Co-offending and the Choice of Target Areas in Burglary","Co-offending and the Choice of Target Areas in Burglary","Exact"
"How do residential burglars select target areas? : A new approach to the analysis of criminal location choice","HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice","Exact"
"Where offenders choose to attack: A discrete choice model of robberies in Chicago","WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO*","Exact"
"Location Location Location”: Effects of Neighborhood and House Attributes on Burglars’ Target Selection'","""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection","Exact"
"Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar’s Home Neighborhood Predict Offense Location?","Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?","Exact"
"familiar locations and similar activities examining the contributions of reliable and relevant knowledge in offenders crime location choices","Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices","Exact"
"Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions","Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions","Exact"
"Relationships Between Offenders’ Crime Locations and Different Prior Activity Locations as Recorded in Police Data","Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data","Exact"
"Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves’ Target Location Choices","Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices","Exact"
"Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice","Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice","Exact"
"Do Migrant and Native Robbers Target Different Places?","Do Migrant and Native Robbers Target Different Places?","Exact"
"Do juvenile, young adult, and adult offenders target different places in the Chinese context?","Do juvenile, young adult, and adult offenders target different places in the Chinese context?","Exact"
"Assessing the influence of prior on subsequent street robbery location choices: A case study in ZG City  China","Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China","Exact"
"Right place  right time? Making crime pattern theory time-specific","Right place, right time? Making crime pattern theory time-specific","Exact"
"The Influence of Activity Space and Visiting Frequency on Crime Location Choice: Findings from an Online Self-Report Survey","THE INFLUENCE OF ACTIVITY SPACE AND VISITING FREQUENCY ON CRIME LOCATION CHOICE: FINDINGS FROM AN ONLINE SELF-REPORT SURVEY","Exact"
"Burglars blocked by barriers The impact of physical and social barriers on residential burglars target location choices in China","Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China","Exact"
"Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model","Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model","Exact"
"Biting Once Twice: the Influence of Prior on Subsequent Crime Location Choice","BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *","Exact"
"Co-offenders' crime location choice: Do co-offending groups commit crimes in their shared awareness space?","CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?","Exact"
"Family Matters: Effects of Family Members’ Residential Areas on Crime Location Choice*","FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE *","Exact"
"A Time for a Crime: Temporal Aspects of Repeat Offenders’ Crime Location Choices","A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices","Exact"
"A Sentimental Journey To Crime : Effects of Residential History on Crime Location Choice","A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*","Exact"
"Modeling micro-level crime location choice: Application of the discrete choice framework to crime at places","Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places","Exact"
"Effects of Residential history on Commercial Robbers' Crime Location Choices","Effects of residential history on commercial robbers' crime location choices","Exact"
"Formal evaluation of the impact of barriers and connectors on residential burglars' macro-level offending location choices","Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices","Exact"
"Target Selection Models with Preference Variation Between Offenders","Target Selection Models with Preference Variation Between Offenders","Exact"
"Where Do Dealers Solicit Customers and Sell Them Drugs","Where Do Dealers Solicit Customers and Sell Them Drugs? A Micro-Level Multiple Method Study","Fuzzy (Master in Clean)"
"Adolescent offenders' current whereabouts predict locations of their future crime","Adolescent offenders' current whereabouts predict locations of their future crimes","Fuzzy (Master in Clean)"
