Title,Study_Period,Data_Collection_Period,Data_Sources,Data_Availability,Population_per_Unit,Quoted_Rationale,Rationale_Category,Justification_Summary,Country,City_Region,Study_Area_Size,Crime_Type,Crime_Types_All,Sample_Size,Number_of_Crimes_Analyzed,Number_of_Offenders,Sampling_Approach,Choice_Set_Definition,Alternative_Selection,Sample_Restrictions,Sample_Limitations,Study_Design,Discrete_Choice_Model,Estimation_Method,Model_Comparison,Sample_Size_Effects,Robustness_Checks,Significant_Predictors,Effect_Directions,Scale_Effects,Scale_Sensitivity,Scale_Recommendations,Scale_Limitations,Cross_Scale_Comparisons,Data_Quality_Issues,Missing_Data_Issues,Data_Source_Limitations,Measurement_Issues,Temporal_Limitations,Data_Limitations,Generalizability,Context_Specificity,Comparative_Limitations,Spatial_Scale_Recommendations,Data_Collection_Suggestions,Methodological_Improvements,Demographic_Variables,Demographic_Count,Economic_Variables,Economic_Count,Environmental_Variables,Environmental_Count,Distance_Variables,Distance_Count,Temporal_Variables,Temporal_Count,Total_Variables
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",2005-2014,"Not explicitly mentioned, but data was available up to 2011","Police-recorded information on burglars and residential burglaries; Census information on residences and neighborhoods in Ghent, Belgium",Limited to cleared burglaries; potential biases in selection of burglars and burglaries,Average of 1287 residents,"""The neighborhoods in this study are similarly constructed to the areas used in most previous discrete spatial choice studies and are comparable or smaller in size.""",Prior research / Theory–method,The spatial units were chosen for their comparability to previous studies and their suitability for analyzing burglary target choice at the residence level.,Belgium,Ghent,approximately 156 km²,Burglary,NA,679 burglaries.,679 burglaries.,577 unique burglars.,"Combining data on burglaries with data on residences and neighborhoods in Ghent, Belgium, using a discrete spatial choice approach.",'Residence' as the main unit of analysis.,Discrete choice framework evaluating neighborhood and residence attributes.,"Six criteria including cleared burglaries, residence in Ghent, available home addresses, one burglar per burglary, linked Census addresses, and prior offense records.",NA,Cross-sectional,Conditional logit,Not mentioned (typically maximum likelihood),Integrated main effects model has smallest AIC and BIC values,NA,NA,"Residential density, prior burglary activity, building construction type, number of residential units, rental status, distance from the offender's home.","Lower residential density, prior burglary activity, detached or single-unit buildings, renter-occupied residences, and proximity to the offender's home increase choice probability.","The study investigates burglary target selection at multiple spatial scales, focusing on both individual residences and neighborhood-level attributes. It emphasizes the importance of considering both individual property attributes and environmental attributes at multiple scales.","The use of ""statistical districts"" as neighborhoods indicates a specific spatial unit of analysis, which is comparable or smaller than those used in previous studies.",Not mentioned.,Not mentioned.,"The study highlights the novelty of its approach in considering multiple levels of spatial aggregation, but does not provide direct comparisons with studies using different scales.",Potential selectivity in the sample due to selection criteria.,Lack of personal data on burglars; absence of certain residential features and situational cues.,Census data lacks relevant variables for burglary target selection.,Neighborhood and residence data not measured at the same time as burglaries.,"Neighborhood and residence data only from 2011, not matching burglary period.",NA,"Findings may not be generalizable to other contexts or cities beyond Ghent, Belgium.","Findings are specific to the context of Ghent, Belgium.",Data collection at different times for burglary and neighborhood/residence data limits comparisons across time periods.,Not explicitly mentioned.,Not explicitly mentioned.,Not explicitly mentioned.,Population; Ethnic Heterogeneity; Rental Units; Household Size; Household Composition; Rental Status,6,Median income; Residential density; Proportion rental units; Higher real estate values; Higher population turnover rates,5,Residential Density; Building Type; Housing Characteristics; Prior Burglary Activity,4,Distance,1,Prior burglary in neighborhood; Distance from offender's home; Statistical districts; Single-offender selection; Conditional logit model; Generalized variance inflation factors (GVIFs),6,22
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,2004-2005,"Not explicitly mentioned, but inferred as during or after 2005","Police information system; population registration data (GBA); national database of demographic, social, and economic information on postal code areas",Reliable records of previous addresses; 85% of sample tracked back more than 5 years; 50% tracked back more than 10 years,"average population size of 4,900","""In terms of their size, shape, and topography, the postal code area is a useful approximation of the area one would expect people to be familiar with if they lived within it.""",Data availability / Admin convenience,Postal code areas are used because they are a practical and data-rich scale that reflects local familiarity and travel patterns,Netherlands,Greater The Hague,NA,Multiple,NA,"3,784 offenders","7,179 offenses","3,784 unique offenders",Random sample from police records,"Each of the 4,000 postal code areas as potential alternatives for each offense",Based on offender's residential history and crime location,Restricted to Dutch citizens with valid current residence,NA,Cross-sectional,Conditional logit (multinomial logit),Maximum likelihood,Not explicitly discussed,"Not directly addressed, but large sample size suggests robust findings",NA,"Current and former residential areas, duration of residence, recency of moving, proximity to these areas.",Living in an area increases the likelihood of committing a crime there; current residence has a stronger effect than former residence.,"The paper uses postal code areas as a spatial unit, which varies in size depending on urbanization levels. The likelihood of an area being chosen for a crime decreases with distance from the offender's home.",The likelihood of an area being chosen decreases by 17% for every kilometer further from the current residence and by 9% for every kilometer further from a former residence.,Not mentioned.,Not mentioned.,Not mentioned.,Missing information on past home addresses could lead to conservative estimates.,Residential histories for some offenders could only be reconstructed for the last 2 years; exclusions due to missing data on past addresses.,Reliable records of previous addresses are a strength but not common in other countries.,Use of postal code areas as a proxy for familiarity.,Data availability limited to 1994 onward.,NA,Limited to the Netherlands; may not generalize to other countries or contexts.,Findings specific to the Netherlands.,No direct comparisons across contexts or time periods.,Use more detailed data on activity patterns.,"Incorporate locations of schools, workplaces, and other anchor points.",Incorporate detailed spatial data and activity patterns into analysis.,Population size; Percentage of single-person households; Level of urbanization; Birth; Death; Nationality; Marriage; Divorce; Childbirth; Residential addresses,10,Poverty level; Level of urbanization,2,NA,0,Distance from home to crime location; Distance to current area of residence; Shortest distance to former area of residence,3,Home Hypothesis; History Hypothesis; Recency Hypothesis; Duration Hypothesis; Proximity Hypothesis; Population Size; Percentage of Single-Person Households; Poverty Level; Level of Urbanization; Whether Offender Lives in the Area; Whether Offender Has Lived in the Area Before; Duration of Residence; Time Since Moved Out of the Area; Distance to Current Area of Residence; Distance to Former Area of Residence,15,30
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,2006 to 2009,2006 to 2009,Dutch Suspect Identification System (HKS); nationwide citizen information system (BRP); Statistics Netherlands; LISA database,"Limited by reliance on police data, which may introduce detection bias","Approximately 7,000 residents","""In previous studies, it was argued that four-digit postal code areas are well-suited for crime location choice research, as these administrative areas were constructed in such a way to have minimal travel restrictions for postal delivery services that usually travel on foot or bicycle.""",Practical constraint / Prior research,"Four-digit postal code areas were chosen because they are well-suited for crime location choice research, providing a practical and familiar scale for analysis.",Netherlands,The greater The Hague area,2.96 km² (average area size per postal code),Not specified (multiple types analyzed),NA,"12,639 choice observations.","12,639 offenses.","3,666 repeat offenders.","Random sample of 10,000 suspects from The Hague Police Service registration data.",142 four-digit postal code areas in the greater The Hague area.,Postal code areas used as alternatives for each offense.,Repeat offenders with at least two crimes in three years and living in the study area.,NA,Cross-sectional,Conditional logit,Maximum likelihood (implied),Comparison between models with and without time-specific effects,Cluster-corrected standard errors used to account for nested data,NA,Timing of previous offenses within the week and day.,Offenders are more likely to return to previously targeted areas at similar times and days.,NA,NA,Four-digit postal code areas are considered suitable due to minimal travel restrictions and similarity in size to other studies.,NA,NA,Detection bias due to reliance on police data.,Data on nonarrested offenders.,Police data may not capture all crimes.,Assumption of learning from previous experiences not explicitly tested.,Potential issues with temporal resolution of crime timing.,NA,The findings may not generalize to nonarrested offenders due to potential differences in the probability of arrest.,"The study's findings are based on data from the Netherlands, which may have specific cultural, legal, or environmental factors.",The study does not provide direct comparisons across different contexts or time periods.,NA,Systematic observations of time-varying target attractiveness.,Incorporate cyclic time effects into predictive models.,Proportion of residents with a non-Western background; Proportion of single-person households; Population density,3,Proportion of residents with a non-Western background; Proportion of single-person households; Population density; Number of employees; Presence of facilities,5,Facilities,1,Euclidean distance; Distance within same postal code area; Accessibility based on distance; Spatial boundaries; Transportation network accessibility,5,Previous crime location on same weekday; Previous crime location on different weekday; Previous crime location on same weekend day; Previous crime location on different weekend day; Previous crime location on different week part; Previous crime location with a . . . hour difference; Offender's current or former residence; Distance from current residential area to the target area; Proportion of residents with a non-Western background; Proportion of single-person households; Population density; Number of employees; Presence of facilities,13,27
a_discrete_spatial_choice_model_of_burglary_target.pdf,2006-2012,Up to 2012,Belgian Federal Police; Belgian Land Registry,NA,Not specified,"""The use of fine-grained spatial units of analysis such as the house that is burglarized has the advantage that it addresses the modifiable areal unit problem and reduces the risk of aggregation bias.""",Theory–method,Using houses as the spatial unit addresses methodological issues and aligns with the nature of burglary.,Belgium,East Flanders,"nearly 3,000 km²",residential burglaries,NA,650,650,650,Simple random sampling,"Every burglar can choose among 503,589 residential properties in East Flanders",Simple random sampling,Only burglaries committed by offenders with a legal address in East Flanders; excluding multiple offenders and apartment buildings,NA,Cross-sectional,Conditional logit,Maximum likelihood,NA,NA,NA,"Type of house (terraced vs. semi-detached), presence of a garage, presence of central heating or air-conditioning, distance from the offender's home.","Terraced houses, houses without a garage, houses without central heating or air-conditioning increase choice probability; distance from the offender's home decreases choice probability.",The use of fine-grained spatial units of analysis at the house level is beneficial for understanding burglary target selection.,Results may vary with different spatial scales; previous studies used larger units like neighborhoods or postal code areas.,Use smaller spatial units of analysis whenever possible.,Larger spatial units may introduce aggregation bias and modifiable areal unit problems.,The study area is larger and more diverse than previous implementations.,Selection effects in recorded crime data may overrepresent local burglars and underestimate remote targets.,Police files lack information on additional reference points or actual locations from which offenders left to commit offenses.,"Registry data lacks information on apartments, limiting analyses to house burglaries.","Variables for rewards, efforts, and risks may not be effective indicators.",NA,NA,Limited to the Belgian province of East Flanders; focus on houses rather than apartments.,"Findings specific to East Flanders, Belgium.",No direct comparisons across different contexts or time periods.,Use finer spatial units like the house level.,Explore additional house-level data sources like land registers or insurance companies.,Use variations of the nested logit model.,Population size; Age of burglars; Gender of burglars,3,Built Surface Area; Presence of Garage; Central Heating and Air-Conditioning,3,Construction Type; Presence of Garage; Central Heating and/or Air-Conditioning System; Number of Floors; Presence of Rooftop Living Floor; Built Surface Area,6,Journey-to-crime distance; Average journey-to-crime distance; Odds ratio for distance; Shortest travel path; Temporally optimized distance,5,Time period of recorded crime data; Date of Belgian Land Registry data; Study area; Bootstrapping procedure,4,21
Adolescent offenders' current whereabouts predict locations of their future crimes,Approximately 4 years,"October 2008 - May 2009 (first wave), November 2010 - June 2011 (second wave)",Space-time budget interviews; Police records from HKS information system; Points of interest data from LISA,Limited due to underreporting and low clearance rates in police data,NA,NA,Prior research / Practical constraint,The grid cell system was likely chosen for consistency with prior research and practical constraints.,Netherlands,The Hague,NA,Not specified (multiple types),NA,843 adolescents.,165.,70.,"Cohort study of adolescents in The Hague, collecting hourly whereabouts over four days.",Grid of 4558 locations (67 × 67 = 5092 grid cells minus 544 on the North Sea).,Spatial choice model where offenders choose from the grid.,Focus on adolescents in The Hague; only first crime in a location on a given day considered.,NA,Panel study,Conditional logit,Maximum likelihood (inferred),Predictive accuracy of different models (most comprehensive model: P = .95; parsimonious model: P = .94),NA,NA,Activity space and prior crime locations.,Increase choice probability.,"The mean radius of gyration is 3.2 km, indicating the average spatial scale of participants' movements. Crime risk is elevated within a few hundred meters from a previous crime.","Not explicitly discussed, but the radius of gyration is similar across different groups.","Not explicitly provided, but activity spaces and criminal opportunities are highlighted as important.",Short observation period and potential for seasonal variations in mobility patterns.,"Not explicitly made, but references similarity to patterns in epidemiology and seismology.",Police data are incomplete due to underreporting and low clearance rates.,Unreported crimes and offenders not apprehended are missing from police data.,Space-time budget data is limited by high fieldwork costs and participants' memory limitations.,"Measurement of whereabouts was limited to October-May, missing seasonal variations.",Short observation period of four days and fixed one-hour slots.,NA,Findings may not generalize due to focus on adolescents and incomplete police data.,Findings specific to The Hague context.,No basis for comparison across contexts or time periods.,Not mentioned.,Not mentioned.,Not mentioned.,Gender; Ethnic background; Age structure; Educational level,4,Educational Qualifications; Points of Interest; Catering Businesses; Retail Businesses; Schools,5,Presence of catering businesses; Presence of retail businesses; Presence of schools; Prior crime locations,4,Radius of Gyration; Distance from Activity Space; Distance from Prior Crime; Contiguity Order,4,Day-of-week weighting; Seasonal measurement period; Time elapsed since interview; Underreporting of crimes,4,21
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,2012-2016,12-18 May 2016 (for mobile phone data),Crime data from ZG Municipal Public Security Bureau; mobile phone data; neighborhood characteristics data from ZG City; sixth census of China,"11,455 arrest records; only 7860 records have a home address in the city",Not specified,Not explicitly stated,Admin convenience / Data availability,Communities are used as spatial units likely due to administrative relevance and data availability.,China,ZG City,"1971 communities, average size of 1.62 km²",Street robbery,NA,4358 street robbers.,"Implied to be related to 11,455 arrest records.",7124 unique robbers.,"Arrested street robbers and their offenses from 2012 to 2016 in ZG City, China.",1971 communities in ZG City.,One community chosen out of 1971.,Arrested street robbers with a home address in the city; one robber per robbery if multiple involved.,NA,Cross-sectional,Conditional logit,Maximum likelihood,"Model 4 has the highest explanatory power, with a 10% increase over Model 1",NA,NA,Ambient population and surveillance cameras.,Negative for both ambient population and surveillance cameras.,NA,NA,NA,NA,NA,"Only 7860 out of 11,455 arrest records had a home address in the city.",Random selection of one robber to represent multiple robbers in some cases.,Relies on arrest records from the ZG Municipal Public Security Bureau.,Use of mobile phone data to measure ambient population.,Data from 2012 to 2016.,NA,The study's findings are specific to ZG City and may not generalize to other urban areas.,The study is conducted in a specific urban context in China with unique characteristics such as rapid urbanization.,The study does not provide a direct comparison with other cities or regions.,"The study uses community-level data, suggesting that future research should consider similar spatial scales for analyzing crime location choice.","The use of mobile phone data for ambient population measurement is highlighted, suggesting its potential for future studies.",The study suggests integrating ambient population and surveillance cameras into discrete spatial choice models to improve explanatory power.,Hukou status; Proportion of migrants; Proportion of youngsters; Socioeconomic heterogeneity; Social cohesion; Collective efficacy; Types of housing,7,GDP; Annual Increase Rate; Socioeconomic Heterogeneity; Economic Inequality; Proportion of Youngsters,5,Malls and supermarkets; Grocers and terminal markets; Bars and clubs; Cybercafés and sports stadiums; High schools; ATMs and banks; Car parks; Surveillance cameras; Ambient population,9,Distance of Journey to Crime; Density of Road Network; Bus Stops; Transportation Hubs; Subway Stations,5,Crime generators and attractors; Density of road network; Distance of journey to crime; Social disorganization; Logged distance of journey to crime,5,31
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",2016,"Not explicitly mentioned, but likely around 2016",ZG City Public Security Bureau; POI data from a navigation data company in China,Empirical crime research based on official police data is rare in China due to difficulty in accessing crime data,Not directly provided,Not explicitly provided,Admin convenience / Data availability,Administrative convenience and data availability,China,ZG City,Average size of 1.62 km² per community,Street robbery,NA,1262 street robberies.,1262.,527.,Detected robberies from the ZG City Public Security Bureau.,Pairs of prior and subsequent robberies for each repeat offender.,Prior and subsequent robbery locations for each offender.,Excludes robberies by offenders outside the study area and those with unknown residences.,NA,Panel,Mixed logit,NA,Models show significant improvement over simpler models,NA,NA,"Time interval between robberies, not being arrested in the act of a prior robbery.",Shorter time intervals and not being arrested increase the likelihood of returning to the same location.,"The study area is divided into 1973 communities with varying sizes, but the distance of journey to prior robbery is not statistically significant.",Not mentioned.,Not mentioned.,"The study relies solely on data from arrested robbers, which may introduce bias.",Not mentioned.,Difficulty in accessing crime data in China.,Omission of un-arrested robbers.,Reliance on official police data.,None explicitly mentioned.,None mentioned.,NA,Findings may not be fully generalizable to other contexts due to unique Chinese social structure and spatial form.,"Findings are specific to ZG City, China, and may not apply universally due to differences in social cohesion and policing strategies.","The study's context is specific to China, limiting comparisons with Western countries due to differences in social structure and policing.",Not explicitly mentioned.,Incorporate data from un-arrested robbers to improve model accuracy.,Address the nesting issue and incorporate data from un-arrested robbers.,Gender; Age; Hukou Status; Community Size; Social Cohesion; Collective Efficacy,6,GDP; Socioeconomic Heterogeneity; Amount of Lost Property or Money,3,High schools; Shopping malls; Transportation hubs; Bars and clubs; Cybercafés; Grocery stores; Hotels; Restaurants; ATMs; Banks; Subway stations; Bus stations; Surveillance cameras; Daily human mobility,14,Distance of Journey to Prior Robbery; Distance of Journey to Subsequent Robbery,2,Time Interval Between Two Robberies; Distance of Journey to Prior Robbery; Not Arrested in the Act of Prior Robbery; Distance of Journey to Subsequent Robbery; Transportation Hubs; Subway Stations; Bus Stations; Bars and Clubs; Cybercafés; Malls and Supermarkets; High Schools; Surveillance Cameras; Daily Human Mobility; Socioeconomic Heterogeneity,14,39
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,2006-2009,2009,Police information system; Population registration data (BRP); LISA data; Community survey (SPAN project),3696 questionnaires returned; Postal codes with sufficient residents included,Average population size of around 7700,"""These postal codes are therefore well suited for a crime location choice study, because most people will be familiar with these areas when living there or (frequently) visiting the area.""",Theory–method,"Four-digit postal code areas were chosen because they are familiar to residents and visitors, making them suitable for analyzing crime location choice.",Netherlands,"The Hague, Rijswijk, and Leidschendam-Voorburg",1.68 km² (average area size),Any-crime-type offences,NA,"13,088 choice observations.","13,088 crime incidents.","5,377 unique offenders.",Random sampling of offenders with at least one registered crime incident in 2009.,76 postal code areas as alternatives for each crime incident.,Alternatives selected based on availability of community survey data.,Restricted to offenders with at least one registered crime incident in 2009 and to postal code areas with available community survey data.,NA,Cross-sectional,Conditional logit,Maximum likelihood,NA,NA,NA,"Residential areas of offenders and family, number of bars/restaurants/hotels, collective efficacy.",Residential areas increase targeting likelihood; high collective efficacy decreases it; bars/restaurants/hotels increase targeting in non-residential areas.,"The study uses four-digit postal code areas as the spatial unit of analysis, which are considered suitable due to their design and size relative to urbanization levels. However, these areas might be considered large compared to theoretical models.",Not explicitly mentioned.,The paper does not provide specific recommendations but notes that smaller areas could better fit theoretical models.,"The chosen spatial scale might be considered large, and smaller areas could provide a better fit but come with computational and theoretical challenges.",The study notes that findings were not contradictory to those using smaller or larger areas.,Not explicitly mentioned.,No data available to precisely map awareness spaces of individual offenders.,Use of four-digit postal codes may be too large for theoretical models.,Study did not include other types of criminal opportunity.,Not explicitly mentioned.,NA,"Limited to three municipalities in the greater The Hague area in the Netherlands; may not be representative of other areas, especially rural ones.",Findings may not be applicable to rural areas.,"Mechanisms may differ between countries, indicating a potential limitation in comparative validity across different national contexts.",Smaller spatial units may better fit theoretical models.,More precise data collection is needed to map individual offenders' awareness spaces.,Use more complete and precise measures for awareness and opportunity.,Population size; Area size; Collective efficacy; Population density; Proportion of single-person households; Proportion of residents with a non-western background; Age of offenders; Gender of offenders,8,Number_of_Employees,1,Number of bars/restaurants/hotels; Collective efficacy,2,Euclidean Distance; Average Distance Replacement; Postal Code Areas; Travel Restrictions,4,"Former residential area of the offender; Distance between the offender's residential area and the crime location; Previous crime location; Crime year specific numbers of retail facilities, schools, cultural, health care, and sports/leisure facilities; Number of employees; Neighbourhood disorder; Population density; Proportion of single-person households; Proportion of residents with a non-western background",9,24
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",2006-2009,2006-2009,Police information system used by the greater The Hague Police Service,"Limited to cleared offense data from police records, which might suffer from detection bias","Approximately 7,000","""A four-digit postal code area is a useful and plausible indication of the area people are expected to be familiar with when for instance living in or (regularly) visiting that area because 1) Dutch postal code areas are designed to have minimal travel restrictions for postal delivery services usually traveling on foot or bicycle, and 2) the size of a postal code area is inversely related to its level of urbanization that matches the geographic coverage of residents.""",Theory–method,"Four-digit postal code areas are used because they are considered a familiar scale for individuals and match urbanization patterns, making them appropriate for studying crime location choices.",Netherlands,The greater The Hague area,2.96 km² (average size of each postal code area),Multiple types,NA,"12,639 choice observations or events.","12,639 offenses.","3,666 unique offenders.","Random sample of 10,000 offenders from a police information system, with 3,666 included after exclusions.",Geographical set of alternatives from 142 four-digit postal code areas in the greater The Hague area.,Offender's choice of area for committing a crime.,Excluded offenders with only one offense in the period and those without a known residential address in the study area.,NA,Longitudinal,Conditional logit,Maximum likelihood (assumed),Pseudo R-squared values compared across different model specifications.,Not mentioned.,NA,"Prior crime locations, distance to prior crime locations, recency of prior crimes, frequency of crimes in an area, type of crime.",Prior crime locations increase choice probability; distance to prior crime locations decreases choice probability.,"The four-digit postal code area is considered large, and smaller units like six-digit postal code areas could introduce spatial interdependence issues.",Smaller units of analysis increase issues of spatial interdependence.,Not explicitly provided.,"The four-digit postal code area is a large unit of analysis, and smaller units introduce spatial interdependence issues.",Most other studies have used similar or larger units of analysis.,Detection bias due to reliance on cleared offense data.,Crimes committed outside the study area not accounted for.,"Limited to greater The Hague area, largely urban.",Four-digit postal code areas may be too large.,Not explicitly mentioned.,NA,"Findings might not generalize to other regions, especially rural areas.",Findings are specific to the greater The Hague area.,No basis for comparison across different contexts or time periods.,The study suggests using larger areas to increase generalizability.,The authors recommend collecting data on offenders' daily routines and locations.,The study suggests using offender-based research methods to gather more detailed data.,Population Density; Proportion of Single-Person Households; Proportion of Residents with a Non-Western Ethnic Background,3,"Population density; Proportion of single-person households; Proportion of residents with a non-Western ethnic background; Number of retail stores; Number of hotels, restaurants, and bars; Number of people working",6,"Retail stores; Hotels, restaurants, and bars; Schools; Culture; Health care; Sports and leisure facilities; Number of people working",7,Distance to Prior Crime Location; Distance from Residential Area to Target Areas,2,Recency Variables; Residential Area Variables; Population Density; Proportion of Single-Person Households; Proportion of Non-Western Residents,5,23
Burglar Target Selection: Australia Study (Brisbane),NA,NA,Australian Bureau of Statistics; Queensland Police Service,Limited by inconsistency in measuring residential real estate value across regions,NA,"""Study regions and their associated choice set geographies (NL-neighborhoods, UK-Super Output Areas [medium layer], AU-Statistical Local Areas) were selected based on equivalence in size of the known burglar population, number of targets (households) within each area, and total number of areas in a study region. (Australia context - Statistical Local Areas)""",Data availability / Admin convenience,"Spatial units chosen based on equivalence in size of burglar population and number of targets for Australia context, likely due to data availability and administrative convenience.",Australia,Brisbane,NA,Residential burglary,NA,Not explicitly mentioned.,"Not explicitly mentioned, but incidents involving multiple offenders were removed (276, 94, and 247 crimes in The Hague, Birmingham, and Brisbane, respectively).","Not explicitly mentioned, but focus on solo offenders.",Discrete spatial choice approach involving geographical units such as neighborhoods or suburbs.,Geographical units such as neighborhoods or suburbs selected based on equivalence in size and number of targets.,Based on geographical characteristics and presence of targets.,"Removal of incidents involving multiple offenders, focus on cleared burglaries attributed to local offenders.",NA,Cross-sectional,Conditional logit,Maximum likelihood,Pooled vs. expanded models compared using bivariate Wald tests,NA,NA,"Proximity to home, proportion of single-family dwellings, number of households.",Positive for all significant predictors.,Proximity to offenders' homes shows moderate effect in Brisbane context (odds ratio: 1.21) at Statistical Local Area level.,"Results vary with different spatial scales and environmental contexts, such as urban morphology and public transport systems.",Future research should apply the behavioral rule in more study regions to assess meaningful differences.,Differences in neighborhood size and target density affect the results.,Not mentioned.,"Relies solely on cleared offense data, which may not accurately represent all criminal activity.",Indicator of ethnic heterogeneity unavailable for UK and Australia.,Police-recorded crime data may have nonprobabilistic sampling issues.,Assumption that crime trips originate from an offender's residence may not always be accurate.,NA,NA,Limited by reliance on cleared offense data and assumptions about crime trip origins; need for more study regions.,"Findings specific to Brisbane, Australia context due to differences in target densities and Statistical Local Area characteristics.",Differences in measurement precision and data availability limit comparative analyses; constrained by lowest common denominator of data.,Use consolidated models for statistical comparisons across different environments.,Use administrative and census data to estimate the consolidated model.,Relax assumptions in the conditional logit model and use more complex models.,Residential Mobility; Social Cohesion,2,Residential Real Estate Value,1,Number of households; Proportion of single-family dwellings; Residential mobility; Availability of potential targets,4,Proximity; Proximity to City Center; Proportion of Single-Family Dwellings; Number of Households,4,Jurisdictional Dummies; Robust Standard Errors; Wald Tests,3,14
