Citation,Year.x,Name_of_the_unit,Crime_Type,spatial_unit_quote,spatial_unit_reasoning
"(A. Chamberlain et al., 2022)",2022,Block_groups,Burglary,"- ""we include demographic and economic data from the US Census for all 334 block groups in the city.""
  - ""We use block groups to define a neighborhood because these are the smallest unit available where meaningful sociodemographic data are available.""
  - ""a handful of block groups were removed due to missing data on some Census variables, leaving the total number of neighborhoods analyzed at 304.""","- The paper specifies that the spatial units of analysis (SUoA) are ""block groups,"" which is a common unit used in census data for demographic analysis.
- The size of these block groups is not explicitly mentioned in terms of square kilometers or meters, but it is implied that they are the smallest units available for meaningful sociodemographic data.
- The total number of block groups used in the study is initially 334, but after removing some due to missing data, the final number is 304.
- The rationale for choosing block groups is explicitly stated as being ""because these are the smallest unit available where meaningful sociodemographic data are available,"" which aligns with the category of ""Data availability.""
- The population per unit is not explicitly mentioned in the paper, so this information cannot be extracted."
"(A. W. Chamberlain & Boggess, 2016)",2016,Blocks,Burglary,"- ""The final sample includes 5,182 incidents committed by 6,846 suspects which were aggregated to the census block group, the operational definition of neighborhood.""
  - ""The final data set contains information on all 334 block groups in the City of Tampa.""
  - ""We rely on block groups in order to minimize within neighborhood heterogeneity while also ensuring that there is neighborhood contextual data available.""","- The paper specifies that the spatial units of analysis (SUoA) are ""census block groups,"" which is a common administrative unit used in urban studies.
- The size of these block groups is not explicitly mentioned in terms of square kilometers or meters, but it is implied that they are used as they are defined by the census.
- The number of units is clearly stated as 334 block groups in the City of Tampa.
- The population per unit is not explicitly mentioned, but the use of block groups suggests that each unit would contain a range of populations typical for such administrative divisions.
- The rationale for choosing block groups is to minimize within-neighborhood heterogeneity and ensure availability of contextual data, which aligns with practical constraints and data availability.
- The justification summary is that block groups were chosen to reduce internal variability and ensure data availability, which is consistent with practical constraints and data availability considerations."
"(Baudains et al., 2013)",2013,Lower_Super_Output_Area,Riot-Related Incidents,"- ""Data exist across the complete set of 4,765 LSOAs in the Greater London area, and each LSOA typically consists of around 1,500 residents.""
  - ""In executing our research design, we are interested in offender decision making at the area level, and our chosen unit of analysis is the U.K. census LSOA.""
  - ""The results presented are robust to the inclusion of two other variables: a measure of police strength and a measure of police relations in the destination areas.""
  - ""The advantage of smaller sized units of analysis in the discrete choice approach is that the explanatory variables are more representative of the population and characteristics of each area.""
  - ""The estimates of population churn rates and ethnic heterogeneity were derived using data from the 2001 U.K. Census.""","- The paper specifies that the spatial units of analysis (SUoA) are ""U.K. census LSOA,"" which stands for Lower Super Output Areas. This is a type of administrative unit used in the UK for statistical purposes.
- The size of each LSOA is not explicitly mentioned in terms of square kilometers or meters, but it is noted that each typically consists of around 1,500 residents.
- The number of units is clearly stated as 4,765 LSOAs in the Greater London area.
- The rationale for choosing LSOAs is implied by the mention of data availability and the advantage of smaller units in representing population characteristics.
- The quoted rationale suggests that the choice was based on data availability and the practical advantage of using smaller units for more representative data.
- The justification summary is that LSOAs were chosen due to their availability in the UK census data and their suitability for representing detailed population characteristics."
"(Bernasco & Block, 2009)",2009,Census_tract,Robbery,"- ""In line with many other studies of spatial choice (Block and Block, 1995;Boggs, 1965;Velez, 2001), we use the census tract as our unit of analysis of location choice.""
  - ""Although smaller units of analysis minimize within-unit heterogeneity, the census tract was chosen as the spatial unit of analysis because it was the lowest level of aggregation for which the ""collective efficacy"" measure was available and because computationally the use of the resource-intensive discrete choice model with smaller spatial units of analysis would have required a drastic reduction in sample size.""
  - ""Furthermore, our reading of the empirical literature that addresses the modifiable area unit problem in the context of crime (e.g., Hipp, 2007; Wooldredge, 2002) is that effects tend to be fairly robust across geographic levels of aggregation.""
  - ""Finally, there is also an empirical aspect to the question of the appropriate unit of analysis. No less than 73 percent of the Chicago robberies were committed outside the census tract in which the offender lived.""
  - ""Data on the population size and the racial and ethnic composition of the 865 census tracts in the city of Chicago in 2000 were taken from the public files of the U.S. Census Bureau.""
  - ""Tracts with a population below 100 were not used in the analysis, which applies to 21 tracts (2.4 percent); the other 844 census tracts are considered in the analysis.""
  - ""In future work, it might be advisable to use smaller units of spatial aggregation. Using census tracts, 28 percent of the offenders committed a robbery in their home census tract. Thus, for 28 percent of them, where they live completely explains where they offend.""","- The paper specifies that the spatial unit of analysis (SUoA) used is the ""census tract"" (SUoA Type).
- The size of the census tracts is not explicitly mentioned in terms of square kilometers or meters, but it is implied that they vary (SUoA Size).
- The description of the census tracts includes their use as a unit of analysis for location choice and their relevance to collective efficacy measures (SUoA Description).
- The total number of census tracts used in the analysis is 844 (Number of Units).
- The population per unit is not explicitly mentioned, but tracts with a population below 100 were excluded (Population per Unit).
- The rationale for choosing census tracts includes their availability for collective efficacy measures and computational constraints (Quoted Rationale).
- The rationale category is a mix of data availability and practical constraint (Rationale Category).
- The justification summary is that census tracts were chosen due to data availability for collective efficacy measures and computational limitations with smaller units (Justification Summary)."
"(Bernasco & Jacques, 2015)",2015,Street_segment,Drug-related,"- ""The average length of the 262 street segments is 103 meters (SD = 65 m, minimum = 16 m, maximum = 425 m).""
  - ""The results of our analysis of the interview transcripts demonstrate that street segments are still too coarse as units of analysis, not only because they still cover too large territory but also because their relevant characteristics are not stable over time.""
  - ""Systematic observation requires that the area be partitioned into spatial units. In line with recent work that advocates the use of small spatial units of analysis (Oberwittler & Wikström, 2009;Weisburd, Groff, & Yang, 2012) and translating it into practical guidelines, 262 street segments were identified in the study area, of which 49 are located in the Red Light District.""
  - ""The rationale was that for decision making in dealing situations, what matters are the characteristics of a place that can be seen or heard, and it seemed that street segments (""street blocks,"" ""face blocks"") are small enough to assure that from any point in the street segment, relevant attributes of any other point in the same segment could be seen and heard.""
  - ""Segments were operationally defined as the two sides of a street, road or alley between intersections, or a square.""","- The spatial units of analysis (SUoA) used in the study are ""street segments,"" which are defined as the two sides of a street, road, or alley between intersections, or a square.
- The size of these units is described by their average length, which is 103 meters, with a standard deviation of 65 meters, and a range from 16 to 425 meters.
- The total number of spatial units in the study is 262.
- The rationale for choosing street segments as the SUoA is based on the idea that they are small enough for relevant attributes to be seen or heard from any point within the segment, which is important for decision-making in drug dealing situations.
- The justification category is ""Theory–method"" because the choice is based on theoretical considerations about the scale at which drug dealing decisions are made.
- The justification summary is that street segments were chosen because they are small enough to capture relevant environmental characteristics that influence drug dealing decisions."
"(Bernasco & Kooistra, 2010)",2010,Postal_code_area,Robbery,"- ""The third source of data is a database containing demographic, social and economic information on all postal code areas in the Netherlands.""
  - ""There are 4006 postal code areas nationwide; they have an average population size of 4900 and an average number of households of 2100.""
  - ""In terms of size, shape and topography, the postal code area is a useful spatial unit of analysis because it approximates the area one would expect people to be familiar with if they lived within it.""
  - ""Its boundaries have been designed with post delivery services in mind, physical restrictions on travel within the area are minimal, and it invites local travel by foot and bicycle, modes of travel that provide ample opportunities to learn about the environment.""","- The paper uses ""postal code areas"" as the spatial units of analysis (SUoA Type).
- The size of these units is not explicitly mentioned in terms of square kilometers or meters, but it is implied that they vary in size (SUoA Size).
- The description of these units is that they are used for postal delivery services and are designed to be familiar to residents, with minimal physical restrictions and opportunities for local travel (SUoA Description).
- There are 4006 postal code areas in total (Number of Units).
- The average population per unit is 4900, with an average of 2100 households (Population per Unit).
- The rationale for choosing postal code areas is that they are a useful scale for analysis because they approximate familiar areas for residents and have minimal physical restrictions (Quoted Rationale).
- The rationale category is ""Theory–method"" because the choice is based on the theoretical assumption that these areas are familiar to residents and thus relevant for crime location choices (Rationale Category).
- The justification summary is that postal code areas are chosen because they represent areas that are familiar to residents, which is consistent with the theoretical framework of crime pattern theory (Justification Summary)."
"(Bernasco & Luykx, 2003)",2003,Neighborhood,Burglary,"- ""Counting the 89 neighborhoods analyzed, the average neighborhood has a surface of 0.65 square kilometers, is the home to 4950, residents and contains 2350 residential units.""
  - ""Our measures of ethnic heterogeneity, residentiul mobility, real estate value of residential units and percentage of owner-occupied residential units all were taken from a statistical publication of the municipality of The Hague (DSO, 2001)""
  - ""We used data on 89 neighborhoods, as 5 neighborhoods are almost or completely non-residential (industrial areas, parks, dune area). Counting the 89 neighborhoods analyzed, the average neighborhood has a surface of 0.65 square kilometers, is the home to 4950, residents and contains 2350 residential units.""
  - ""The hypotheses are tested using data on the city of The Hague, the Netherlands. With a population of about 440,000, it is a large city according to Dutch standards. The Hague is the ""administrative capital"" of the Netherlands, as it hosts the Dutch national parliament, the government departments, and many semi-governmental organizations as well. The city is situated at the North Sea coast, and its current boundaries include the former coastal villages of Scheveningen, Loosduinen and Kijkduin. The city comprises 94 neighborhoods.""
  - ""We used data on 89 neighborhoods, as 5 neighborhoods are almost or completely non-residential (industrial areas, parks, dune area).""
  - ""The city comprises 94 neighborhoods.""","- The paper uses neighborhoods as the spatial units of analysis (SUoA Type: Administrative unit).
- The size of each neighborhood is described as having an average surface area of 0.65 square kilometers (SUoA Size: 0.65 km²).
- The description of the spatial units includes that they are neighborhoods within the city of The Hague, with an average population of 4950 residents and 2350 residential units per neighborhood (SUoA Description).
- The total number of spatial units used in the study is 89 neighborhoods (Number of Units: 89).
- The average population per unit is 4950 residents (Population per Unit: 4950).
- The rationale for choosing neighborhoods as the spatial units is not explicitly stated in terms of ""because,"" ""due to,"" or similar phrases, but it is implied that the choice was based on data availability from the municipality of The Hague (Quoted Rationale: Not explicitly stated, but implied by data source).
- The rationale category is likely ""Data availability"" since the data was taken from a statistical publication of the municipality (Rationale Category: Data availability).
- The justification summary is that neighborhoods were used as spatial units because they are the administrative divisions for which data was readily available from the municipality of The Hague (Justification Summary)."
"(Bernasco & Nieuwbeerta, 2005)",2005,Neighborhood,Burglary,"- ""The average neighbourhood has a surface of 0.65 square kilometres, is home to 4,952 residents and contains 2,380 residential units (DSO 2001).""
  - ""In order to test hypotheses on burglary location choice in The Hague, we introduced a new approach, i.e. the discrete spatial choice approach.""
  - ""The geometric positions of the 89 residential neighbourhoods are displayed in Figure 1""
  - ""The Hague comprises 89 residential neighbourhoods.""","- The paper specifies that the study area is divided into ""89 residential neighbourhoods,"" which are the spatial units of analysis (SUoA Type: Administrative unit).
- The size of each spatial unit is described as having ""a surface of 0.65 square kilometres,"" indicating the SUoA Size.
- The description of each spatial unit includes the number of residents and residential units, providing a detailed SUoA Description.
- The total number of spatial units is explicitly stated as ""89 residential neighbourhoods,"" which is the Number of Units.
- The average population per unit is given as ""4,952 residents,"" which is the Population per Unit.
- The rationale for choosing these spatial units is not explicitly justified with a quote, but it can be inferred that the choice was based on administrative convenience and data availability, as the data was obtained from the municipality of The Hague.
- The Rationale Category is likely ""Data availability / Admin convenience"" due to the use of existing administrative boundaries and data sources.
- The Justification Summary is that the spatial units were chosen based on administrative boundaries and data availability from the municipality of The Hague."
"(Bernasco et al., 2013)",2013,Census_block,Robbery,"- ""We use data that are disaggregated to the level of census blocks.""
  - ""In 2000 there were 24,594 census blocks in Chicago from which a robber chooses a single one when committing a robbery.""
  - ""In Chicago, with an average surface of 140 m Â 140 m (460 ftÂ 460 ft) and an average population of 118 residents, census blocks are approximately 30 times smaller than census tracts.""
  - ""In this article, we introduce three major advances over prior work on crime location choice. The first applies to spatial scale. While classic studies on the geography of crime (Shaw and McKay, 1942;Sampson et al., 1997) have used large urban areas as their spatial units of analysis, recent research suggests that often crime concentrations are not larger than a street segment (Smith et al., 2000;Weisburd et al., 2004) or street corner (McCord and Ratcliffe, 2007). To improve our understanding of the fine-grained spatial decisions of street robbers, we zoom in to the level of census blocks.""
  - ""Zooming in to block level allows us to analyze in a detailed way the location choices of robbers.""","- The paper uses census blocks as the spatial unit of analysis (SUoA Type: Census block).
- The size of each census block is described as having an average surface of 140m x 140m (SUoA Size: 140m x 140m).
- The description of census blocks includes their average population and size relative to census tracts (SUoA Description: Average population of 118 residents, 30 times smaller than census tracts).
- There are 24,594 census blocks in the study (Number of Units: 24,594).
- The average population per unit is 118 residents (Population per Unit: 118 residents).
- The rationale for choosing census blocks is to improve understanding of fine-grained spatial decisions and because crime concentrations are often smaller than larger urban areas (Quoted Rationale: ""To improve our understanding of the fine-grained spatial decisions of street robbers, we zoom in to the level of census blocks"").
- The rationale category is Theory–method and Scale optimization (Rationale Category: Theory–method / Scale optimization).
- The justification summary is that census blocks were chosen to provide a detailed analysis of robbery location choices, reflecting the fine-grained nature of crime concentrations (Justification Summary: Census blocks were chosen for detailed analysis of robbery locations)."
"(Bernasco et al., 2015)",2015,Lower_Level_Super_Output_Area_(LSOA),Burglary,"- ""As a compromise, we decided to use the UK Census Lower Level Super Output Area (LSOA) geography as the basic spatial unit of analysis.""
  - ""Spillover effects can be assessed using either hierarchical spatial nesting structures or spatial proximity structures (Bernasco & Elffers, 2010). Because the boundaries of the UK census areas are designed to optimize social homogeneity in terms of household tenure and dwelling type (Haining, 2012;Sturgis, Brunton-Smith, Kuha, & Jackson, 2013), we preferred the former, and estimated spillover using variables measured at the next higher level of the census geography in the UK, the Middle Layer Super Output Area (MSOA).""
  - ""LSOAs are defined on the basis of proximity and social homogeneity measures (type of dwelling and nature of tenure) and have a population of approximately 1,500 residents and 600 households.""
  - ""LSOAs are smaller than the postal code areas used in some other crime location choice studies (Bernasco, 2010b;Lammers et al., 2015) but larger than the micro-scale places used in others (Bernasco, 2010a;Bernasco et al., 2013).""
  - ""The concept of crime location choice presumes spatial units of analysis, which are the alternative locations that burglars choose from when deciding on where to commit a burglary.""","- The paper specifies that the spatial units of analysis are the UK Census Lower Level Super Output Areas (LSOAs).
- The size of these units is described as having a population of approximately 1,500 residents and 600 households.
- The number of units is not explicitly mentioned in the provided text, but it is implied that there are multiple LSOAs used in the study.
- The rationale for choosing LSOAs is based on their definition by proximity and social homogeneity measures, which aligns with the theoretical framework of crime location choice.
- The choice of LSOAs is also justified by their size being smaller than postal code areas but larger than micro-scale places, suggesting a balance in scale optimization.
- The use of LSOAs is consistent with prior research and allows for the assessment of spillover effects using hierarchical spatial nesting structures."
