Citation,Name_of_the_unit,Crime_Type,Unit_size_km2,Country,"Supporting quotes for ""DATA LIMITATIONS & METHODOLOGICAL ISSUES""",quotes,num_quotes
"(Langton & Steenbeek, 2017)",Residential_property,Burglary,1.4227e-4,Netherlands,"- ""The principle disadvantage of this research is that it remains unclear whether the actual behaviour by burglars outside of the interview room concurs with these findings.""
  - ""The data collection technique is not without its drawbacks. The inability of the Google Car to capture isolated properties inevitably leads to a bias sample, as these cannot be coded.""
  - ""Given that some interviewed offenders even stated that they preferred isolated properties, this is a particularly problematic shortcoming.""
  - ""A resolvable issue for future research would be an exploration into whether behaviour varies depending on the time of day (e.g. Montoya, Junger, & Ongena, 2016).""
  - ""It is worthwhile noting that this study cannot claim to have infallibly replicated the experience of a burglar selecting a suitable target.""
  - ""The measurements and statistical analyses employed cannot necessarily capture all of the nuances glimpsed from one-on-one interviews in previous research.""
  - ""The downside of this research design is that one cannot estimate predicted probabilities of burglary, given that the sample is not representative.""
  - ""The method of creating the four main constructs assumes that each item is equally important. To assess this assumption, sensitivity analysis was carried out in order to explore the extent to which the items were constructed and weighted suitably.""
  - ""The results suggested that some items are 'unhappy' being weighted equally to other items within the constructs.""
  - ""Robustness checks were carried out using alternative neighbourhood boundaries to explore whether the reported results were a statistical artefact caused by a poorly defined neighbourhood unit.""",,11
"(Kuralarasa et al, 2024)",Street_segment,Graffiti/Vandalism,8.4491e-4,Belgium,"- ""In this study, we primarily focus on the aspect of exposure. Although there is potential for legal repercussions, indicating a need for risk consideration, our focus is on how the desire for exposure and recognition influences the choices of graffiti locations due to the limitations of our data.""
  - ""While our study offers insights into the spatial preferences of graffiti writers, it has some limitations. First, our observations and conclusions are derived from a specific urban context. Since the nature of graffiti and public perceptions toward it can vary in different urban environments, the behaviors of graffiti writers may differ as well.""
  - ""Second, we have not observed graffiti along railway tracks or on trains and in locations that were accessible and known only to graffiti writers. This exclusion limits our understanding of graffiti in these specific areas, which might exhibit different patterns and motivations.""
  - ""Third, while our study primarily examines the roles of exposure in guiding graffiti placement, we acknowledge that these factors may not encompass the full spectrum of motivations for graffiti writers.""
  - ""Finally, in our effort to maintain the consistency of our research, we found it necessary to exclude certain variables from our analysis due to their failure to meet the required inter-rater reliability threshold (Kα < .60).""
  - ""Future research could delve into other aspects of graffiti location choice and could include cross-cultural studies to understand how preferences vary by context and are influenced by cultural and societal factors.""",,8
"(Bernasco & Jacques, 2015)",Street_segment,Drug-related,0.001545,Netherlands,"- ""The quantitative findings seem to confirm that dealers go to places where the likelihood of successfully soliciting customers is high, but no evidence is found that they avoid places with informal or formal social control.""
  - ""The statistical approach taken here reflects the small size of our sample, which is too small to allow statistical inference.""
  - ""the selection of the study area and the method of recruitment imply that we mainly gained access to mobile dealers who sell in the streets to strangers, in particular but not exclusively to tourists.""
  - ""The overall study sample consisted of 50 subjects who were active as dealers in downtown Amsterdam.""
  - ""The observation of a single street segment took 15 minutes on average.""
  - ""The inter-observer reliability was evaluated by calculating measures of association between the two observations of a single segment, that is, Pearson's product-moment correlation for continuous variables and Spearman's ρ for rank-ordered variables.""
  - ""The time window for observations only partially overlapped with the time window for interview recruitment period (5 p.m.-10 p.m.), which may have created temporal disparities between when alternative characteristics and revealed preferences were observed.""
  - ""The results of our analysis of the interview transcripts demonstrate that street segments are still too coarse as units of analysis, not only because they still cover too large territory but also because their relevant characteristics are not stable over time.""
  - ""Structural data collection that aims to rigorously test propositions about spatial criminal choices must utilize sufficiently large samples.""
  - ""the unstructured questions that invited participants to discuss their location choice decisions complemented the findings that were based exclusively on the quantitative relations between the locations of reported drug deals and observed street segments.""",,12
"(Bernasco et al., 2013)",Census_block,Robbery,0.01968,United States,"- ""Unfortunately, the data did not allow us to identify offenders across multiple robberies. More generally, it did not contain information on prior crimes or past residential addresses of the offenders.""
  - ""Our discrete choice model assumes that robbers in Chicago know the attributes of all 24,594 census blocks. This is a strong assumption, as robbers will typically have detailed knowledge only of the area in the vicinity of their home and around specific activity nodes that are part of their daily routines, legal ones like school, work and leisure and possibly illegal ones like dealing of buying drugs.""
  - ""Our findings confirm that proximity to home is among the most important criteria for deciding on a robbery location. This finding could also reflect that robbers are not aware of potential robbery locations located farther away, locations that effectively are not part of their choice set.""
  - ""Our data did not contain appropriate localized measures of factors that could potentially deter robbers and force them to choose alternative robbery locations.""
  - ""Although it is important that future work includes such measures, their inclusion in empirical models may not be straightforward. Many of the factors that might deter robbers could actually be reactions of law enforcement, potential victims and other offenders to elevated robbery rates.""
  - ""Our inquiry neglects such temporal variations and temporal constraints, and future research could improve our understanding of target selection by where K is the number of attributes, X kni is the value of attribute X k of alternative i for decision-maker n and k is a parameter associated with X k that can be estimated when the actual choices have been observed.""
  - ""The multinomial logit model is characterized by the independence of irrelevant alternatives (IIAs) property, which is the assumption that the unobserved utility components are uncorrelated across alternatives.""
  - ""Ill-conditioned data, data characterized by near-dependencies between the independent variables, can give rise to collinearity problems whereby the results become unstable under small pertubations of the data.""",,10
"(Bernasco et al., 2017)",Census_block,Robbery,0.01968,United States,"- ""The data did not allow us to identify offenders across multiple robberies.""
  - ""The data further exclude a few street robberies that are perpetrated on expressways (covered by the state police) and robberies on college campuses (covered by the university's police).""
  - ""Unfortunately, the business data did not include information on opening and closing hours and days.""
  - ""An important caveat of the present analysis is that time (hours, days) is used as a proxy measure for the physical presence of other people and for the tangible circumstance that a certain shop or business is actually open.""
  - ""We did not actually measure each business' opening hours, measure the average number of people present per census block per time slot, or count numbers of vulnerable people on the streets.""
  - ""Future research in this area should be able to take advantage of the increasing availability of unobtrusive and automatically collected georeferenced measures of human presence through contemporary developments in information and communication technologies, including smartphones and other location services, and social media""
  - ""One reviewer suggested a sensitivity analysis to assess the impact of temporal bandwidth on outcome. For space limitations and noting the similarity of this issue to the notorious modifiable areal unit problem in geography, we leave this as a topic of future explorations.""
  - ""Formally testing each time-specific estimate against every other time-specific estimate and every day-specific estimate against every other day-specific estimate would require (66 þ 21) Â 18 ¼ 1,566 statistical tests on equality. This would not only be computationally challenging, it would also yield sheer endless tables with test results.""",,12
"(Hanayama et al., 2018)",Grid_cell,Burglary,0.025,Japan,"- ""the results of using the indices described above vary among countries and cities (Townsley et al., 2015).""
  - ""Unfortunately, other attributes, such as the real estate value of residences in Japan, are not readily available.""
  - ""And given that it is relatively common that elements of the city centre (e.g., main stations, government buildings, public facilities, and commercial facilities) are distributed widely inside cities in Japan, it is difficult to define a single point as the city centre in Japan.""
  - ""the proportion of cases affecting single-family dwellings targeted in test data should be sufficiently small to make clear the relevance of the connection between the proportion of single-family dwellings and physical accessibility.""
  - ""A part of the calculated values is more than 100%, this was because the national census includes errors caused by blank returns or mistakes by respondents.""
  - ""the past residential burglary rate was sometimes overestimated when grid cells had a small number of residential units as a denominator and had recorded vanishingly few reported cases for 3 years.""
  - ""The results of this study showed that the past crime data have a significant impact on the choice of location for crimes made by later offenders. However, neither the number of past residential burglaries nor the past residential burglary rate is explanatory indices.""
  - ""Although there are certain limitations in this study, the study is significant because it indicated that past crime data are effective for indexing the attractiveness of neighbourhoods for residential burglars.""
  - ""Finally, these results are obtained only from the data of Sendai City in Japan and might not be applicable to all countries and cities.""",,11
"(Frith et al., 2017)",Street_segment,Burglary,0.0284,United Kingdom,"- ""The collection of estimates of social disorganization through systematic social observation was beyond the scope of the current study.""
  - ""the indicators of social disorganization we used here were for larger spatial units than the modeled target locations (street segments), and the (census) data we used represent only indirect estimates of social processes.""
  - ""Not all crimes are recorded by, or cleared by, the police, and consequently, the current findings may only apply to the sample of offenders who came to the attention of the police.""
  - ""replication is needed to establish the external validity of the findings reported here, and future research might seek to do so comprising other forms of data.""
  - ""For simplicity, here we differentiate between local and nonlocal areas, which assumes a step-function in the way that people perceive areas. In reality, people's perceptions may vary along a continuous rather than a binary scale.""
  - ""The use of alternative criteria, such as the average price of all houses sold within 500 m or 1 km, produced the same results and are hence discussed no further.""
  - ""The largest VIF score of 4.4 and condition index of 29.6 indicate no major problems as there is only weak (to moderate) evidence of multicollinearity.""",,8
"(Smith & Brown, 2007)",Grid_cell,Breaking And Entering,0.032,United States,"- ""The complete dataset consists of all reported breaking and entering crime in the City of Richmond, VA for calendar year 1997. To make the assumption of consistent preferences reasonable, only residential breaking and entering crimes occurring in the third quarter of the year were used.""
  - ""The choice set was defined using the following steps. The smallest rectangle that would wholly circumscribe the boundaries of the City of Richmond was the extents of a grid with 100 rows and 100 columns.""
  - ""The candidate predictor set, F, consists of proximity measurements to each of 30 features in the geographic space and 38 demographic profile variables aggregated at the census block group level.""
  - ""The presence of such features creates a possibility of extreme multicollinearity if care is not taken in feature selection.""
  - ""The large number of candidate predictors prevents description of each in this article.""
  - ""The coefficient magnitudes indicate a similar impact on alternative utility.""
  - ""The p value moved from a highly significant value, less than 10 -9 , to the insignificant 0.189. This change suggests multicollinearity with other features in the model.""
  - ""The null hypothesis is that the mean difference in selection site percentile score is equal to zero.""",,9
"(Bernasco, 2019)",Grid_cell,Multiple Types,0.04,Netherlands,"- ""Police data are not collected for the purpose of scientific research, and they are incomplete for two reasons. First, police data on crime exclude those crimes that victims did not report to the police. Based on the International Crime Victimization Survey (ICVS), it is estimated that in western countries on average about 50 percent of crime victims report to the police, a figure that is 58 percent in The Netherlands""
  - ""Second, police data on offenders are incomplete because they exclude offenders who are not apprehended. Internationally, the percentage of reported crime for which an offender is identified (the clearance rate) is 34 percent, but it is only 13 percent in the Netherlands""
  - ""Since both selection mechanisms-reporting and clearance-are unlikely to be random, generalizations based on police data must be made with great caution.""
  - ""Compared to data automatically extracted from mobile phone networks (e.g., [8,10,20,22]), space-time budget data has two disadvantages. First, because of the high fieldwork costs, samples sizes are generally limited to less than 1,000 whereas mobile phone network data typically include over 40,000 phone users.""
  - ""Second, because of participants' memory limitations, reliable space-time budget data cannot cover more than a few days whereas mobile phone data often cover multiple months or even years.""
  - ""the measurement of the participants' whereabouts took place October-May, a period during which the maximum daily temperature averages ~10˚Celsius. It did not include the summer (June-September, when maximum daily temperature averages ~20˚Celsius) a time of year during which young people in the age group of the sample spend less time in home-based sedentary activities and more time outdoors""
  - ""The findings presented here will not directly help prevent crime, because they do not inform us about who the prospective offenders are and when they will commit crimes.""
  - ""the confidence intervals around the point estimates are rather large. This is partly due to the sparseness of the data (165 crimes relative to the total number of 4558 grid cells), but it also indicates that there is a fair amount of heterogeneity that is not covered by the explanatory variables.""",,15
"(Xue & Brown, 2006)",Grid_cell,Residential Breaking And Entering (B & E),0.062,United States,"- ""the actual analysis itself must still be performed with rather limited toolsets.""
  - ""the characteristics of individuals are not directly observed by or available to analysts.""
  - ""The choice set A d that individual d has considered is also unknown to the analysts.""
  - ""The unavailable information makes the probabilities difficult to estimate.""
  - ""the number of spatial alternatives is very large, it is possible that some alternatives can give higher utility values but they are never considered.""
  - ""the attributes of spatial alternatives came from census data and calculated distance values, it is possible that some values of these attributes are correlated.""
  - ""the number of spatial alternatives for crime analysis is very large. From an implementation standpoint, this makes the data preparation and computation time prohibitively expensive.""
  - ""The approach we describe here for criminal event prediction using spatial choice analysis represents a new development in discrete choice theory. The alternative set is quite large and the decision makers are latent or unknown and cannot be surveyed for their preferences.""
  - ""The problem with trying to make a model that is distinct to each criminal is that there is a very large number of both alternatives and alternative attributes that may be considered by the criminals.""
  - ""the distinct spatial choice model provides more accurate and distinct predictions.""",,10
