Citation,Name_of_the_unit,Crime_Type,Unit_size_km2,Country,"Supporting quotes for ""STUDY DESIGN & METHODOLOGY""",quotes,num_quotes
"(Langton & Steenbeek, 2017)",Residential_property,Burglary,1.4227e-4,Netherlands,"- ""Analysis is carried out using conditional logistic regression.""
  - ""Conditional logistic regression models were fitted by conditional maximum likelihood using the statistical environment R.""
  - ""a case-control sampling procedure. This sampling technique is largely associated with epidemiological observational studies that investigate the incidence and distribution of disease.""
  - ""The total sample is split between the 'treatment' group of observations, suffering from the disease of interest, and the 'control' group, which are free of the disease.""
  - ""The results indicate that the more residential units are considered to be under surveillance, the less likely they are to be burglarised. Conversely, properties that are more accessible and are easier to escape from are more likely to be targeted by burglars.""
  - ""The findings lead us to reject the null hypotheses of no effect for hypotheses H1, H2 and H4. For H3, there is insufficient evidence to reject the null hypothesis that there is no relationship between indications of resident wealth and the risk of being burgled.""
  - ""The likelihood ratio test of Model 1 provides support for the assertion that the burglars do not randomly select their targets, given the statistically significant improvement over the baseline model (LR chi2(8) ¼ 57.71; Prob > chi2 ¼ < 0.001).""
  - ""The data offers no evidence to suggest that the effect of surveillability is greater in neighbourhoods with high collective efficacy (p-2s > 0.05).""",,8
"(Kuralarasa et al, 2024)",Street_segment,Graffiti/Vandalism,8.4491e-4,Belgium,"- ""We used the Poisson model implementation because it is computationally easier to estimate. Because the results are equal to those of a conditional logit implementation, our interpretation of the model estimates follows random utility maximization theory.""
  - ""We estimated two separate conditional logit models, as detailed in Table 2""
  - ""Specifically, we applied the conditional logit model, which is part of the discrete choice model family and is derived from the Random Utility Maximization (RUM) theory (Bernasco, 2023).""
  - ""In line with the rational choice perspective and consistent with the extant location choice literature on offending (see Ruiter, 2017), we used the discrete choice model to examine our hypotheses by estimating the location preferences of graffiti writers.""
  - ""We employ a discrete spatial choice model, specifically the conditional logit model, which is one of the methods used under discrete choice models (Bernasco, 2023).""",,5
"(Bernasco & Jacques, 2015)",Street_segment,Drug-related,0.001545,Netherlands,"- ""In the economics literature and in recent criminological research (e.g., Bernasco, Block, & Ruiter, 2013), location choice questions have mostly been analyzed with discrete choice models (Ben-Akiva & Lerman, 1987;Train, 2009), in particular the multinomial logit model.""
  - ""We used this model to calculate, bivariately, the increase in the odds of choosing a street segment that results from a one-unit increase in the street segment characteristic.""
  - ""The reported odds ratios should not be seen as inferential statistics characterizing a population, but as descriptive statistics of the relations between street segment characteristics and the location choices of the dealers in our sample.""
  - ""The statistical approach taken here reflects the small size of our sample, which is too small to allow statistical inference. We only analyze bivariate relations between the characteristics of street segment variables and the dealers' spatial choices, and we refrain from trying to assess the statistical significance of these relations.""",,6
"(Bernasco et al., 2013)",Census_block,Robbery,0.01968,United States,"- ""The discrete choice framework describes the behavior of a decision-maker who must choose an alternative from a finite set of alternatives that are mutually exclusive and collectively exhaustive.""
  - ""The multinomial logit model includes only characteristics of the focal block, not those of adjacent blocks.""
  - ""the universal logit model was extended with the 15 same attributes of second-order spatially adjacent blocks""
  - ""The multinomial logit model is characterized by the independence of irrelevant alternatives (IIAs) property,""
  - ""A generalization of the logit model that does allow utilities to depend on attributes of multiple other alternatives in the choice set (and thus may violate the IIA assumption) is the universal or mother logit model.""
  - ""the analysis includes only the 17.2% of street robberies that were cleared, i.e. for which at least one offender was arrested who was a Chicago resident.""
  - ""A still more robust set of estimates was obtained with a bootstrapping procedure.""
  - ""we used Stata/MP version 11 running on an Intel Xeon 8-core CPU at 2.27 GHz with 12 Gb RAM).""",,11
"(Bernasco et al., 2017)",Census_block,Robbery,0.01968,United States,"- ""The hypothesis is assessed by estimating and comparing separate discrete location choice models for each two-hour time block of the day and for each day of the week.""
  - ""The present article seeks to contribute to the knowledge about how spatial crime patterns depend on the time of the day and the day of the week.""
  - ""the conditional logit model was used to estimate the effects of census block attributes on the probability of the census block being selected for robbery.""
  - ""This is a discrete choice model that is consistent with random utility maximization theory.""
  - ""To explore temporal differences in location preference, 12 models were estimated separately for each of 12 two-hour blocks (4-6 a.m., 6-8 a.m., 8-10 a.m., etc.) and 7 models were estimated separately for each of the seven days of the week.""
  - ""To obtain robust estimates, the analysis just described was repeated 10 times, each time selecting a different random sample of 11,999 (daily variation) or 7,999 (weekly variation) alternative census blocks.""
  - ""To combine the results of the 10 iterations, we used Rubin's (1987) formulae for combining the estimates of bootstrapped multiple regression analyses.""",,9
"(Hanayama et al., 2018)",Grid_cell,Burglary,0.025,Japan,"- ""This study examines the effects of neighbourhood attractiveness on the residential burglar's crime location choice process using a discrete choice model.""
  - ""The purpose of the discrete choice model is to explain the outcome of behaviour when an individual decision maker must choose a single alternative from a set of finite distinct alternatives""
  - ""The use of random utility maximisation theory to study the criminal location choice process can be supported by rational choice theory.""
  - ""If random error terms are independent and identically (Gumbel or Type I extreme value) distributed, then the parameters can be estimated with a multinomial logit model known as the conditional logit model""
  - ""The conditional logit model has been widely used in previous studies.""
  - ""The estimation results of the conditional logit model are presented in Table 3""
  - ""the results of the conditional logit model introducing the past residential burglary rate showed that the distance from offender's residence (0.70), the number of residential units (1.08), and the proportion of single-family dwellings (1.06) were significant (odds ratio).""",,8
"(Frith et al., 2017)",Street_segment,Burglary,0.0284,United Kingdom,"- ""With a mixed logit (discrete choice) model, we use data regarding (N = 459) residential burglaries (for the first time) to model offender spatial decision-making at the street segment level.""
  - ""The application of the discrete choice framework requires the specification of the decision-makers, the choice-set, and the choice criterion.""
  - ""The ML model also addresses problems associated with modeling repeated choices by the same offender.""
  - ""the ML model assumes a probability density function for the coefficients, f (β|θ ), where θ represents the mean and the standard deviation of the βs.""
  - ""We used various numbers of Halton draws (all of which converged), with and without correlated coefficients.""
  - ""All models were computed with the ""bayesmixedlogit"" routine (Baker, 2013) in Stata.""",,8
"(Smith & Brown, 2007)",Grid_cell,Breaking And Entering,0.032,United States,"- ""the spatial hierarchy term is significant.""
  - ""numerical optimization was performed using a variable metric algorithm implemented in the R software package (Team 2004).""
  - ""Parameters are estimated via maximum likelihood, where the likelihood function is given by""
  - ""The models presented in this paper use the spatial hierarchy model, with evaluation likelihood determined via Parzen kernel density estimation.""
  - ""The most commonly applied multinomial choice model is the multinomial logit.""",,5
"(Bernasco, 2019)",Grid_cell,Multiple Types,0.04,Netherlands,"- ""I use a discrete spatial choice approach to explain the offender's choice of a crime location and test the hypotheses.""
  - ""Following the random utility maximization postulate and according to a conditional logit model [36], the offender chooses a single location from the full choice set of 4558 locations""
  - ""The deterministic part of utility V ij is a linear function of the attributes of individuals and locations:""
  - ""The values of β 1 to β 17 are parameters that are estimated from the data.""
  - ""If the unobserved random utility components ε ij are independently and identically distributed according to an extreme value distribution, the conditional logit model [36] can be derived.""
  - ""The findings reported here suggest that all of us, law-breakers and law-abiders alike, may be less innovative and more predictable than we think we are, or would like to be.""",,7
"(Xue & Brown, 2006)",Grid_cell,Residential Breaking And Entering (B & E),0.062,United States,"- ""In this paper, we exploit the rational choice perspective to model the site selection behavior of individual criminals.""
  - ""Our model differs from those used in consumer theory in that the decision makers for us are active criminals and hence, not accessible by survey instruments.""
  - ""Discrete choice models have been applied to a number of areas, such as consumer destination selection [12,24], travel mode analysis [1,3,19], and recreational demand models [25].""
  - ""The problem formulation in Section 2 provides the basis for developing spatial choice models for criminal event prediction.""
  - ""The resulting approach is called the distinct spatial choice model.""
  - ""the spatial choice model in Eq. ( 1) for criminal site selection changes to""
  - ""The Type I extreme value distribution is described as P(e i be)=exp(Àexp(Àe)) [18].""
  - ""The models of Section 3 provide a method for predicting criminal incidents.""
  - ""The prior probabilities P(a i aM) of the uniform spatial choice models were calculated as in Section 3.2 for each cluster.""
  - ""The final prediction of a future crime's spatial distribution is the combination of the predicted probabilities of all clusters.""
  - ""the distinct spatial choice model provides more accurate and distinct predictions.""
  - ""The predictions of the compared models are paired probabilities over the spatial alternatives in choice set A.""
  - ""The testing results and the visualization show that the new models perform much better than the hot spot methods using density estimation.""",,13
