Citation,Name_of_the_unit,Crime_Type,Unit_size_km2,Country,"Supporting quotes for ""SPATIAL UNITS - DESCRIPTION & JUSTIFICATION""",quotes,num_quotes
"(Langton & Steenbeek, 2017)",Residential_property,Burglary,1.4227e-4,Netherlands,"- ""The total sample is split between the 'treatment' group of observations, suffering from the disease of interest, and the 'control' group, which are free of the disease.""
  - ""the 'treatment' observations are those properties that were burgled, and the 'control' observations are those that were not.""
  - ""By sampling treatments and controls by neighbourhood, observations can be systematically compared whilst keeping all contextual characteristics on the neighbourhood-level constant, and no assumptions have to be made regarding omitted variable bias.""
  - ""The neighbourhoods of The Hague that were used in this study are exhibited in Fig. 1 , along with a single demonstrative neighbourhood to visualise the case-control design, using synthetic crime data.""
  - ""the final sample used for analysis therefore consisted of 300 single houses, evenly split between burglarised and non-burglarised dwellings.""
  - ""the data used for the neighbourhood-level construct was retrieved courtesy of Bruinsma et al. (2013), gathered from the community survey which contained five questions on social trust and six questions on informal social control""
  - ""The final construct had a mean of 0.07 (min ¼ À1.80, max ¼ 2.28, SD ¼ 1.05).""
  - ""The average response per neighbourhood was 36 respondents, giving a net-response rate of 31 percent (Bruinsma et al., 2013).""
  - ""Of these 86, only those that contained at least one burglarised house and comprehensive coverage of GSV were retained, leaving 55 usable neighbourhoods.""",,14
"(Kuralarasa et al, 2024)",Street_segment,Graffiti/Vandalism,8.4491e-4,Belgium,"- ""We chose to represent street segments using polygons rather than the more common ""line"" representations.""
  - ""Our final dataset includes information from 2,233 street segments from the original 2,392.""
  - ""The spatial resolution of a street segment naturally corresponds to human observational limitations. It possesses attributes suitable for direct sensory perception, making it especially relevant for measuring exposure.""
  - ""We adopted street segments as our spatial unit of analysis, aligning with recent research advocating the use of street segments or similarly sized spatial units for analyzing crime and disorder (Groff et al., 2010;Weisburd et al., 2004).""
  - ""These categories have different structural characteristics that directly affect urban traffic flows in general and may indirectly influence social dynamics.""",,5
"(Bernasco & Jacques, 2015)",Street_segment,Drug-related,0.001545,Netherlands,"- ""The average length of the 262 street segments is 103 meters (SD = 65 m, minimum = 16 m, maximum = 425 m).""
  - ""The results of our analysis of the interview transcripts demonstrate that street segments are still too coarse as units of analysis, not only because they still cover too large territory but also because their relevant characteristics are not stable over time.""
  - ""Systematic observation requires that the area be partitioned into spatial units. In line with recent work that advocates the use of small spatial units of analysis (Oberwittler & Wikström, 2009;Weisburd, Groff, & Yang, 2012) and translating it into practical guidelines, 262 street segments were identified in the study area, of which 49 are located in the Red Light District.""
  - ""The rationale was that for decision making in dealing situations, what matters are the characteristics of a place that can be seen or heard, and it seemed that street segments (""street blocks,"" ""face blocks"") are small enough to assure that from any point in the street segment, relevant attributes of any other point in the same segment could be seen and heard.""
  - ""Segments were operationally defined as the two sides of a street, road or alley between intersections, or a square.""",,5
"(Bernasco et al., 2013)",Census_block,Robbery,0.01968,United States,"- ""We use data that are disaggregated to the level of census blocks.""
  - ""In 2000 there were 24,594 census blocks in Chicago from which a robber chooses a single one when committing a robbery.""
  - ""In Chicago, with an average surface of 140 m Â 140 m (460 ftÂ 460 ft) and an average population of 118 residents, census blocks are approximately 30 times smaller than census tracts.""
  - ""In this article, we introduce three major advances over prior work on crime location choice. The first applies to spatial scale. While classic studies on the geography of crime (Shaw and McKay, 1942;Sampson et al., 1997) have used large urban areas as their spatial units of analysis, recent research suggests that often crime concentrations are not larger than a street segment (Smith et al., 2000;Weisburd et al., 2004) or street corner (McCord and Ratcliffe, 2007). To improve our understanding of the fine-grained spatial decisions of street robbers, we zoom in to the level of census blocks.""
  - ""Zooming in to block level allows us to analyze in a detailed way the location choices of robbers.""",,6
"(Bernasco et al., 2017)",Census_block,Robbery,0.01968,United States,"- ""The spatial units of analysis are census blocks.""
  - ""As robberies can be committed anywhere in outdoor public space, all census blocks are included in the analyses.""
  - ""About 98.5 percent of these addresses were successfully geocoded and assigned to 1 of the 24,594 census blocks in the city of Chicago.""
  - ""The mean age was 23.9 years (SD ¼ 8.8), 89.7 percent were male, 78.4 percent were African American, 15.6 percent were Hispanic, and 5.5 percent were White.""
  - ""The data also include information on the offenders who were arrested for committing these street robberies, including gender, racial and ethnic background, age, and residential address at the time of the robbery.""
  - ""The analysis is limited to cleared robberies because only for cleared robberies offender addresses are available, and distance from the offender home location is by far the most important predictive factor in crime location choice""",,6
"(Hanayama et al., 2018)",Grid_cell,Burglary,0.025,Japan,"- ""Using grid cells as alternatives in the conditional logit model allows the unbiased comparison of alternatives, because the grid cells are equal in size.""
  - ""We used data from 369 solved cases committed by 70 offenders and related these data to 1,134 areas (500 m grid cells) in Sendai City, Japan.""
  - ""The Japanese national census, in addition to neighbourhood units, makes data aggregated by grid cell unit available. The size of grid cells is 500 m on a one side and comes with specified longitude and latitude data.""
  - ""Ratcliffe (2003) showed that physical boundaries separating neighbourhoods, such as highways and parkland, do not form barriers to the movement of residential burglars.""",,4
"(Frith et al., 2017)",Street_segment,Burglary,0.0284,United Kingdom,"- ""Analyses were conducted for all street segments in the towns of High Wycombe and nearby Beaconsfield and Marlow in Buckinghamshire (U.K.).""
  - ""The study area was defined by identifying the ""built-up areas"" of the three towns and by applying a 1-km buffer around them""
  - ""For example, people do not navigate from one large area to another; they navigate along the road network. As such, a spatial resolution at this scale (e.g., street segment) should better capture the spatial logic of offender decision-making""
  - ""These smaller spatial units are also methodologically justified as even if an offender's mental map is more generalized than is specified, local variations would be unobserved if aggregated before measurement""
  - ""The use of this framework has now become well established in the criminological literature, although the units of analysis considered are typically large areal units (for an overview of studies, see appendix C in the online supporting information).""
  - ""For parsimony, table 3 shows the results for the key variables of interest, along with the model fits from the ML models. Estimates for the full models can be found in appendices D and E in the online supporting information.""
  - ""the unit of analysis is the street segment.""",,9
"(Smith & Brown, 2007)",Grid_cell,Breaking And Entering,0.032,United States,"- ""The choice set was defined using the following steps. The smallest rectangle that would wholly circumscribe the boundaries of the City of Richmond was the extents of a grid with 100 rows and 100 columns. A spatial intersection operation was then performed to remove those grid cells falling wholly outside the city limits. The remaining 4,895 centroids constitute the choice set.""
  - ""If features are aggregated areally, such as demographic data reported by census tract, then a grid resolution finer than the aggregation area is unnecessary.""
  - ""The resolution of the grid used must be fine enough to capture the variance of spatial features. Determining adequate resolution depends on the nature of features used.""
  - ""The north-south inter-centroid spacing is 170 m, the east-west inter-centroid spacing is 191 m.""",,5
"(Bernasco, 2019)",Grid_cell,Multiple Types,0.04,Netherlands,"- ""The model fit measure is the rank number of the grid cell where the crime was actually committed, divided by the total number of 4558 grid cells, averaged over all crimes.""
  - ""Following [8], the predictability of an individual's whereabouts was derived from entropy measures of the sequence of 96 locations (i.e., 200 × 200m grid cells) reported in the space-time budget.""
  - ""the offender chooses a single location from the full choice set of 4558 locations (67 × 67 = 5092 grid cells of 200x200m each, minus 544 grid cells completely located on the North Sea).""
  - ""The values of β 1 to β 17 are parameters that are estimated from the data.""
  - ""the characteristic size of the area covered by the mobility of a single person up to time t is indicated by his or her radius of gyration""",,5
"(Xue & Brown, 2006)",Grid_cell,Residential Breaking And Entering (B & E),0.062,United States,"- ""The sub regions shown in Fig. 1 are block groups, which are the smallest areas, for which census counts are recorded.""
  - ""The features of each spatial alternative come from the combination of census data and calculated distance values.""
  - ""The analysis of B & E is related to locations of households in a city. However, it is difficult to represent all locations of individual houses in even a modest sized city, such as Richmond.""
  - ""we aggregated alternatives using 2517 regular grids, which were assumed to be fine enough to represent all spatial alternatives within this area.""",,4
"(Marchment & Gill, 2019)",Small_areas,Terrorist Attacks By The Provisional Irish Republican Army (Pira),0.15,Northern Ireland,"- ""Since 2011, Northern Ireland has been divided into 4537 'Small Areas' (hereafter, SAs), which are currently the smallest areal unit.""
  - ""SAs were designed specifically for statistical purposes and follow physical features of the environment such as roads and rivers (NISRA).""
  - ""The geographical boundary data for the SAs was obtained from the Northern Ireland Statistics and Research Agency (NISRA).""
  - ""The final offence and offender datasets comprised 150 attacks by 127 PIRA members within Belfast.""
  - ""Areal unit boundaries are arbitrary and lack ecological meaning (Bursik, 1986) and the characteristic data used may not be an accurate representation of the perceptions of those living in the areas (Coulton et al., 2001).""
  - ""Smaller units would enable factors such as the effects of social disorganisation to be touched upon, if the data was available.""",,6
"(Johnson & Summers, 2015)",Lower_Super_Output_Area,Theft,0.2,United Kingdom,"- ""The unit of analysis selected was the U.K. census Lower Super Output Area (LSOA).""
  - ""For the study area, there were 198 LSOAs, each with a population of around 1,524 people and about 662 residential households.""
  - ""LSOAs are somewhat smaller than the areas used in most (but not all; for example, Bernasco et al., 2013) previous studies of this kind.""
  - ""Using a Geographical Information System (GIS), the police data were ""related"" to maps of the area to determine origindestination flows.""",,4
