Citation,Name_of_the_unit,Crime_Type,Unit_size_km2,Country,"Supporting quotes for ""STUDY CONTEXT & GEOGRAPHY""",quotes,num_quotes
"(Langton & Steenbeek, 2017)",Residential_property,Burglary,1.4227e-4,Netherlands,"- ""For this study, a selection of 150 dwellings that were burglarised during daylight hours in 2009 is made from geocoded, timestamped data from The Hague Police Force, the Netherlands.""
  - ""The data collection technique is not without its drawbacks. The inability of the Google Car to capture isolated properties inevitably leads to a bias sample, as these cannot be coded.""
  - ""The outcome variable in this study was whether or not a residential unit was burgled in The Hague during the year 2009.""
  - ""The physical characteristics of these residential units and their immediate surrounding area are measured through Systematic Social Observation (SSO), using Google Maps and its built-in virtual reality tool, Google Street View (GSV).2""
  - ""the present study uses quantitative data on burglary events and residential units to test the previous findings from offender-based literature, answering calls from recent research (Vandeviver et al., 2015).""",,7
"(Kuralarasa et al, 2024)",Street_segment,Graffiti/Vandalism,8.4491e-4,Belgium,"- ""We investigate the spatial decision-making of graffiti writers when selecting target locations, examining how street segment characteristics influence exposure.""
  - ""we collected data through Systematic Social Observation in Ghent's city center in November 2017, covering 12,655 graffiti instances across 2,233 street segments.""
  - ""In our study, we analyze graffiti instances in Ghent, Belgium.""
  - ""To ensure practicality in the scope of our observations while still focusing on areas with a high incidence of graffiti, we restricted our study area to the city center of Ghent.""
  - ""The observation focused only on the street segments of Ghent city center.""
  - ""Our final dataset includes information from 2,233 street segments from the original 2,392.""
  - ""The study area does not have transit lines other than the trams and buses on the streets, and we haven't observed graffiti along railway tracks or on trains.""
  - ""The findings suggest that graffiti writers prefer vibrant and busy areas with exposure potential, often characterized by the presence of establishments like bars and restaurants that could attract a large number of visitors.""",,9
"(Bernasco & Jacques, 2015)",Street_segment,Drug-related,0.001545,Netherlands,"- ""The city of Amsterdam, the Netherlands, had a population of 780,500 in 2011""
  - ""The present study applied this general theory to a very specific crime-illicit drug dealing in an open air drug market-and tested it in the Red Light District and its neighboring area in downtown Amsterdam, the Netherlands.""
  - ""The overall study sample consisted of 50 subjects who were active as dealers in downtown Amsterdam.""
  - ""the 1012 postal code was chosen as the study area; its street layout is displayed in Figure 1""
  - ""The 1012 postal code includes as a subarea the Amsterdam Red Light District (""De Wallen""), a network of small streets and alleys with a heavy concentration of legal indoors prostitution services, totaling approximately 370 ""windows"" where prostitutes openly advertise their services.""",,7
"(Bernasco et al., 2013)",Census_block,Robbery,0.01968,United States,"- ""The data further include detailed information on land use, population and activities in all census blocks in the city of Chicago.""
  - ""Street robbers use threats or physical force to steal the properties of their victims.""
  - ""The Chicago Police Department recorded 75,065 street robberies from 1996 through 1998""
  - ""In 2000 there were 24,594 census blocks in Chicago from which a robber chooses a single one when committing a robbery.""
  - ""In Chicago, with an average surface of 140 m Â 140 m (460 ftÂ 460 ft) and an average population of 118 residents, census blocks are approximately 30 times smaller than census tracts.""
  - ""Using data on nearly 13,000 robberies, on the approximately 18,000 offenders involved in these robberies, and on the nearly 25,000 census blocks in the city of Chicago, we utilize the discrete choice framework to assess which criteria motivate the location decisions of street robbers.""",,6
"(Bernasco et al., 2017)",Census_block,Robbery,0.01968,United States,"- ""the data include both the location where the offender lived and the location where the robbery was committed. About 98.5 percent of these addresses were successfully geocoded and assigned to 1 of the 24,594 census blocks in the city of Chicago.""
  - ""The analysis is limited to cleared robberies because only for cleared robberies offender addresses are available, and distance from the offender home location is by far the most important predictive factor in crime location choice""
  - ""In 1996 to 1998, the Chicago Police Department recorded 12,938 cases of robbery incidents in outdoor public locations (street robberies) for which at least one person was arrested who was a Chicago resident.""
  - ""Using data on the city of Chicago, we answer the question whether street robbers' crime location preferences vary across the hours of the day and across the days of the week.""",,4
"(Hanayama et al., 2018)",Grid_cell,Burglary,0.025,Japan,"- ""We used data from 369 solved cases committed by 70 offenders and related these data to 1,134 areas (500 m grid cells) in Sendai City, Japan.""
  - ""The goal of this study was to examine past crime data to determine whether such data could be used as an index of the attractiveness of neighbourhoods for residential burglary, which is the first step to introducing past crime data for geographic profiling.""
  - ""To examine the residential burglar crime location choice process using the conditional logit model, we chose an area of Sendai City in northern Honshu as the location for our study.""
  - ""Using the grid cell method described earlier, we narrowed down the study area to covering the area not flooded during the Great East Japan Earthquake and Tsunami on March 11, 2011 (Pasco, 2011) because the tsunami may have changed the environment.""
  - ""Ultimately, we used 1,134 grid cells as the study area.""
  - ""Solved cases data were collected from the Japanese national police register on detected residential burglaries committed by solitary burglars between 2007 and 2015 who lived in the study area in Sendai City.""",,6
"(Frith et al., 2017)",Street_segment,Burglary,0.0284,United Kingdom,"- ""Data were provided by Thames Valley Police (TVP) for all residential burglaries recorded and officially cleared for the 10-year period 04/01/2004 to 03/31/2014.""
  - ""The study area was defined by identifying the ""built-up areas"" of the three towns and by applying a 1-km buffer around them""
  - ""Analyses were conducted for all street segments in the towns of High Wycombe and nearby Beaconsfield and Marlow in Buckinghamshire (U.K.).""",,6
"(Smith & Brown, 2007)",Grid_cell,Breaking And Entering,0.032,United States,"- ""The north-south inter-centroid spacing is 170 m, the east-west inter-centroid spacing is 191 m.""
  - ""The smallest rectangle that would wholly circumscribe the boundaries of the City of Richmond was the extents of a grid with 100 rows and 100 columns.""
  - ""The complete dataset consists of all reported breaking and entering crime in the City of Richmond, VA for calendar year 1997.""
  - ""The dataset of breaking and entering crime analyzed here was obtained from the Richmond City Records Management Center and augmented with publicly available GIS layers to introduce proximity measurements and census information.""",,5
"(Bernasco, 2019)",Grid_cell,Multiple Types,0.04,Netherlands,"- ""The Study of Peers, Activities and Neighborhoods (SPAN) is a two-wave panel study among adolescents in The Hague, the Netherlands, and its suburbs.""
  - ""Within four years after completing the first space-time budget interview, 70 (14%) of the 517 who had given permission to have their data linked to other sources had committed at least one offense in the study catchment area that was brought to the attention of the police.""
  - ""The crimes included a wide variety of property and violent crimes, including theft, burglary, assault, robbery, drug dealing and public order offences.""
  - ""The sample was representative for adolescents in The Hague of these age groups in terms of gender and ethnic background.""
  - ""The study included a selfreport questionnaire and a personal space-time budget interview, both of which were administered at the schools that the respondents attended.""",,8
"(Xue & Brown, 2006)",Grid_cell,Residential Breaking And Entering (B & E),0.062,United States,"- ""The data for model evaluation came from the Regional Crime Analysis Program (ReCAP). ReCap was created as a cooperative project between local police departments in Northern and Central Virginia and the researchers in the University of Virginia.""
  - ""The analysis of B & E is related to locations of households in a city.""
  - ""We extracted the Residential bBreaking and Enter-ingQ (B & E) criminal incidents between July 1, 1997 and October 31, 1997 in the city of Richmond, VA for model estimation and validation.""
  - ""The specific data set used for evaluating this work came from the criminal incident reporting mainframe system (RAMS). It is the data set used by the police department in Richmond, VA.""",,5
