Citation,Name_of_the_unit,Crime_Type,Unit_size_km2,Country,"Supporting quotes for ""THEORETICAL FRAMEWORK & OBJECTIVES""",quotes,num_quotes
"(Langton & Steenbeek, 2017)",Residential_property,Burglary,1.4227e-4,Netherlands,"- ""We encourage future research to consider using GSV as a method of collecting fresh data, with the broader aim of explaining criminal behaviour at micro-spatial scales.""
  - ""the present study uses quantitative data on burglary events and residential units to test the previous findings from offender-based literature, answering calls from recent research (Vandeviver et al., 2015).""
  - ""The value of such contributions is undeniable, but a statistical test of complex behavioural models is beyond the scope of this paper. For this reason, we rely on a parsimonious interpretation of rational choice theory in alignment with recent quantitative research in the field (e.g. Vandeviver et al., 2015).""
  - ""Routine activity theory states that motivated offenders, suitable targets and a lack of capable guardians must converge in order for a criminal act to occur (Cohen & Felson, 1979).""
  - ""The principle disadvantage of this research is that it remains unclear whether the actual behaviour by burglars outside of the interview room concurs with these findings.""",,6
"(Kuralarasa et al, 2024)",Street_segment,Graffiti/Vandalism,8.4491e-4,Belgium,"- ""Extending the rational choice perspective to expressive offending, we collected data through Systematic Social Observation in Ghent's city center in November 2017, covering 12,655 graffiti instances across 2,233 street segments.""
  - ""Our study aims to uncover the factors behind these variations by exploring graffiti writers' location choices and their underlying motivations.""
  - ""We term this motivation as ""exposure,"" indicating graffiti writers' desire for their art to be seen and recognized by a broad audience.""
  - ""We use the rational choice perspective (RCP) and spot theory as our theoretical framework to investigate the decision-making processes guiding graffiti writers' location choices.""
  - ""RCP suggests that an offender evaluates the potential benefits and costs associated with various actions before making a decision""
  - ""Spot theory suggests that graffiti writers select locations based on visibility, audience, risk, and the cultural significance of the spot within the graffiti subculture.""
  - ""Our research aimed to uncover the factors that motivate graffiti writers to choose certain places, with a particular focus on the role of exposure.""
  - ""The findings support our hypothesis that graffiti writers prefer locations with increased potential for exposure.""
  - ""Second, by utilizing a systematic in-person social observation (SSO) method, we assess the prevalence of illegal graffiti and the characteristics of street segments.""
  - ""Our study aims to quantitative exploration of graffiti writers' observed location choices to test whether graffiti writers prefer locations with high exposure.""
  - ""Our findings suggest that graffiti writers aim to maximize exposure, highlighting the rational choice perspective's relevance for expressive offending.""",,13
"(Bernasco & Jacques, 2015)",Street_segment,Drug-related,0.001545,Netherlands,"- ""According to a rational choice theory of crime location choice, offenders commit crimes at locations where the mix of expected rewards and costs is optimal.""
  - ""The present study applied this general theory to a very specific crime-illicit drug dealing in an open air drug market-and tested it in the Red Light District and its neighboring area in downtown Amsterdam, the Netherlands.""
  - ""Following prior work on retail drug markets (e.g., Eck, 1995;Rengert, 1996), our theoretical perspective combines elements from economics and criminology.""
  - ""The two main features that distinguish our study from prior work on the geography of drug dealing are the detailed spatial scale of analysis and the emphasis on multiple methods.""
  - ""The aim of the present study is to find out what affects street dealers' choices about where to solicit customers and make sales.""
  - ""What are the selection criteria that guide their choices? Are they attracted by the availability of potential customers? Are they deterred by formal and informal social control?""
  - ""The extant theoretical and empirical literature on criminal location choices (e.g., Bernasco, Block, & Ruiter, 2013) is primarily concerned with predatory crimes such as burglary and robbery, that is, crimes in which one party (the offender) wins something that the other party (the victim) loses.""
  - ""An open question is whether the same principles that guide the location choices of predatory offenders also apply to location choices of offenders that commit consensual crimes such as drug dealing.""
  - ""We conclude by discussing the implications of our findings for criminological theory and research methods.""",,11
"(Bernasco et al., 2013)",Census_block,Robbery,0.01968,United States,"- ""This article analyzes how street robbers decide on where to attack their victims. Using data on nearly 13,000 robberies, on the approximately 18,000 offenders involved in these robberies, and on the nearly 25,000 census blocks in the city of Chicago, we utilize the discrete choice framework to assess which criteria motivate the location decisions of street robbers.""
  - ""Choosing an economic approach to tackle these issues implies that we study the choice of where to commit a robbery as incentive-driven behavior that is comparable to other forms of economic and geographic human behavior, and can fruitfully be subjected to the same type of rigorous economic analysis as more common types of behavior.""
  - ""The discrete choice framework describes the behavior of a decision-maker who must choose an alternative from a finite set of alternatives that are mutually exclusive and collectively exhaustive.""
  - ""The question that inspires our research is not whether someone commits a robbery. We take for granted that there exist people who are mentally and physically prepared to act violently and break the law to obtain what they want. The question is where they do it, and why they do it there and not somewhere else.""
  - ""In this article, we introduce three major advances over prior work on crime location choice.""
  - ""Whereas it is crucial to understand what it is that attracts robbers, it is equally important to know what deters them. Possible factors include law enforcement activity (e.g. patrol intensity and investigative efficiency of the police that influence the risk of arrest), victim vigilance (e.g. hired private security personnel around businesses) and criminal competition (e.g. gangs violently dominating the local area). Our data did not contain appropriate localized measures of factors that could potentially deter robbers and force them to choose alternative robbery locations.""",,8
"(Bernasco et al., 2017)",Census_block,Robbery,0.01968,United States,"- ""The hypothesis suggested in the first paragraph is that for street robbers, the importance of a target area attribute is conditional on the time of day and on the day of the week, not because the robber changes his or her preferences but because the target area attributes depend on time of day and day of week, and are outside the robber's control.""
  - ""This hypothesis is inspired by a rational choice perspective on crime.""
  - ""Rational choice theory, however, is not the only theory predicting temporal variability in where crime takes place. Routine activity theory (Cohen and Felson 1979) emphasizes that the convergence of offenders and targets in both space and time is a necessary requirement for predatory crime.""
  - ""The present article seeks to contribute to the knowledge about how spatial crime patterns depend on the time of the day and the day of the week.""
  - ""Most research on spatial variation in crime has overlooked the temporal dimension. It explores where crime takes place but ignores when it does.""
  - ""The main hypothesis of Haberman and Ratcliffe and of ourselves was, however, that the effects of most potential target block attributes would systematically vary over the course of the day and the week, because we know that these attributes have daily and weekly activity cycles.""
  - ""The combination of our own findings and those of Haberman and Ratcliffe (2015) tentatively suggest that the hypothesis of temporal variation in street robbery location preferences may be wrong.""",,7
"(Hanayama et al., 2018)",Grid_cell,Burglary,0.025,Japan,"- ""This study examines the effects of neighbourhood attractiveness on the residential burglar's crime location choice process using a discrete choice model.""
  - ""Theories explaining the offender crime location choice processes have been proposed. One of these is rational choice theory, which assumes that offenders rationally decide on their criminal behaviour to maximise their benefit by increasing gains and reducing costs within the limitations of their time and ability and the availability of relevant information""
  - ""Routine activity theory, proposed by Cohen and Felson (1979), is another theory concerning an offender's criminal location choice process.""
  - ""The crime pattern theory is a third theory that provides a basis for the understanding the offender crime location choice processes.""
  - ""The goal of this study was to examine past crime data to determine whether such data could be used as an index of the attractiveness of neighbourhoods for residential burglary, which is the first step to introducing past crime data for geographic profiling.""
  - ""no study to date has examined whether data on past crime would be a useful index of the attractiveness of a neighbourhood for new offenders.""
  - ""the study is significant because it indicated that past crime data are effective for indexing the attractiveness of neighbourhoods for residential burglars.""
  - ""We should examine the effect of the past crime data of other types of crimes on an offender's choice of location for crimes because this index is applicable to the analysis of every type of crime.""",,8
"(Frith et al., 2017)",Street_segment,Burglary,0.0284,United Kingdom,"- ""Explaining why crime is spatially concentrated has been a central theme of much criminological research. Although various theories focus on neighborhood social processes, environmental criminology asserts that the physical environment plays a central role by shaping people's activity patterns and the opportunities for crime.""
  - ""Here, we test theoretical expectations regarding the role of the road network in shaping the spatial distribution of crime and, in contrast to prior research, disentangle how it might influence offender awareness of criminal opportunities and the supply of ambient guardianship.""
  - ""As predicted by crime pattern theory, novel metrics concerning offender familiarity and effort were significant predictors of residential burglary location choices.""
  - ""And, in line with Newman's (1972) concept of defensible space, nonlocal (local) pedestrian traffic was found to be associated with an increase (decrease) in burglary risk.""
  - ""The aim of prior research has been to examine the role of the road network on crime, but it has failed to isolate the influence of these two mechanisms.""
  - ""To address these shortcomings, in this article, we make several novel contributions.""
  - ""The findings of quantitative research intended to test these two theories are somewhat mixed and can be divided into two branches.""
  - ""The aim of qualitative research (e.g., Cromwell, Olson, and Avery, 1991; Wright and Decker, 1994) is to provide more insight from the offender's perspective.""",,8
"(Smith & Brown, 2007)",Grid_cell,Breaking And Entering,0.032,United States,"- ""This paper presents an algorithm for the complete specification of multinomial discrete choice models to predict the spatial preferences of attackers.""
  - ""The formulation employed is a modification of models previously applied in transportation flow and crime analysis.""
  - ""The objective of this paper is to define an algorithm for the objective application of multinomial discrete choice models to spatial point patterns which are driven by human decision makers.""
  - ""The pursuit of this predictive ability is the motivation for this work.""
  - ""The facility inherent in the algorithm will be demonstrated on an urban crime data set.""
  - ""Discrete choice models are shown to perform as well as, or better than such models and offer more interpretable results.""",,6
"(Bernasco, 2019)",Grid_cell,Multiple Types,0.04,Netherlands,"- ""Crime pattern theory is a non-formalized theory that addresses the question where offenders perpetrate crime""
  - ""The theory asserts that most crimes occur while the offenders are involved in non-criminal routine activities in or near their activity space.""
  - ""the main purpose of the present study is to assess whether preferential return and spatial exploration can explain and predict where offenders will commit crimes in the future,""
  - ""A supplementary objective is to assess whether the routine mobility patterns of offenders differ from those of non-offenders.""
  - ""The statistical analyses are informed and structured by the crime pattern theory""
  - ""the key assertion of crime pattern theory-that most crimes are committed in or near the offender's activity space-still needs to be addressed.""
  - ""Detailed observations of offender mobility are very rare.""
  - ""The prevention of crime heavily depends on our ability to forecast where and when it will happen.""
  - ""To improve not only the prediction but also the explanation of where crimes take place, we need to understand the spatial behavior of individual offenders.""",,13
"(Xue & Brown, 2006)",Grid_cell,Residential Breaking And Entering (B & E),0.062,United States,"- ""According to the rational choice perspective in criminology, criminal incidents, like many other human initiated events, involve a decision making and choice process [8].""
  - ""In this paper, we exploit the rational choice perspective to model the site selection behavior of individual criminals.""
  - ""The paper compares the performance of this methodology to more traditional hot spot methods of crime analysis.""
  - ""What is needed is a predictive approach that models the micro behavior and spatial choices of criminals.""
  - ""The problem with trying to make a model that is distinct to each criminal is that there is a very large number of both alternatives and alternative attributes that may be considered by the criminals.""
  - ""The results in Section 2 show how discrete choice theory can describe spatial choices by criminals.""",,6
