Study_ID,Citation,Publication_Year,Unit_size_km2,Log_Unit_size,Total_Variables,Total_Variables_Numeric,Jurisdiction,Anglo_Saxon,Crime_Type_Clean,Unit_Type,Research_Sophistication,Time_Period,Has_Unit_Justification,Justification_Summary,Quoted_Rationale,Rationale_Category,Variable_Complexity,Variable_Diversity_Score,Demographic_Count_Numeric,Economic_Count_Numeric,Environmental_Count_Numeric,Distance_Count_Numeric,Temporal_Count_Numeric,Has_Demographic_Vars,Has_Economic_Vars,Has_Environmental_Vars,Has_Distance_Vars,Has_Temporal_Vars,Data_Limitation_Score,Data_Limitation_Category,Has_Data_Quality_Issues,Has_Missing_Data_Issues,Has_Data_Source_Limitations,Has_Measurement_Issues,Has_Temporal_Limitations,Has_Generalizability_Issues,Has_Context_Specificity,Has_Comparative_Limitations,Has_Scale_Limitations,Has_Scale_Recommendations,Has_Spatial_Scale_Recommendations,Scale_Limitations_Status,Scale_Recommendations_Status,Spatial_Scale_Recommendations,Methodological_Rigor_Score,Study_Quality_Score,Has_Model_Comparison,Has_Sample_Size_Effects,Has_Robustness_Checks,Has_Cross_Scale_Comparisons,Data_Quality_Issues,Missing_Data_Issues,Data_Source_Limitations,Measurement_Issues,Temporal_Limitations,Generalizability,Context_Specificity,Comparative_Limitations
1,"(Vandeviver et al., 2015)",2015,1.36e-4,-3.8664610916297826,21,21,Belgium,Other,Burglary,Property-level,4,2011-2015,TRUE,Using houses as the spatial unit addresses methodological issues and aligns with the nature of burglary.,"""The use of fine-grained spatial units of analysis such as the house that is burglarized has the advantage that it addresses the modifiable areal unit problem and reduces the risk of aggregation bias.""",Theory-Method,High (21-30),5,3,3,6,5,4,TRUE,TRUE,TRUE,TRUE,TRUE,7,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Specified,Not Specified,Use finer spatial units like the house level.,1,5,FALSE,FALSE,FALSE,TRUE,Selection effects in recorded crime data may overrepresent local burglars and underestimate remote targets.,Police files lack information on additional reference points or actual locations from which offenders left to commit offenses.,"Registry data lacks information on apartments, limiting analyses to house burglaries.","Variables for rewards, efforts, and risks may not be effective indicators.",NA,Limited to the Belgian province of East Flanders; focus on houses rather than apartments.,"Findings specific to East Flanders, Belgium.",No direct comparisons across different contexts or time periods.
2,"(Langton & Steenbeek, 2017)",2017,1.4227e-4,-3.846886668489391,19,19,Netherlands,Other,Burglary,Property-level,4,2016-2020,TRUE,"The study focuses on property-level attributes, using a case-control design to isolate property-level effects from neighborhood-level effects.","Not explicitly quoted, but implied in the methodology",Theory-Method,Medium (11-20),5,3,1,3,6,6,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,Focus on micro-spatial scales.,1,5,FALSE,TRUE,FALSE,FALSE,"The study acknowledges limitations in capturing isolated properties due to Google Street View's inability to access these areas, leading to a biased sample.",Isolated properties cannot be coded due to Google Car limitations.,Google Street View cannot capture isolated properties.,Measurements may not capture all nuances from one-on-one interviews; equal importance assumption for items within constructs may not hold.,"Behavior may vary depending on the time of day, not explored in this study.",Limited generalizability due to non-representative sample and context-specific data collection methods.,"Findings may be specific to The Hague, Netherlands, and single-family homes.",No direct comparisons across different contexts or time periods.
3,"(Kuralarasa et al, 2024)",2024,8.4491e-4,-3.073189549730839,24,24,Belgium,Other,Other Specific Crimes,Street-based,4,2021-2025,TRUE,Street segments were chosen because they align with human observational limitations and are suitable for measuring exposure.,"""We adopted street segments as our spatial unit of analysis, aligning with recent research advocating the use of street segments or similarly sized spatial units for analyzing crime and disorder.""",Theory-Method,High (21-30),4,2,0,9,5,8,TRUE,FALSE,TRUE,TRUE,TRUE,7,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Specified,Not Specified,Not mentioned.,1,5,TRUE,FALSE,FALSE,FALSE,Focus primarily on exposure; exclusion of variables due to inter-rater reliability issues.,Graffiti along railway tracks and in inaccessible locations.,Specific urban context; limited to Ghent city center.,Factors examined may not cover all motivations for graffiti writers.,NA,The findings are specific to the urban context of Ghent and may not generalize to other cities or contexts due to differences in graffiti culture and public perceptions.,"The findings are highly context-specific, as they are derived from a specific urban environment and may not apply to other settings.","The study does not provide a basis for comparison across different contexts or time periods, as it is focused on a specific urban environment."
4,"(Bernasco & Jacques, 2015)",2015,0.001545,-2.8110715162391466,25,25,Netherlands,Other,Other Specific Crimes,Street-based,4,2011-2015,TRUE,Street segments were chosen because they are small enough to capture relevant environmental characteristics that influence drug dealing decisions.,"""The rationale was that for decision making in dealing situations, what matters are the characteristics of a place that can be seen or heard, and it seemed that street segments ('street blocks,' 'face blocks') are small enough to assure that from any point in the street segment, relevant attributes of any other point in the same segment could be seen and heard.""",Theory-Method,High (21-30),5,7,4,6,3,5,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Specified,Specified,Use smaller spatial units than street segments.,0,4,FALSE,FALSE,FALSE,FALSE,Small sample size affects statistical inference.,Limited access to certain types of dealers.,Study area and recruitment method limited access to certain dealers.,Street segments too coarse for stable characteristics.,Partial overlap of observation and interview periods.,Findings may not generalize well to other contexts or cities due to the specific characteristics of the Amsterdam Red Light District.,Highly specific to the Amsterdam Red Light District.,No basis for comparison across different contexts or time periods.
5,"(Bernasco et al., 2013)",2013,0.01968,-1.7059749059046774,22,22,United States,Anglo-Saxon,Robbery,Other,4,2011-2015,TRUE,Census blocks were chosen for detailed analysis of robbery locations,"""To improve our understanding of the fine-grained spatial decisions of street robbers, we zoom in to the level of census blocks""",Theory-Method,High (21-30),5,5,4,5,4,4,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,Use smaller spatial units like census blocks for detailed analysis.,3,7,TRUE,TRUE,FALSE,TRUE,Inability to identify offenders across multiple robberies.,Lack of information on prior crimes or past residential addresses of offenders.,No localized measures of deterrent factors.,Assumption that robbers have detailed knowledge of all census blocks.,Neglect of temporal variations and constraints.,The study's findings might not generalize to other cities or contexts.,The findings are specific to the context of Chicago.,The study does not provide direct comparisons across different contexts or time periods.
6,"(Bernasco et al., 2017)",2017,0.01968,-1.7059749059046774,37,37,United States,Anglo-Saxon,Robbery,Other,4,2016-2020,TRUE,Census blocks are used due to their appropriateness for detailed spatial analysis and data availability,Not explicitly stated,Prior Research,Very High (>30),5,7,6,13,6,5,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Specified,Specified,The study suggests using fine-grained spatial units like census blocks.,1,5,FALSE,FALSE,FALSE,TRUE,The data did not allow for the identification of offenders across multiple robberies.,The data excluded robberies committed by non-residents and those on expressways or college campuses.,The business data lacked information on opening and closing hours.,Time was used as a proxy for physical presence and business hours.,The study did not measure actual business hours or human presence.,Findings may not be generalizable to other cities or contexts.,Findings are specific to Chicago's context.,Focus on Chicago limits comparisons with other studies or contexts.
7,"(Hanayama et al., 2018)",2018,0.025,-1.6020599913279623,13,13,Japan,Other,Burglary,Grid Cell,4,2016-2020,TRUE,"Grid cells were chosen for their equal size, allowing unbiased comparison in the model, and because physical boundaries do not significantly impact offender movement.","""Using grid cells as alternatives in the conditional logit model allows the unbiased comparison of alternatives, because the grid cells are equal in size.""",Theory-Method,Medium (11-20),5,4,1,4,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Specified,Specified,Consider optimal spatial units or scales.,0,4,FALSE,FALSE,FALSE,FALSE,Errors in national census data due to blank returns or mistakes by respondents.,Real estate value of residences in Japan not readily available.,Difficulty defining a single city centre point in Japan.,Overestimation of past residential burglary rate in grid cells with few residential units.,Limited to Sendai City in Japan; may not be applicable to other areas or times.,The findings may not be applicable to all countries and cities due to differences in factors influencing crime.,"The findings are specific to Japan and Sendai City, which may limit their applicability to other contexts.",The study does not provide a basis for comparison across different contexts or time periods.
8,"(Frith et al., 2017)",2017,0.0284,-1.5466816599529623,23,23,United Kingdom,Anglo-Saxon,Burglary,Street-based,4,2016-2020,TRUE,"The choice of street segments is based on the theoretical understanding that offenders navigate along road networks, and this scale captures their decision-making logic better.","""For example, people do not navigate from one large area to another; they navigate along the road network. As such, a spatial resolution at this scale (e.g., street segment) should better capture the spatial logic of offender decision-making.""",Theory-Method,High (21-30),5,4,1,4,8,6,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,Use finer spatial scales like street segments for more accurate analysis.,3,7,TRUE,TRUE,FALSE,TRUE,Not all crimes are recorded or cleared by the police.,Estimates of social disorganization through systematic social observation were not collected.,Police data may only represent offenders who came to the attention of the police.,Simplified binary scale for local and nonlocal areas.,Data from a 10-year period may have temporal resolution issues.,Replication is needed to establish external validity.,The study's focus on a specific geographic area and time period may make the findings context-specific.,The study does not provide direct comparisons across different contexts or time periods.
9,"(Smith & Brown, 2007)",2007,0.032,-1.494850021680094,6,6,United States,Anglo-Saxon,Burglary,Grid Cell,4,2003-2010,TRUE,Practical consideration for capturing spatial feature variance,"""The resolution of the grid used must be fine enough to capture the variance of spatial features.""",Practical Constraint,Low (≤10),3,1,0,2,3,0,TRUE,FALSE,TRUE,TRUE,FALSE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Not Specified,Specified,Not mentioned.,1,5,TRUE,FALSE,FALSE,FALSE,Potential for multicollinearity among features.,Limited dataset to residential breaking and entering crimes in the third quarter of 1997.,"Limited to City of Richmond, VA, for the year 1997.",Use of grid system and aggregated demographic variables.,Limited to third quarter of 1997.,Limited to urban crime dataset; may not generalize to other contexts.,"Findings specific to breaking and entering crimes in Richmond, VA, 1997.",No direct comparison across contexts or time periods.
10,"(Bernasco, 2019)",2019,0.04,-1.3979400086720375,21,21,Netherlands,Other,Multiple/Mixed Crime Types,Grid Cell,4,2016-2020,TRUE,The grid cell system was likely chosen for consistency with prior research and practical constraints.,NA,Practical Constraint,High (21-30),5,4,5,4,4,4,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Not Specified,Not Specified,Not mentioned.,2,6,TRUE,FALSE,FALSE,TRUE,Police data are incomplete due to underreporting and low clearance rates.,Unreported crimes and offenders not apprehended are missing from police data.,Space-time budget data is limited by high fieldwork costs and participants' memory limitations.,"Measurement of whereabouts was limited to October-May, missing seasonal variations.",Short observation period of four days and fixed one-hour slots.,Findings may not generalize due to focus on adolescents and incomplete police data.,Findings specific to The Hague context.,No basis for comparison across contexts or time periods.
11,"(Xue & Brown, 2006)",2006,0.062,-1.207608310501746,12,12,United States,Anglo-Saxon,Burglary,Grid Cell,3,2003-2010,TRUE,Block groups were used due to their alignment with census data availability and their suitability for representing spatial alternatives within the study area.,"""The sub regions shown in Fig. 1 are block groups, which are the smallest areas, for which census counts are recorded.""",Data Availability,Medium (11-20),4,0,2,4,2,4,FALSE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,The paper suggests focusing on finer spatial scales to better capture criminal decision-making processes.,1,4,TRUE,FALSE,FALSE,FALSE,Limited toolsets for analysis.,Characteristics of individuals and choice sets are not directly observed.,Attributes derived from census data and distance values may be correlated.,Large number of alternatives and attributes makes measurement challenging.,Focus on past data for prediction may imply temporal resolution issues.,"Models developed using data from a specific context, limiting applicability to other areas.","Findings specific to Richmond, VA; may not generalize to other areas.",Limited comparison to hot spot methods; no comprehensive comparison across contexts or time periods.
12,"(Marchment & Gill, 2019)",2019,0.15,-0.8239087409443188,13,13,Northern Ireland,Other,Other Specific Crimes,Other,4,2016-2020,TRUE,"SAs were chosen due to their suitability for statistical analysis and the lack of sociodemographic data, aligning with data availability and administrative convenience.","""As no sociodemographic variables were included in the analysis, it was deemed that SAs would be appropriate to use""",Data Availability,Medium (11-20),3,3,0,4,6,0,TRUE,FALSE,TRUE,TRUE,FALSE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Specified,Specified,Use smaller areal units to capture more detailed social context factors.,2,6,FALSE,TRUE,FALSE,TRUE,Difficulties due to historical nature of records.,Unavailability of data on affluence levels and residential segregation.,Historical nature of records; unavailability of certain data.,Arbitrary areal unit boundaries; potential inaccuracy in characteristic data.,Retrospective nature limited data availability at small area level.,Limited to Belfast and PIRA members; replication needed in other cities and with different groups.,Findings specific to Belfast and PIRA context.,Restricted to one city and one terrorist group; difficult to compare across contexts or time periods.
13,"(Johnson & Summers, 2015)",2015,0.2,-0.6989700043360187,17,17,United Kingdom,Anglo-Saxon,Theft,Statistical Area,4,2011-2015,TRUE,"LSOAs were likely chosen due to their standard use in UK census data and administrative convenience, although not explicitly justified in the paper.","Not explicitly quoted, but implied due to data availability and administrative convenience",Data Availability,Medium (11-20),5,3,1,4,4,5,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,The study suggests using smaller spatial units like Lower Super Output Areas (LSOAs) for analysis.,1,5,FALSE,FALSE,FALSE,TRUE,Dependency in data due to reoffending could lead to errors in statistical inference.,Crimes committed by offenders living outside the study area were excluded.,Indirect measures of socioeconomic heterogeneity and population turnover.,Number of registered vehicles and car parks may not reflect actual abundance.,Focus on a 5-year period.,"Study extends external validity by examining a new crime type and location, but exclusion of external crimes and focus on TFV may limit generalizability.","Findings specific to TFV in Dorset, UK; may not apply to other crimes or locations.",No direct comparisons across different contexts or time periods.
14,"(Baudains et al., 2013)",2013,0.33,-0.4814860601221125,27,27,United Kingdom,Anglo-Saxon,Other Specific Crimes,Statistical Area,4,2011-2015,TRUE,LSOAs were chosen due to their availability in the UK census data and their suitability for representing detailed population characteristics.,"""The advantage of smaller sized units of analysis in the discrete choice approach is that the explanatory variables are more representative of the population and characteristics of each area.""",Data Availability,High (21-30),5,6,1,5,6,9,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Not Specified,Specified,Use smaller spatial units like LSOAs for more representative data.,0,4,FALSE,FALSE,FALSE,FALSE,Use of 2001 census data for estimating ethnic diversity and population churn.,Unavailability of data on police activity.,Reliance on 2001 census data for social demographics.,Potential for unobserved heterogeneity in measuring recent activity.,"Focus on August 6-11, 2011.",The findings are based on a specific event and may not generalize to other contexts or types of civil disorders.,The findings are specific to the 2011 London riots and may not apply to other riots due to unique contextual factors.,The study does not compare findings across different riots or contexts.
15,"(Rowan, Appleby & McGloin, 2022)",2022,0.37,-0.431798275933005,22,22,United States,Anglo-Saxon,Multiple/Mixed Crime Types,Other,4,2021-2025,TRUE,The choice of census block groups is based on their appropriateness for studying neighborhood-level phenomena and consistency with prior research.,"""Importantly, in a city context (as opposed to suburban or rural locales), a census block is generally a small area (typically a street-bounded block) and using this unit is consistent with prior work on the relationship between co-offending and neighbourhood context, which has relied on census tracts or blocks.""",Prior Research,High (21-30),5,4,3,6,2,7,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Specified,Specified,Use smaller microunits than census block groups.,0,4,FALSE,FALSE,FALSE,FALSE,Undercounting of crime due to reliance on arrest data; potential for incorrect coding of solo crimes.,Incomplete geocoding due to missing or problematic location information.,Publicly available arrest data may not capture all criminal events.,Potential for incorrect coding of incidents as solo crimes.,Data limited to 2013-2016.,Findings are limited by focus on a single city and may not generalize to other contexts.,Findings may be specific to Baltimore City's unique design and connectivity.,No basis for comparison across different locales or time periods.
16,"(Frith, 2019)",2019,0.44,-0.3565473235138126,10,10,United Kingdom,Anglo-Saxon,Other Specific Crimes,Statistical Area,4,2016-2020,TRUE,Chosen based on data availability and preference for finer spatial granularity,"""The alternatives in this analysis are output areas, herein referred to as neighbourhoods, which are the smallest units for which the variables in this study are available.""",Theory-Method,Low (≤10),4,4,2,1,3,0,TRUE,TRUE,TRUE,TRUE,FALSE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Specified,Specified,Use smaller spatial units for more accurate insights into social organization.,2,6,TRUE,FALSE,FALSE,TRUE,"The data analyzed are reported, recorded, and detected crimes, which may not represent all crimes.",The analysis assumes offenders with one offence in the time period are not repeat offenders.,"The study relies on revealed preference data, which may not fully capture the decision-making process.","The study groups different types of offenders together, which may mask differences in behavior.",The study is limited to data from April 2008 to March 2012.,Grouping different offense types together may limit generalizability to specific types of offenders.,"Findings may be specific to the study context (York, UK).",The study's context specificity and dataset may limit comparisons across different contexts or time periods.
17,"(Bernasco et al., 2015)",2015,0.51,-0.2924298239020636,30,30,United Kingdom,Anglo-Saxon,Burglary,Statistical Area,4,2011-2015,TRUE,"LSOAs were chosen for their balance in size and their alignment with social homogeneity measures, allowing for effective analysis of crime location choice and spillover effects.","""As a compromise, we decided to use the UK Census Lower Level Super Output Area (LSOA) geography as the basic spatial unit of analysis.""",Prior Research,High (21-30),5,3,3,13,4,7,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,Not explicitly mentioned.,1,5,FALSE,FALSE,FALSE,TRUE,Detected burglaries only; considered unsuccessful due to arrests.,Success of previous burglaries; prior home locations.,Police-recorded data; may not capture all burglaries.,Success/failure of previous burglaries not accounted for.,Fixed period for past burglaries; may not capture long-term patterns.,The study's findings might not generalize to other types of crimes or to different geographical contexts.,The findings are specific to the context of the West Midlands in the UK and may not apply to other regions or countries.,The study is limited to a specific time period (2007-2012) and does not allow for comparisons across different time periods or contexts.
18,"(Bernasco, 2006)",2006,0.65,-0.18708664335714442,17,17,Netherlands,Other,Burglary,Neighborhood,4,2003-2010,TRUE,"The use of residential neighborhoods as spatial units is likely due to data availability and administrative convenience, although not explicitly justified in the paper.",NA,Not specified,Medium (11-20),5,5,3,5,3,1,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Specified,Not Specified,Focus on neighborhood-level analysis.,0,4,FALSE,FALSE,FALSE,FALSE,Low detection rate (7%) could bias results if related to location choice criteria.,Potential incompleteness of police data on number of offenders involved.,Reliance on police data with low detection rate and potential incompleteness.,Potential underestimation of co-offenders due to incomplete data.,"Study covers 1996-2004, but no specific temporal issues mentioned.",Findings may not be generalizable to other cities or contexts.,Findings are specific to The Hague and may not apply to other cities or regions.,The study does not provide a basis for comparison across different cities or contexts.
19,"(Bernasco & Nieuwbeerta, 2005)",2005,0.65,-0.18708664335714442,19,19,Netherlands,Other,Burglary,Neighborhood,4,2003-2010,TRUE,Chosen based on administrative boundaries and data availability from the municipality of The Hague,Not explicitly quoted,Data Availability,Medium (11-20),5,5,1,2,3,8,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,The study suggests using neighborhood-level data for analysis.,0,4,FALSE,FALSE,FALSE,FALSE,Low detection rate could bias results if related to location choice criteria; no systematic relationship found between neighbourhood characteristics and clearance rates.,Burglaries outside The Hague excluded due to lack of data on neighbourhood characteristics.,Limited to The Hague due to unavailability of data on other areas.,Assumption that all choice criteria are equally important for all burglars.,Not mentioned.,Limited to the city of The Hague; findings may not be generalizable to other cities due to differences in urban social structures.,Findings specific to The Hague; results may be influenced by unique city characteristics.,No comparison across different contexts or time periods.
20,"(Townsley et al., 2015)",2015,0.65,-0.18708664335714442,14,14,Netherlands,Other,Burglary,Neighborhood,4,2011-2015,TRUE,"Spatial units chosen based on equivalence in size of burglar population and number of targets for Netherlands context, likely due to data availability and administrative convenience.","""Study regions and their associated choice set geographies (NL-neighborhoods, UK-Super Output Areas [medium layer], AU-Statistical Local Areas) were selected based on equivalence in size of the known burglar population, number of targets (households) within each area, and total number of areas in a study region. (Netherlands context - Neighborhoods)""",Data Availability,Medium (11-20),5,2,1,4,4,3,TRUE,TRUE,TRUE,TRUE,TRUE,7,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Specified,Specified,Use consolidated models for statistical comparisons across different environments.,1,5,TRUE,FALSE,FALSE,FALSE,"Relies solely on cleared offense data, which may not accurately represent all criminal activity.",Indicator of ethnic heterogeneity unavailable for UK and Australia.,Police-recorded crime data may have nonprobabilistic sampling issues.,Assumption that crime trips originate from an offender's residence may not always be accurate.,NA,Limited by reliance on cleared offense data and assumptions about crime trip origins; need for more study regions.,"Findings specific to The Hague, Netherlands context due to differences in target densities and urban neighborhood structure.",Differences in measurement precision and data availability limit comparative analyses; constrained by lowest common denominator of data.
21,"(Bernasco & Luykx, 2003)",2003,0.65,-0.18708664335714442,21,21,Netherlands,Other,Burglary,Neighborhood,2,2003-2010,TRUE,Neighborhoods were used as spatial units because they are the administrative divisions for which data was readily available from the municipality of The Hague,"Not explicitly stated, but implied by data source",Data Availability,High (21-30),5,2,3,5,5,6,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Not Specified,Not Specified,Use spatially weighted measures for optimal spatial units.,1,3,TRUE,FALSE,FALSE,FALSE,SWEBER measure does not link offenders' homes to crime locations; low clearance rate might make apprehended burglars unrepresentative.,No mobility data available for 2000 and 2001.,Police-recorded data limited by low clearance rate.,Operationalization of ethnic heterogeneity and residential mobility.,Data from 1996 to 2001; might not capture changes outside this period.,"The study's findings are based on data from a single city, which may not generalize to other urban environments or contexts.","The study's findings are specific to The Hague, Netherlands, and may not apply to other cities with different demographic, economic, or spatial characteristics.","The study is limited to a specific time period and location, making it difficult to compare findings across different contexts or time periods."
