Study_ID,Citation,Year,Title_of_the_study,DOI,Journal,Volume,Issue,ISSN,match_type,Unit_size_km2,Size_of_the_unit,Unit,Size_group,Name_of_the_unit,No_of_units,No_of_incidents,Inferred_size,Country,City_Region,Study_Area_Size_km2,Population_per_Unit_Numeric,Crime_Type_Standardized,Crime_Type,Number_of_Crimes_Numeric,Number_of_Offenders_Numeric,Data_Collection_Period,Study_Period,Discrete_Choice_Model,Sampling_Approach,Estimation_Method,Study_Design,Choice_Set_Definition,Alternative_Selection,Model_Comparison_Status,Sample_Size_Effects_Status,Robustness_Checks_Status,Scale_Recommendations_Status,Scale_Limitations_Status,Cross_Scale_Comparisons_Status,Justification_Summary,Quoted_Rationale,Rationale_Category,Data_Sources,Data_Availability,Significant_Predictors,Effect_Directions,Spatial_Scale_Recommendations,Data_Collection_Suggestions,Methodological_Improvements,Total_Variables,Demographic_Variables,Demographic_Count,Economic_Variables,Economic_Count,Environmental_Variables,Environmental_Count,Distance_Variables,Distance_Count,Temporal_Variables,Temporal_Count,Data_Quality_Issues,Missing_Data_Issues,Data_Source_Limitations,Measurement_Issues,Temporal_Limitations,Generalizability,Context_Specificity,Comparative_Limitations,Publication_Year,Jurisdiction,Anglo_Saxon,Crime_Type_Clean,Unit_Type,Time_Period,Log_Unit_size,Has_Choice_Model,Has_Sampling,Has_Controls,Has_Estimation_Method,Research_Sophistication,Has_Unit_Justification,Total_Variables_Numeric,Demographic_Count_Numeric,Economic_Count_Numeric,Environmental_Count_Numeric,Distance_Count_Numeric,Temporal_Count_Numeric,Variable_Complexity,Has_Demographic_Vars,Has_Economic_Vars,Has_Environmental_Vars,Has_Distance_Vars,Has_Temporal_Vars,Variable_Diversity_Score,Has_Scale_Limitations,Has_Scale_Recommendations,Has_Spatial_Scale_Recommendations,Has_Data_Quality_Issues,Has_Missing_Data_Issues,Has_Data_Source_Limitations,Has_Measurement_Issues,Has_Temporal_Limitations,Has_Generalizability_Issues,Has_Context_Specificity,Has_Comparative_Limitations,Data_Limitation_Score,Data_Limitation_Category,Has_Model_Comparison,Has_Sample_Size_Effects,Has_Robustness_Checks,Has_Cross_Scale_Comparisons,Methodological_Rigor_Score,Study_Quality_Score
1,"(Vandeviver et al., 2015)",2015,A discrete spatial choice model of burglary target selection at the house-level,https://doi.org/10.1016/j.apgeog.2015.08.004,Applied Geography,64,NA,0143-6228,word_overlap_67%,1.36e-4,136,m2,very small,Residential_property,503589,4308,NA,Belgium,East Flanders,3000,NA,Burglary,Burglary,650,650,2012,2006-2012,Conditional Logit,Simple random sampling,Maximum Likelihood,Cross-sectional,"Every burglar can choose among 503,589 residential properties in East Flanders",Simple random sampling,Not Specified,Not Specified,Not Specified,Not Specified,Specified,Specified,Using houses as the spatial unit addresses methodological issues and aligns with the nature of burglary.,"""The use of fine-grained spatial units of analysis such as the house that is burglarized has the advantage that it addresses the modifiable areal unit problem and reduces the risk of aggregation bias.""",Theory-Method,Belgian Federal Police; Belgian Land Registry,NA,"Type of house (terraced vs. semi-detached), presence of a garage, presence of central heating or air-conditioning, distance from the offender's home.","Terraced houses, houses without a garage, houses without central heating or air-conditioning increase choice probability; distance from the offender's home decreases choice probability.",Use finer spatial units like the house level.,Explore additional house-level data sources like land registers or insurance companies.,Use variations of the nested logit model.,21,Population size; Age of burglars; Gender of burglars,3,Built Surface Area; Presence of Garage; Central Heating and Air-Conditioning,3,Construction Type; Presence of Garage; Central Heating and/or Air-Conditioning System; Number of Floors; Presence of Rooftop Living Floor; Built Surface Area,6,Journey-to-crime distance; Average journey-to-crime distance; Odds ratio for distance; Shortest travel path; Temporally optimized distance,5,Time period of recorded crime data; Date of Belgian Land Registry data; Study area; Bootstrapping procedure,4,Selection effects in recorded crime data may overrepresent local burglars and underestimate remote targets.,Police files lack information on additional reference points or actual locations from which offenders left to commit offenses.,"Registry data lacks information on apartments, limiting analyses to house burglaries.","Variables for rewards, efforts, and risks may not be effective indicators.",NA,Limited to the Belgian province of East Flanders; focus on houses rather than apartments.,"Findings specific to East Flanders, Belgium.",No direct comparisons across different contexts or time periods.,2015,Belgium,Other,Burglary,Property-level,2011-2015,-3.8664610916297826,TRUE,TRUE,TRUE,TRUE,4,TRUE,21,3,3,6,5,4,High (21-30),TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7,Extensive Limitations (>6),FALSE,FALSE,FALSE,TRUE,1,5
2,"(Langton & Steenbeek, 2017)",2017,Residential burglary target selection: An analysis at the property-level using Google Street View,https://doi.org/10.1016/j.apgeog.2017.06.014,Applied Geography,86,NA,0143-6228,exact_normalized,1.4227e-4,142.27,m2,very small,Residential_property,300,2911,NA,Netherlands,The Hague,NA,NA,Burglary,Burglary,221,NA,2009,2009,Conditional logistic regression,Case-control design,Maximum Likelihood,Cross-sectional,Paired burglarized and non-burglarized properties within the same neighborhood,Random sampling from BAG single houses dataset,Not Specified,Specified,Not Specified,Not Specified,Not Specified,Not Specified,"The study focuses on property-level attributes, using a case-control design to isolate property-level effects from neighborhood-level effects.","Not explicitly quoted, but implied in the methodology",Theory-Method,The Hague Police Force; Google Maps; Google Street View; Community survey by Bruinsma et al.,Limited by inability to capture isolated properties,"Surveillability, accessibility, ease of escape.",Increased surveillability decreases burglary likelihood; increased accessibility and ease of escape increase burglary likelihood.,Focus on micro-spatial scales.,Use GSV and address the limitation of capturing isolated properties.,Refine data collection techniques to reduce bias.,19,Collective Efficacy; Social Trust; Informal Social Control,3,Wealth,1,Surveillability; Accessibility; Ease of Escape,3,Distance to nearest main road; Distance to nearest street corner; Number of escape routes; Property at end of row; Number of boundaries shared with public areas; Property setback from street,6,Case-control design; Presence of business; Mixed land-use; House type; Fixed effects analysis; Alternative neighbourhood boundaries,6,"The study acknowledges limitations in capturing isolated properties due to Google Street View's inability to access these areas, leading to a biased sample.",Isolated properties cannot be coded due to Google Car limitations.,Google Street View cannot capture isolated properties.,Measurements may not capture all nuances from one-on-one interviews; equal importance assumption for items within constructs may not hold.,"Behavior may vary depending on the time of day, not explored in this study.",Limited generalizability due to non-representative sample and context-specific data collection methods.,"Findings may be specific to The Hague, Netherlands, and single-family homes.",No direct comparisons across different contexts or time periods.,2017,Netherlands,Other,Burglary,Property-level,2016-2020,-3.846886668489391,TRUE,TRUE,TRUE,TRUE,4,TRUE,19,3,1,3,6,6,Medium (11-20),TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),FALSE,TRUE,FALSE,FALSE,1,5
3,"(Kuralarasa et al, 2024)",2024,Graffiti Writers Choose Locations That Optimize Exposure,https://doi.org/10.1177/00111287241287133,Crime and Delinquency,NA,NA,NA,exact_normalized,8.4491e-4,844.91,m2,very small,Street_segment,2233,12655,NA,Belgium,Ghent,NA,NA,Other Specific Crimes,Graffiti/Vandalism,12655,NA,November 2017,NA,Conditional Logit,Systematic Social Observation (SSO),Maximum Likelihood,Cross-sectional,Street segments as spatial units of analysis,Based on crowd-attracting facilities and exposure characteristics,Specified,Not Specified,Not Specified,Not Specified,Specified,Not Specified,Street segments were chosen because they align with human observational limitations and are suitable for measuring exposure.,"""We adopted street segments as our spatial unit of analysis, aligning with recent research advocating the use of street segments or similarly sized spatial units for analyzing crime and disorder.""",Theory-Method,Systematic Social Observation (SSO),Data and scripts available on https://github.com/KKural/SSO_graffiti,"Presence of bars, night shops, residential units, schools, and street network centrality.","Increased probability for bars, night shops, residential units, schools, and street network centrality; decreased probability for trees.",Not mentioned.,Not mentioned.,Use qualitative research methods.,24,Presence of Schools; Residential Units,2,NA,0,Residential Units; Bars; Night Shops; Nightclubs; Restaurants; Schools; Trees; Broken Windows; Street Segment Type,9,Street Segments; Bridges; Intersections; Trams and Buses; Betweenness,5,Surface Area; Type of Street Segment; Presence of Bars; Presence of Night Shops; Presence of Nightclubs; Presence of Restaurants; Presence of Schools; Presence of Trees,8,Focus primarily on exposure; exclusion of variables due to inter-rater reliability issues.,Graffiti along railway tracks and in inaccessible locations.,Specific urban context; limited to Ghent city center.,Factors examined may not cover all motivations for graffiti writers.,NA,The findings are specific to the urban context of Ghent and may not generalize to other cities or contexts due to differences in graffiti culture and public perceptions.,"The findings are highly context-specific, as they are derived from a specific urban environment and may not apply to other settings.","The study does not provide a basis for comparison across different contexts or time periods, as it is focused on a specific urban environment.",2024,Belgium,Other,Other Specific Crimes,Street-based,2021-2025,-3.073189549730839,TRUE,TRUE,TRUE,TRUE,4,TRUE,24,2,0,9,5,8,High (21-30),TRUE,FALSE,TRUE,TRUE,TRUE,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,7,Extensive Limitations (>6),TRUE,FALSE,FALSE,FALSE,1,5
4,"(Bernasco & Jacques, 2015)",2015,Where Do Dealers Solicit Customers and Sell Them Drugs,https://doi.org/10.1177/1043986215608535,Journal of Contemporary criminal justice,31,4,1043-9862,fuzzy_contained,0.001545,1545,m2,small,Street_segment,262,50,NA,Netherlands,"Amsterdam, Red Light District And Neighboring Area",1,NA,Other Specific Crimes,Drug-related,50,50,2009-2010,NA,Multinomial Logit,Systematic observations of 262 street segments in downtown Amsterdam.,Maximum Likelihood,Cross-sectional,Street segments where dealers solicited customers and sold drugs.,Dealers' choices of street segments for soliciting and selling.,Not Specified,Not Specified,Not Specified,Specified,Specified,Not Specified,Street segments were chosen because they are small enough to capture relevant environmental characteristics that influence drug dealing decisions.,"""The rationale was that for decision making in dealing situations, what matters are the characteristics of a place that can be seen or heard, and it seemed that street segments ('street blocks,' 'face blocks') are small enough to assure that from any point in the street segment, relevant attributes of any other point in the same segment could be seen and heard.""",Theory-Method,Interviews with dealers; systematic observations of street segments; supplement to interview for spatial aspects,NA,"Potential customer density, social control.",Potential customer density increases choice probability; social control does not decrease it.,Use smaller spatial units than street segments.,More detailed data collection is recommended.,Use multiple methods to understand dealer behavior.,25,Gender; Age; Marital Status; Birthplace; Education Level; Population Size; Population Distribution,7,Potential Customer Density; Presence of Retail and Entertainment Businesses; Accessibility; Activity Level,4,"Presence of retail and entertainment businesses; General activity level; Bars, clubs, coffeeshops, and smartshops; CCTV cameras; Territoriality; Physical disorder",6,Accessibility of the location; General activity level of the location; Average length of street segments,3,Time of Day; Day of Week; Social Control; Territoriality; Social Disorder,5,Small sample size affects statistical inference.,Limited access to certain types of dealers.,Study area and recruitment method limited access to certain dealers.,Street segments too coarse for stable characteristics.,Partial overlap of observation and interview periods.,Findings may not generalize well to other contexts or cities due to the specific characteristics of the Amsterdam Red Light District.,Highly specific to the Amsterdam Red Light District.,No basis for comparison across different contexts or time periods.,2015,Netherlands,Other,Other Specific Crimes,Street-based,2011-2015,-2.8110715162391466,TRUE,TRUE,TRUE,TRUE,4,TRUE,25,7,4,6,3,5,High (21-30),TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),FALSE,FALSE,FALSE,FALSE,0,4
5,"(Bernasco et al., 2013)",2013,Go where the money is: Modeling street robbers' location choices,https://doi.org/10.1093/jeg/lbs005,Journal of Economic Geography,13,1,1468-2710,exact_normalized,0.01968,19680,m2,small,Census_block,24594,12938,NA,United States,Chicago,NA,118,Robbery,Robbery,12938,18114,1996-1998,1996-1998,Multinomial Logit,Simple random sampling,Maximum Likelihood,Cross-sectional,Random sample of 6000 robberies with 6000 potential target blocks for each,Simple random sampling,Specified,Specified,Not Specified,Not Specified,Not Specified,Specified,Census blocks were chosen for detailed analysis of robbery locations,"""To improve our understanding of the fine-grained spatial decisions of street robbers, we zoom in to the level of census blocks""",Theory-Method,"Chicago Police Department records; detailed information on land use, population, and activities in census blocks",Limited by lack of arrest in most cases; no information on prior crimes or past residential addresses,"Presence of legal businesses (e.g., pawn shops, grocery stores), illegal businesses (e.g., drug dealing), accessibility (e.g., main streets, El stations), racial/ethnic composition matching the robber's background.",These predictors increase the probability of a block being chosen for robbery.,Use smaller spatial units like census blocks for detailed analysis.,Gather more detailed information on offenders' spatial awareness and prior experiences.,Incorporate spatial spillover effects and temporal considerations into models.,22,Total number of residents in the census block; Racial and ethnic composition of the population; Age of offenders; Gender of offenders; Racial and ethnic background of offenders,5,Presence of legal cash economies; Presence of illegal cash economies; Accessibility of a block; Racial and ethnic segregation,4,Presence of legal cash economies; Presence of illegal cash economies; Presence of high schools; Presence of El stations; Land use and activities,5,Euclidean Distance; Accessibility Along Main Streets; Proximity to El Stations; Social Barriers,4,Year; Accessibility; Spatial Lags; Racial/Ethnic Composition,4,Inability to identify offenders across multiple robberies.,Lack of information on prior crimes or past residential addresses of offenders.,No localized measures of deterrent factors.,Assumption that robbers have detailed knowledge of all census blocks.,Neglect of temporal variations and constraints.,The study's findings might not generalize to other cities or contexts.,The findings are specific to the context of Chicago.,The study does not provide direct comparisons across different contexts or time periods.,2013,United States,Anglo-Saxon,Robbery,Other,2011-2015,-1.7059749059046774,TRUE,TRUE,TRUE,TRUE,4,TRUE,22,5,4,5,4,4,High (21-30),TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,FALSE,TRUE,3,7
6,"(Bernasco et al., 2017)",2017,Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,https://doi.org/10.1177/0022427816680681,The Journal of Research in Crime and Delinquency,54,2,0022-4278,exact_normalized,0.01968,19680,m2,small,Census_block,24594,12938,NA,United States,Chicago,483.62,NA,Robbery,Robbery,12938,NA,1996-1998,1996-1998,Conditional Logit,Sampling of alternatives technique,Maximum Likelihood,Cross-sectional,Chosen census block plus a random sample of other census blocks,Random sampling of census blocks,Not Specified,Not Specified,Not Specified,Specified,Specified,Specified,Census blocks are used due to their appropriateness for detailed spatial analysis and data availability,Not explicitly stated,Prior Research,Chicago Police Department; U.S. Census; marketing research firm,NA,"Cash economies, illegal markets, accessibility, restaurants and fast-food outlets, liquor stores.","Generally positive, increasing the likelihood of robbery.",The study suggests using fine-grained spatial units like census blocks.,Utilize new technologies for data collection on human presence.,Conduct sensitivity analyses for temporal bandwidth.,37,Gender; Racial and Ethnic Background; Age; Total Population; Racial and Ethnic Composition; Ethnic Diversity; Presence of High Schools,7,Presence of legal cash economies; Presence of illegal cash economies; Business density; Accessibility; Block population; Racial/ethnic composition,6,"Presence of legal cash economies; Presence of illegal cash economies; High schools; Bars and clubs; Restaurants, fast-food outlets, and food stands; Barber shops and beauty salons; Liquor stores; Grocery stores; General merchandise shops; Gas stations; Laundromats; Pawnshops, currency exchange, and check-cashing services; Non-residential census blocks",13,Distance between offender homes and robbery locations within census block; Euclidean distances between offender homes and census block midpoints; Accessibility: Block on main street; Accessibility: Block with El station; Home-crime distance distribution; Negative log of distance,6,Time of Day; Day of Week; Distance from Home; Random Sampling; Conditional Logit Model,5,The data did not allow for the identification of offenders across multiple robberies.,The data excluded robberies committed by non-residents and those on expressways or college campuses.,The business data lacked information on opening and closing hours.,Time was used as a proxy for physical presence and business hours.,The study did not measure actual business hours or human presence.,Findings may not be generalizable to other cities or contexts.,Findings are specific to Chicago's context.,Focus on Chicago limits comparisons with other studies or contexts.,2017,United States,Anglo-Saxon,Robbery,Other,2016-2020,-1.7059749059046774,TRUE,TRUE,TRUE,TRUE,4,TRUE,37,7,6,13,6,5,Very High (>30),TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),FALSE,FALSE,FALSE,TRUE,1,5
7,"(Hanayama et al., 2018)",2018,The usefulness of past crime data as an attractiveness index for residential burglars,https://doi.org/10.1002/jip.1507,Journal of Investigative Psychology and Offender Profiling (Online),15,3,1544-4759,exact_normalized,0.025,25000,m2,small,Grid_cell,1134,369,NA,Japan,Sendai City,786,NA,Burglary,Burglary,369,70,2004-2006,2007-2015,Conditional Logit,Spatial sampling using 500 m grid cells,Maximum Likelihood,Cross-sectional,"1,134 grid cells as alternatives",Grid cells with residential units,Not Specified,Not Specified,Not Specified,Specified,Specified,Not Specified,"Grid cells were chosen for their equal size, allowing unbiased comparison in the model, and because physical boundaries do not significantly impact offender movement.","""Using grid cells as alternatives in the conditional logit model allows the unbiased comparison of alternatives, because the grid cells are equal in size.""",Theory-Method,Japanese national police register; 2010 Japanese national census data,Real estate value data not readily available,"Distance from offender's residence, number of residential units, proportion of single-family dwellings, number of past residential burglaries, past residential burglary rate.","Distance from residence decreases choice probability; number of residential units, proportion of single-family dwellings, number of past residential burglaries, and past residential burglary rate increase choice probability.",Consider optimal spatial units or scales.,Collect data on past crime rates and neighborhood characteristics.,Incorporate past crime data into geographic profiling models.,13,Proportion of foreigners; Proportion of newcomers; Number of residential units; Proportion of single-family dwellings,4,Real Estate Value of Residences,1,Number of Residential Units; Proportion of Single-Family Dwellings; Crime Attractors; Road Structure,4,Distance from offender's residence; Distance from city center,2,Number of past residential burglaries; Past residential burglary rate,2,Errors in national census data due to blank returns or mistakes by respondents.,Real estate value of residences in Japan not readily available.,Difficulty defining a single city centre point in Japan.,Overestimation of past residential burglary rate in grid cells with few residential units.,Limited to Sendai City in Japan; may not be applicable to other areas or times.,The findings may not be applicable to all countries and cities due to differences in factors influencing crime.,"The findings are specific to Japan and Sendai City, which may limit their applicability to other contexts.",The study does not provide a basis for comparison across different contexts or time periods.,2018,Japan,Other,Burglary,Grid Cell,2016-2020,-1.6020599913279623,TRUE,TRUE,TRUE,TRUE,4,TRUE,13,4,1,4,2,2,Medium (11-20),TRUE,TRUE,TRUE,TRUE,TRUE,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),FALSE,FALSE,FALSE,FALSE,0,4
8,"(Frith et al., 2017)",2017,Role of the Street Network in Burglars' Spatial Decision-Making,https://doi.org/10.1111/1745-9125.12133,Criminology,55,2,111384,exact_normalized,0.0284,0.0284,km2,small,Street_segment,5286,459,"The paper does not report the spatial unit size. and uses street segments as the spatial unit. The average area per street segment was estimated by dividing the total study area (150 km²) by the number of street segments (5,286), resulting in an average of approximately 0.028 km²  per segment.",United Kingdom,"High Wycombe, Beaconsfield, Marlow",150,NA,Burglary,Burglary,459,207,2004,2004-2014,Mixed Logit,"Data from residential burglaries in specific UK towns, focusing on street segments.",Hierarchical Bayes (Hb),Cross-sectional,"Roads and paths accessible to residential properties, excluding certain types.",Street segments within the study area meeting specific criteria.,Specified,Specified,Not Specified,Not Specified,Not Specified,Specified,"The choice of street segments is based on the theoretical understanding that offenders navigate along road networks, and this scale captures their decision-making logic better.","""For example, people do not navigate from one large area to another; they navigate along the road network. As such, a spatial resolution at this scale (e.g., street segment) should better capture the spatial logic of offender decision-making.""",Theory-Method,Thames Valley Police; Ordnance Survey (OS); U.K. Land Registry; 2011 U.K. census,Limited by police recording and clearance; may not apply to all offenders,"Idiosyncratic betweenness, idiosyncratic farness, nonlocal pedestrian traffic, local pedestrian traffic, vehicular traffic.",Increased travel time decreases choice probability; increased familiarity increases choice probability; nonlocal pedestrian traffic increases burglary risk; local pedestrian traffic decreases burglary risk; vehicular traffic decreases choice probability.,Use finer spatial scales like street segments for more accurate analysis.,Use more diverse data sources to validate findings.,Use mixed logit models to capture individual variation.,23,Ethnic-heterogeneity; Socioeconomic heterogeneity; Population turnover; Residential mobility,4,Affluence,1,Ambient Guardianship; Movement Potential; Through Movement; Activity Nodes,4,Estimated Travel Time; Euclidean Distance; Network Distance; Road Network Configuration; Idiosyncratic Farness; Closeness Centrality; Pedestrian Travel Time; Vehicular Travel Time,8,Time period; Residential mobility; Socioeconomic heterogeneity; Affluence; Ethnic heterogeneity; Number of dwellings,6,Not all crimes are recorded or cleared by the police.,Estimates of social disorganization through systematic social observation were not collected.,Police data may only represent offenders who came to the attention of the police.,Simplified binary scale for local and nonlocal areas.,Data from a 10-year period may have temporal resolution issues.,Replication is needed to establish external validity.,The study's focus on a specific geographic area and time period may make the findings context-specific.,The study does not provide direct comparisons across different contexts or time periods.,2017,United Kingdom,Anglo-Saxon,Burglary,Street-based,2016-2020,-1.5466816599529623,TRUE,TRUE,TRUE,TRUE,4,TRUE,23,4,1,4,8,6,High (21-30),TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,TRUE,FALSE,TRUE,3,7
9,"(Smith & Brown, 2007)",2007,discrete choice analysis of spatial attack sites,https://doi.org/10.1007/s10257-007-0045-1,ISeB,5,3,NA,exact_normalized,0.032,0.032,km2,small,Grid_cell,4895,425,"he paper does not report the spatial unit size directly but uses a regular grid of spatial cells as the choice set for modeling. For the City of Richmond, Virginia, the study area was divided into a grid of 100 rows by 100 columns, and after removing cells outside the city limits, 4,895 grid cells remained. The north–south spacing between centroids was 170 meters and the east–west spacing was 191 meters, resulting in grid cells of approximately 0.032 km² (170 m × 191 m ≈ 32,470 m²) each. This approach provides a fine-grained spatial resolution for the analysis of attack site selection.",United States,"Richmond, Virginia",NA,NA,Burglary,Breaking And Entering,637,NA,NA,1997,Multinomial Logit,"All reported breaking and entering crimes in Richmond, VA, for the year 1997, with a focus on the third quarter.",Maximum Likelihood,Cross-sectional,"Grid over Richmond with 4,895 centroids as alternatives.",Crimes mapped to nearest grid cell centroid.,Specified,Not Specified,Not Specified,Specified,Not Specified,Not Specified,Practical consideration for capturing spatial feature variance,"""The resolution of the grid used must be fine enough to capture the variance of spatial features.""",Practical Constraint,Richmond City Records Management Center; publicly available GIS layers; census information,NA,"Proximity measures (u30), density measurements (u66).","Proximity (u30) is attractive (negative coefficient), density (u66) is positively associated with selection likelihood.",Not mentioned.,Not mentioned.,Refine spatial hierarchy models to reduce complexity while maintaining interpretability.,6,Demographic Profile Variables,1,NA,0,u30; u66,2,u 26; u 27; u 30,3,NA,0,Potential for multicollinearity among features.,Limited dataset to residential breaking and entering crimes in the third quarter of 1997.,"Limited to City of Richmond, VA, for the year 1997.",Use of grid system and aggregated demographic variables.,Limited to third quarter of 1997.,Limited to urban crime dataset; may not generalize to other contexts.,"Findings specific to breaking and entering crimes in Richmond, VA, 1997.",No direct comparison across contexts or time periods.,2007,United States,Anglo-Saxon,Burglary,Grid Cell,2003-2010,-1.494850021680094,TRUE,TRUE,TRUE,TRUE,4,TRUE,6,1,0,2,3,0,Low (≤10),TRUE,FALSE,TRUE,TRUE,FALSE,3,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,FALSE,FALSE,FALSE,1,5
10,"(Bernasco, 2019)",2019,Adolescent offenders' current whereabouts predict locations of their future crime,https://doi.org/10.1371/journal.pone.0210733,PLoS One,14,1,1932-6203,fuzzy_contained,0.04,40000,m2,small,Grid_cell,4.558,165,NA,Netherlands,The Hague,NA,NA,Multiple/Mixed Crime Types,Multiple Types,165,70,2008-2011,Approximately 4 years,Conditional Logit,"Cohort study of adolescents in The Hague, collecting hourly whereabouts over four days.",Maximum Likelihood,Panel,Grid of 4558 locations (67 × 67 = 5092 grid cells minus 544 on the North Sea).,Spatial choice model where offenders choose from the grid.,Specified,Not Specified,Not Specified,Not Specified,Not Specified,Specified,The grid cell system was likely chosen for consistency with prior research and practical constraints.,NA,Practical Constraint,Space-time budget interviews; Police records from HKS information system; Points of interest data from LISA,Limited due to underreporting and low clearance rates in police data,Activity space and prior crime locations.,Increase choice probability.,Not mentioned.,Not mentioned.,Not mentioned.,21,Gender; Ethnic background; Age structure; Educational level,4,Educational Qualifications; Points of Interest; Catering Businesses; Retail Businesses; Schools,5,Presence of catering businesses; Presence of retail businesses; Presence of schools; Prior crime locations,4,Radius of Gyration; Distance from Activity Space; Distance from Prior Crime; Contiguity Order,4,Day-of-week weighting; Seasonal measurement period; Time elapsed since interview; Underreporting of crimes,4,Police data are incomplete due to underreporting and low clearance rates.,Unreported crimes and offenders not apprehended are missing from police data.,Space-time budget data is limited by high fieldwork costs and participants' memory limitations.,"Measurement of whereabouts was limited to October-May, missing seasonal variations.",Short observation period of four days and fixed one-hour slots.,Findings may not generalize due to focus on adolescents and incomplete police data.,Findings specific to The Hague context.,No basis for comparison across contexts or time periods.,2019,Netherlands,Other,Multiple/Mixed Crime Types,Grid Cell,2016-2020,-1.3979400086720375,TRUE,TRUE,TRUE,TRUE,4,TRUE,21,4,5,4,4,4,High (21-30),TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,Extensive Limitations (>6),TRUE,FALSE,FALSE,TRUE,2,6
