Study_Title,Demographic_Variables,Economic_Variables,Environmental_Variables,Distance_Variables,Temporal_Variables,Uncategorized_Variables,All_Variables
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",1. Population | Number; 2. Ethnic Heterogeneity | Percentage; 3. Household Size | Number; 4. Household Composition | Number; 5. Higher population turnover rates | Rate,1. Rental Units | Percentage; 2. Rental Status | Binary; 3. Median income | Number; 4. Proportion rental units | Percentage; 5. Higher real estate values | Number,1. Building Type | Binary; 2. Housing Characteristics | Binary,1. Residential density | Distance; 2. Residential Density | Distance; 3. Distance | Distance; 4. Distance from offender's home | Distance,1. Prior burglary in neighborhood | Binary,NA,1. Population | Number; 2. Ethnic Heterogeneity | Percentage; 3. Rental Units | Percentage; 4. Household Size | Number; 5. Household Composition | Number; 6. Rental Status | Binary; 7. Median income | Number; 8. Residential density | Distance; 9. Proportion rental units | Percentage; 10. Higher real estate values | Number; 11. Higher population turnover rates | Rate; 12. Residential Density | Distance; 13. Building Type | Binary; 14. Housing Characteristics | Binary; 15. Distance | Distance; 16. Prior burglary in neighborhood | Binary; 17. Distance from offender's home | Distance
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,1. Population size | Number; 2. Population Size | Number,1. Poverty level | Number; 2. Poverty Level | Number,1. Residential addresses | Percentage,1. Distance from home to crime location | Distance; 2. Proximity Hypothesis | Distance,1. Time Since Moved Out of the Area | Binary,1. Percentage of single-person households | Percentage; 2. Level of urbanization | Index; 3. Birth | Percentage; 4. Death | Percentage; 5. Nationality | Percentage; 6. Marriage | Percentage; 7. Divorce | Percentage; 8. Childbirth | Percentage; 9. Home Hypothesis | Binary; 10. History Hypothesis | Binary; 11. Recency Hypothesis | Binary; 12. Duration Hypothesis | Percentage; 13. Percentage of Single-Person Households | Percentage; 14. Level of Urbanization | Number; 15. Whether Offender Lives in the Area | Binary; 16. Whether Offender Has Lived in the Area Before | Binary; 17. Duration of Residence | Percentage; 18. 1111/j.  1745-9125.2010.00190.x | Number,1. Population size | Number; 2. Percentage of single-person households | Percentage; 3. Level of urbanization | Index; 4. Birth | Percentage; 5. Death | Percentage; 6. Nationality | Percentage; 7. Marriage | Percentage; 8. Divorce | Percentage; 9. Childbirth | Percentage; 10. Residential addresses | Percentage; 11. Poverty level | Number; 12. Distance from home to crime location | Distance; 13. Home Hypothesis | Binary; 14. History Hypothesis | Binary; 15. Recency Hypothesis | Binary; 16. Duration Hypothesis | Percentage; 17. Proximity Hypothesis | Distance; 18. Population Size | Number; 19. Percentage of Single-Person Households | Percentage; 20. Poverty Level | Number; 21. Level of Urbanization | Number; 22. Whether Offender Lives in the Area | Binary; 23. Whether Offender Has Lived in the Area Before | Binary; 24. Duration of Residence | Percentage; 25. Time Since Moved Out of the Area | Binary; 26. 1111/j.  1745-9125.2010.00190.x | Number
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,1. Proportion of residents with a non-Western background | Percentage; 2. Population density | Distance,NA,NA,1. Euclidean distance | Distance; 2. Distance within same postal code area | Distance; 3. Accessibility based on distance | Distance; 4. Transportation network accessibility | Distance; 5. Distance from current residential area to the target area | Distance,1. Previous crime location on same weekday | Binary; 2. Previous crime location on different weekday | Binary; 3. Previous crime location on same weekend day | Binary; 4. Previous crime location on different weekend day | Binary; 5. Previous crime location on different week part | Binary; 6. Previous crime location with a . . . hour difference | Binary,1. Proportion of single-person households | Percentage; 2. Number of employees | Number; 3. Presence of facilities | Number; 4. Facilities | Number; 5. Spatial boundaries | Number; 6. Offender's current or former residence | Binary,1. Proportion of residents with a non-Western background | Percentage; 2. Proportion of single-person households | Percentage; 3. Population density | Distance; 4. Number of employees | Number; 5. Presence of facilities | Number; 6. Facilities | Number; 7. Euclidean distance | Distance; 8. Distance within same postal code area | Distance; 9. Accessibility based on distance | Distance; 10. Spatial boundaries | Number; 11. Transportation network accessibility | Distance; 12. Previous crime location on same weekday | Binary; 13. Previous crime location on different weekday | Binary; 14. Previous crime location on same weekend day | Binary; 15. Previous crime location on different weekend day | Binary; 16. Previous crime location on different week part | Binary; 17. Previous crime location with a . . . hour difference | Binary; 18. Offender's current or former residence | Binary; 19. Distance from current residential area to the target area | Distance
a_discrete_spatial_choice_model_of_burglary_target.pdf,1. Population size | Number; 2. Age of burglars | Number; 3. Gender of burglars | Percentage; 4. 5 million inhabitants | Number,NA,NA,1. Journey-to-crime distance | Distance; 2. Average journey-to-crime distance | Distance; 3. Shortest travel path | Distance; 4. Temporally optimized distance | Distance,NA,1. Construction Type | Binary; 2. Central Heating and/or Air-Conditioning System | Binary; 3. Number of Floors | Number; 4. Presence of Rooftop Living Floor | Binary; 5. Date of Belgian Land Registry data | Number; 6. Bootstrapping procedure | Percentage,1. Population size | Number; 2. Age of burglars | Number; 3. Gender of burglars | Percentage; 4. Construction Type | Binary; 5. Central Heating and/or Air-Conditioning System | Binary; 6. Number of Floors | Number; 7. Presence of Rooftop Living Floor | Binary; 8. Journey-to-crime distance | Distance; 9. Average journey-to-crime distance | Distance; 10. Shortest travel path | Distance; 11. Temporally optimized distance | Distance; 12. Date of Belgian Land Registry data | Number; 13. Bootstrapping procedure | Percentage; 14. 5 million inhabitants | Number
Adolescent offenders' current whereabouts predict locations of their future crimes,1. Gender | Binary; 2. Ethnic background | Binary; 3. Age structure | Binary,NA,NA,1. Distance from Activity Space | Distance; 2. Distance from Prior Crime | Distance; 3. Contiguity Order | Distance,1. Prior crime locations | Binary; 2. Day-of-week weighting | Number; 3. Time elapsed since interview | Number,1. Educational level | Binary; 2. Educational Qualifications | Percentage; 3. Points of Interest | Number; 4. Catering Businesses | Binary; 5. Retail Businesses | Binary; 6. Schools | Binary; 7. Presence of catering businesses | Binary; 8. Presence of retail businesses | Binary; 9. Presence of schools | Binary; 10. Radius of Gyration | Percentage; 11. Seasonal measurement period | Number; 12. Underreporting of crimes | Percentage; 13. 1371/journal.pone.0210733 | Number,1. Gender | Binary; 2. Ethnic background | Binary; 3. Age structure | Binary; 4. Educational level | Binary; 5. Educational Qualifications | Percentage; 6. Points of Interest | Number; 7. Catering Businesses | Binary; 8. Retail Businesses | Binary; 9. Schools | Binary; 10. Presence of catering businesses | Binary; 11. Presence of retail businesses | Binary; 12. Presence of schools | Binary; 13. Prior crime locations | Binary; 14. Radius of Gyration | Percentage; 15. Distance from Activity Space | Distance; 16. Distance from Prior Crime | Distance; 17. Contiguity Order | Distance; 18. Day-of-week weighting | Number; 19. Seasonal measurement period | Number; 20. Time elapsed since interview | Number; 21. Underreporting of crimes | Percentage; 22. 1371/journal.pone.0210733 | Number
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,1. Ambient population | Number,1. Economic Inequality | Number,1. Types of housing | Binary; 2. Density of Road Network | Percentage; 3. Density of road network | Percentage,1. Distance of Journey to Crime | Distance; 2. Bus Stops | Distance; 3. Transportation Hubs | Distance; 4. Subway Stations | Distance; 5. Distance of journey to crime | Distance; 6. Logged distance of journey to crime | Distance,NA,1. Hukou status | Binary; 2. Proportion of migrants | Percentage; 3. Proportion of youngsters | Percentage; 4. Socioeconomic heterogeneity | Index; 5. Social cohesion | Index; 6. Collective efficacy | Index; 7. GDP | Number; 8. Annual Increase Rate | Percentage; 9. Proportion of Youngsters | Percentage; 10. Malls and supermarkets | Number; 11. Grocers and terminal markets | Number; 12. Bars and clubs | Number; 13. Cybercafés and sports stadiums | Number; 14. High schools | Number; 15. ATMs and banks | Number; 16. Car parks | Number; 17. Surveillance cameras | Number; 18. Crime generators and attractors | Number; 19. Social disorganization | Percentage,1. Hukou status | Binary; 2. Proportion of migrants | Percentage; 3. Proportion of youngsters | Percentage; 4. Socioeconomic heterogeneity | Index; 5. Social cohesion | Index; 6. Collective efficacy | Index; 7. Types of housing | Binary; 8. GDP | Number; 9. Annual Increase Rate | Percentage; 10. Economic Inequality | Number; 11. Proportion of Youngsters | Percentage; 12. Malls and supermarkets | Number; 13. Grocers and terminal markets | Number; 14. Bars and clubs | Number; 15. Cybercafés and sports stadiums | Number; 16. High schools | Number; 17. ATMs and banks | Number; 18. Car parks | Number; 19. Surveillance cameras | Number; 20. Ambient population | Number; 21. Distance of Journey to Crime | Distance; 22. Density of Road Network | Percentage; 23. Bus Stops | Distance; 24. Transportation Hubs | Distance; 25. Subway Stations | Distance; 26. Crime generators and attractors | Number; 27. Density of road network | Percentage; 28. Distance of journey to crime | Distance; 29. Social disorganization | Percentage; 30. Logged distance of journey to crime | Distance
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",1. Gender | Percentage; 2. Age | Percentage,NA,NA,1. Distance of Journey to Prior Robbery | Distance; 2. Distance of Journey to Subsequent Robbery | Distance,1. Time Interval Between Two Robberies | Number; 2. Not Arrested in the Act of Prior Robbery | Binary,1. Hukou Status | Percentage; 2. Social Cohesion | Number; 3. Collective Efficacy | Number; 4. GDP | Number; 5. Socioeconomic Heterogeneity | Index; 6. Amount of Lost Property or Money | Number; 7. High schools | Number; 8. Shopping malls | Number; 9. Transportation hubs | Number; 10. Bars and clubs | Number; 11. Cybercafés | Number; 12. Grocery stores | Number; 13. Hotels | Number; 14. Restaurants | Number; 15. ATMs | Number; 16. Banks | Number; 17. Subway stations | Number; 18. Bus stations | Number; 19. Surveillance cameras | Number; 20. Daily human mobility | Number; 21. Transportation Hubs | Binary; 22. Subway Stations | Binary; 23. Bus Stations | Binary; 24. Bars and Clubs | Binary; 25. Cybercafés | Binary; 26. Malls and Supermarkets | Binary; 27. High Schools | Binary; 28. Surveillance Cameras | Binary; 29. Daily Human Mobility | Number; 30. Socioeconomic Heterogeneity | Number,1. Gender | Percentage; 2. Age | Percentage; 3. Hukou Status | Percentage; 4. Social Cohesion | Number; 5. Collective Efficacy | Number; 6. GDP | Number; 7. Socioeconomic Heterogeneity | Index; 8. Amount of Lost Property or Money | Number; 9. High schools | Number; 10. Shopping malls | Number; 11. Transportation hubs | Number; 12. Bars and clubs | Number; 13. Cybercafés | Number; 14. Grocery stores | Number; 15. Hotels | Number; 16. Restaurants | Number; 17. ATMs | Number; 18. Banks | Number; 19. Subway stations | Number; 20. Bus stations | Number; 21. Surveillance cameras | Number; 22. Daily human mobility | Number; 23. Distance of Journey to Prior Robbery | Distance; 24. Distance of Journey to Subsequent Robbery | Distance; 25. Time Interval Between Two Robberies | Number; 26. Not Arrested in the Act of Prior Robbery | Binary; 27. Transportation Hubs | Binary; 28. Subway Stations | Binary; 29. Bus Stations | Binary; 30. Bars and Clubs | Binary; 31. Cybercafés | Binary; 32. Malls and Supermarkets | Binary; 33. High Schools | Binary; 34. Surveillance Cameras | Binary; 35. Daily Human Mobility | Number; 36. Socioeconomic Heterogeneity | Number
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,1. Population size | Number; 2. Proportion of residents with a non-western background | Percentage; 3. Age of offenders | Number; 4. Gender of offenders | Percentage,NA,NA,1. Euclidean Distance | Distance; 2. Average Distance Replacement | Distance; 3. Travel Restrictions | Number; 4. Distance between the offender's residential area and the crime location | Distance,1. Previous crime location | Binary,"1. Collective efficacy | Index; 2. Proportion of single-person households | Percentage; 3. Number_of_Employees | Number; 4. Number of bars/restaurants/hotels | Rate; 5. Postal Code Areas | Number; 6. Crime year specific numbers of retail facilities, schools, cultural, health care, and sports/leisure facilities | Number; 7. Number of employees | Number; 8. Neighbourhood disorder | Index","1. Population size | Number; 2. Collective efficacy | Index; 3. Proportion of single-person households | Percentage; 4. Proportion of residents with a non-western background | Percentage; 5. Age of offenders | Number; 6. Gender of offenders | Percentage; 7. Number_of_Employees | Number; 8. Number of bars/restaurants/hotels | Rate; 9. Euclidean Distance | Distance; 10. Average Distance Replacement | Distance; 11. Postal Code Areas | Number; 12. Travel Restrictions | Number; 13. Distance between the offender's residential area and the crime location | Distance; 14. Previous crime location | Binary; 15. Crime year specific numbers of retail facilities, schools, cultural, health care, and sports/leisure facilities | Number; 16. Number of employees | Number; 17. Neighbourhood disorder | Index"
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",1. Proportion of Residents with a Non-Western Ethnic Background | Percentage; 2. Proportion of residents with a non-Western ethnic background | Percentage; 3. Population Density | Distance; 4. Proportion of Non-Western Residents | Percentage,NA,1. Residential Area Variables | Percentage,1. Distance to Prior Crime Location | Distance; 2. Distance from Residential Area to Target Areas | Distance,NA,"1. Proportion of Single-Person Households | Percentage; 2. Proportion of single-person households | Percentage; 3. Number of retail stores | Number; 4. Number of hotels, restaurants, and bars | Number; 5. Number of people working | Number; 6. Retail stores | Number; 7. Hotels, restaurants, and bars | Number; 8. Schools | Number; 9. Culture | Number; 10. Health care | Number; 11. Sports and leisure facilities | Number; 12. Recency Variables | Binary","1. Proportion of Single-Person Households | Percentage; 2. Proportion of Residents with a Non-Western Ethnic Background | Percentage; 3. Proportion of single-person households | Percentage; 4. Proportion of residents with a non-Western ethnic background | Percentage; 5. Number of retail stores | Number; 6. Number of hotels, restaurants, and bars | Number; 7. Number of people working | Number; 8. Retail stores | Number; 9. Hotels, restaurants, and bars | Number; 10. Schools | Number; 11. Culture | Number; 12. Health care | Number; 13. Sports and leisure facilities | Number; 14. Distance to Prior Crime Location | Distance; 15. Distance from Residential Area to Target Areas | Distance; 16. Recency Variables | Binary; 17. Residential Area Variables | Percentage; 18. Population Density | Distance; 19. Proportion of Non-Western Residents | Percentage"
Burglar Target Selection: Australia Study (Brisbane),NA,1. Residential Real Estate Value | Number,1. Residential Mobility | Number; 2. Residential mobility | Percentage,1. Proximity | Distance; 2. Proximity to City Center | Distance,NA,1. Social Cohesion | Number; 2. Number of households | Number; 3. Proportion of single-family dwellings | Percentage; 4. Availability of potential targets | Number; 5. Proportion of Single-Family Dwellings | Percentage; 6. Number of Households | Number; 7. Jurisdictional Dummies | Binary; 8. Robust Standard Errors | Number; 9. Wald Tests | Number,1. Residential Mobility | Number; 2. Social Cohesion | Number; 3. Residential Real Estate Value | Number; 4. Number of households | Number; 5. Proportion of single-family dwellings | Percentage; 6. Residential mobility | Percentage; 7. Availability of potential targets | Number; 8. Proximity | Distance; 9. Proximity to City Center | Distance; 10. Proportion of Single-Family Dwellings | Percentage; 11. Number of Households | Number; 12. Jurisdictional Dummies | Binary; 13. Robust Standard Errors | Number; 14. Wald Tests | Number
