Title,Variable,Source_Column,Study_Index
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Population | Number,DEMOGRAPHIC & SOCIAL VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Ethnic Heterogeneity | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Rental Units | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Household Size | Number,DEMOGRAPHIC & SOCIAL VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Household Composition | Number,DEMOGRAPHIC & SOCIAL VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Rental Status | Binary,DEMOGRAPHIC & SOCIAL VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Median income | Number,ECONOMIC VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Residential density | Distance,ECONOMIC VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Proportion rental units | Percentage,ECONOMIC VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Higher real estate values | Number,ECONOMIC VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Higher population turnover rates | Rate,ECONOMIC VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Residential Density | Distance,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Building Type | Binary,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Housing Characteristics | Binary,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Distance | Distance,DISTANCE & ACCESSIBILITY VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Prior burglary in neighborhood | Binary,TEMPORAL & CONTROL VARIABLES,1
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",Distance from offender's home | Distance,TEMPORAL & CONTROL VARIABLES,1
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Population size | Number,DEMOGRAPHIC & SOCIAL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Percentage of single-person households | Percentage,DEMOGRAPHIC & SOCIAL VARIABLES,2
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Level of urbanization | Index,DEMOGRAPHIC & SOCIAL VARIABLES,2
