Variable,Category,Notes
[Architectural_Features | Percentage,,
[Physical_Accessibility | Percentage,,
[Public_Facilities | Percentage,,
[Residential_Units | Number,,
[Social_Accessibility | Distance,,
0%; distance inversely related to targeting likelihood. | Percentage,,
000) | Number,,
001) | Number,,
"028, Root likelihood for mixed logit = 0.151 | Number",,
06 for residential burglary). | Number,,
"065 for bars, 1.302 for night shops, 1.084 for nightclubs, 1.058 for restaurants, 1.235 for schools, and 1.034 for residential units. | Number",,
"070 (juvenile), OR = 1.092 (young adult); transportation hubs: OR = 1.035 (young adult), OR = 1.075 (adult); distance of journey to crime: OR = 0.194 (juvenile), OR = 0.212 (young adult), OR = 0.227 (adult). | Distance",,
08 (full model) and 2.34 (restricted sample). | Number,,
114. | Number,,
"13. A 10-unit increase in ethnic heterogeneity increases the odds by a factor of 1.15. A 1-kilometer decrease in distance from the offender's home increases the odds by a factor of 1.67. A 1,000-unit increase in residential units increases the odds by a factor of 1.35. | Distance",,
"147), sports stadiums (OR=0.816), transportation hubs (OR=1.052), subway stations (OR=1.038). | Number",,
"19, 0.23, 0.26 | Number",,
2%; each unit increase in pedestrian-oriented street density increases group crime rate by 2.8%. | Percentage,,
22 to 235 times more likely to offend near certain activity nodes. | Number,,
25 for both models | Number,,
"25, 0.30 | Number",,
25. | Number,,
"264, Model 2 = 0.285, Model 3 = 0.283, Model 4 = 0.289 | Number",,
27 to 0.36. | Number,,
"3 to 28.4 (× 10 -4 ), indicating better fit than CL and null models. | Number",,
"304, Model 2 = 0.479, Model 3 = 0.490 | Number",,
35 and 0.42 | Number,,
35 for not being arrested. | Number,,
38 for same weekend day; OR = 25.77 for same weekend day with zero-hour difference. | Number,,
"4%, hospitals by 13.5%, non-locals by 19.8%. | Percentage",,
"48 and 4.45, respectively. | Number",,
"48), ease of escape (OR = 1.61), accessibility (OR = 1.46). | Distance",,
5% of addresses; could not identify offenders across multiple robberies. | Percentage,,
"6 for same LSOA within 2 days, 3.6 for same MSOA within 2 days; distance from residence decreases odds by 42% per kilometer. | Percentage",,
6 million | Number,,
"6; OR for very frequently visited nodes = 7,845.3. | Number",,
"61 for distance, e  = 1.77 for major roads, e  = 13.78 for military bases or police stations. | Distance",,
63 and a maximum VIF of 2.49. | Number,,
"67 (The Hague), 1.90 (Birmingham), 1.21 (Brisbane); for single-family dwellings: 1.19 (The Hague), 1.12 (Birmingham), 1.13 (Brisbane); for number of households: 1.34 (The Hague), 1.76 (Birmingham), 1.47 (Brisbane). | Number",,
"7 for one offender's current home, 44.05 for two/three offenders' current home, 3.01 for one offender's previous home, 4.8 for one offender's previous crime location. | Number",,
"70), number of residential units (1.05), proportion of single-family dwellings (1.06), number of past residential burglaries (1.16), past residential burglary rate (1.79). | Percentage",,
"87, Model 2 = 17446.9 | Number",,
"88), former familial residential areas (OR = 1.37). | Number",,
91 for juveniles and 2.77 for adults; native Dutch burglars decrease choice probability by a factor of 0.92 for ethnically mixed areas. | Number,,
"958km^2. Spatial knowledge moderates the relationship between social contexts and physical disorder, particularly in places different from residential spaces. | Rate",,
993 for Model 2 | Number,,
A i/J i | Binary,,
Accessibility | Binary,,
Accessibility | Distance,,
Accessibility Along Main Streets | Binary,,
Accessibility based on distance | Distance,,
Accessibility Measure | Distance,,
Accessibility of a block | Binary,,
Accessibility of the location | Distance,,
Accessibility: Block on main street | Binary,,
Accessibility: Block with El station | Binary,,
Accessible residential properties | Number,,
Activity Level | Number,,
Activity Nodes | Number,,
Activity spaces | Number,,
Adjacency | Binary,,
Affluence | Number,,
Affluence Measures | Number,,
Affluence Measures | Percentage,,
Age | Number,,
Age | Percentage,,
Age Composition | Percentage,,
Age Distribution | Number,,
Age group | Binary,,
"Age groups (juvenile, young adult, adult) | Percentage",,
Age of Burglar | Number,,
Age of burglars | Number,,
Age of offenders | Number,,
Age structure | Binary,,
Age structure of offenders | Number,,
Ambient Guardianship | Number,,
Ambient population | Number,,
Amount of Lost Property or Money | Number,,
Annual Increase Rate | Percentage,,
Anonymity | Number,,
Area Characteristics | Number,,
Arrest data | Number,,
ATMs | Number,,
ATMs and banks | Number,,
Attractive Targets | Number,,
Auto-oriented street density | Distance,,
Auto-Oriented Street Density | Distance,,
Automatic teller machines (ATMs) | Number,,
Availability of potential targets | Number,,
Average Crime Trip Distance | Distance,,
Average Distance Replacement | Distance,,
Average Distance Traveled | Distance,,
Average house price | Number,,
Average House Price | Number,,
Average journey-to-crime distance | Distance,,
Average length of street segments | Distance,,
Average population per ward | Number,,
Average population size | Number,,
Average real estate value of residential units | Percentage,,
Average rent price | Number,,
Average Residential Real Estate Value | Percentage,,
Average Value of Properties | Number,,
Average Value of Residential Properties | Percentage,,
Banks | Number,,
Barber shops and beauty salons | Number,,
"Barriers (e.g., wide rivers) | Number",,
Bars | Number,,
Bars and Clubs | Binary,,
Bars and clubs | Number,,
Bars and taverns | Number,,
"Bars, clubs, coffeeshops, and smartshops | Number",,
Bars/nightlife | Number,,
Basic stores | Number,,
Betweenness | Distance,,
Birth | Percentage,,
Birthplace | Percentage,,
Block population | Number,,
Bridges | Distance,,
Broken Windows | Number,,
Building Type | Binary,,
Building Type | Percentage,,
Buildings along the street | Number,,
Bus Stations | Binary,,
Bus stations | Number,,
Bus stop data | Number,,
Bus Stops | Distance,,
Bus stops | Number,,
Bus Stops | Number,,
Business density | Binary,,
Car parks | Number,,
Carparks | Number,,
"Cash-intensive businesses (check-cashing outlets, ATMs, pawn shops, bars) | Number",,
Catering Businesses | Binary,,
CCTV cameras | Number,,
Census Data | Number,,
Centering of Distance Measures | Distance,,
Central Heating and/or Air-Conditioning System | Binary,,
Check-cashing outlets | Number,,
Childbirth | Percentage,,
Cinemas | Number,,
City Center Proximity | Distance,,
City Centers | Distance,,
Clearance rate of theft from the person | Percentage,,
Closeness Centrality | Number,,
Collective efficacy | Index,,
Collective efficacy | Number,,
Collective Efficacy | Number,,
Commercial interfaces | Percentage,,
"Community categorization by majority population type (local, domestic migrant, mixed) | Binary",,
Concentrated Disadvantage | Percentage,,
Concentrated Disadvantage | Rate,,
Concentrated Disadvantage Index | Rate,,
Concentric zone model | Distance,,
Connectivity via major roads | Binary,,
Connectors - Train Network | Binary,,
"Connectors (e.g., transit lines) | Number",,
Construction Type | Binary,,
Contagion | Number,,
Contagion measure | Number,,
Contiguity Order | Distance,,
Crime attractors | Binary,,
Crime attractors | Number,,
Crime Attractors | Number,,
Crime committed in neighbourhood | Binary,,
Crime detractors | Number,,
Crime generators | Rate,,
Crime generators and attractors | Number,,
Crime prevention | Percentage,,
"Crime year specific numbers of retail facilities, schools, cultural, health care, and sports/leisure facilities | Number",,
Cross-Validation | Number,,
Cultural facilities | Number,,
Culture | Number,,
"Culture, health-care, and sports/leisure facilities | Number",,
"Culture, Health-Care, and Sports/Leisure Facilities | Number",,
Cybercafés | Binary,,
Cybercafés | Number,,
Cybercafés and sports stadiums | Number,,
D ij | Distance,,
D.HIGHWAY | Distance,,
D.HOSPITAL | Distance,,
Daily human mobility | Index,,
Daily human mobility | Number,,
Daily Human Mobility | Number,,
Date of Belgian Land Registry data | Number,,
Day-of-week effects | Binary,,
Day-of-week weighting | Number,,
Day of Week | Number,,
Death | Percentage,,
Demographic Characteristics of Offenders | Number,,
Demographic Profile Variables | Number,,
Density of road network | Density,,
Density of road network | Percentage,,
Density of Road Network | Percentage,,
Deprivation | Index,,
Deprived areas/cash economies | Number,,
Discrete Choice Approach | Number,,
Discrete Choice Modeling Framework | Number,,
Distance | Distance,,
Distance Bands | Distance,,
Distance between burglar's home and target address | Distance,,
Distance between current residence and crime location | Distance,,
Distance Between Neighbourhoods | Distance,,
Distance between offender homes and robbery locations within census block | Distance,,
Distance between the offender's residential area and the crime location | Distance,,
Distance decay | Percentage,,
Distance decay pattern | Rate,,
Distance from Activity Space | Distance,,
Distance from city center | Distance,,
Distance from current residential area to the target area | Distance,,
Distance from home | Distance,,
Distance from Home | Distance,,
Distance from home to crime location | Distance,,
Distance from offender's home | Distance,,
Distance from offender's residence | Distance,,
Distance from Prior Crime | Distance,,
Distance from Residential Area to Target Areas | Distance,,
Distance from the city centre | Distance,,
Distance from the offender's home | Distance,,
Distance Measure | Distance,,
Distance of journey to crime | Distance,,
Distance of Journey to Crime | Distance,,
Distance of Journey to Prior Robbery | Distance,,
Distance of Journey to Subsequent Robbery | Distance,,
Distance squared | Distance,,
Distance Squared | Distance,,
Distance to city center | Distance,,
Distance to City Center | Distance,,
Distance to city centre | Distance,,
Distance to crime | Distance,,
Distance to nearest main road | Distance,,
Distance to nearest street corner | Distance,,
Distance to Offender's Residence | Distance,,
Distance to Prior Crime Location | Distance,,
Distance to Residence | Distance,,
Distance to the nearest highway ramp | Distance,,
Distance to ward centroids | Distance,,
Distance Values | Distance,,
Distance within same postal code area | Distance,,
Divorce | Percentage,,
Dominant land use function | Binary,,
Drug markets | Number,,
DST were removed due to uniform distribution. | Number,,
Duration Hypothesis | Percentage,,
Duration of residence | Percentage,,
Duration of Residence | Percentage,,
Ease of Escape | Distance,,
Economic Inequality | Number,,
Education level | Binary,,
Education Level | Percentage,,
"Educational institutions (schools, colleges) | Percentage",,
Educational level | Binary,,
Educational Qualifications | Percentage,,
Employee Density | Distance,,
Employee density | Percentage,,
Entertainment venues | Number,,
Entertainment Venues | Number,,
Estimated Travel Time | Number,,
Ethnic-heterogeneity | Index,,
Ethnic background | Binary,,
Ethnic Composition | Percentage,,
Ethnic composition of population in postal code areas | Percentage,,
Ethnic Diversity | Binary,,
Ethnic Diversity | Index,,
Ethnic diversity | Number,,
Ethnic heterogeneity | Index,,
Ethnic Heterogeneity | Index,,
Ethnic Heterogeneity | Number,,
Ethnic Heterogeneity | Percentage,,
Ethnic Origin of Burglar | Binary,,
Ethnic Origin of Burglar | Number,,
Ethnicity | Binary,,
Ethnicity/race | Number,,
Euclidean distance | Distance,,
Euclidean Distance | Distance,,
Euclidean distances between census units | Distance,,
Euclidean distances between offender homes and census block midpoints | Distance,,
Exclusion of census units due to limited mobility data | Number,,
Exclusion of February | Number,,
F ij | Binary,,
Facilities | Number,,
FAM.DENSITY | Density,,
Fences | Percentage,,
Fixed effects analysis | Number,,
Foreign-born residents | Percentage,,
Gang territorial dissimilarity | Number,,
Gas stations | Number,,
GDP | Number,,
Gender | Binary,,
Gender | Percentage,,
Gender of burglars | Percentage,,
Gender of offenders | Percentage,,
Gender ratio of offenders | Percentage,,
General activity level | Number,,
General activity level of the location | Number,,
General merchandise shops | Number,,
Geocoded Neighbourhoods | Number,,
Geographical location of study area | Number,,
Ghosh distance | Distance,,
Gini Coefficient | Index,,
Going out | Number,,
Grass | Percentage,,
Grocers | Number,,
Grocers and terminal markets | Number,,
Grocery stores | Number,,
Guardianship | Index,,
Hangouts and loitering hotspots | Number,,
Health care | Number,,
Health care institutions | Number,,
High Schools | Binary,,
High schools | Number,,
Higher altitude | Number,,
Higher population turnover rates | Rate,,
Higher real estate values | Number,,
History Hypothesis | Binary,,
Home-crime distance distribution | Distance,,
Home-to-crime distance | Distance,,
Home-to-Target Distance | Distance,,
Home Hypothesis | Binary,,
Home Location | Percentage,,
Home occupancy in residential neighbourhoods | Number,,
Home ownership | Percentage,,
Home Ownership | Percentage,,
Hospitals | Number,,
Hotels | Number,,
Hotels Restaurants Bars | Number,,
"Hotels, restaurants, and bars | Number",,
House type | Binary,,
Household Composition | Number,,
Household Count | Number,,
Household Size | Number,,
Household size/composition | Number,,
Household Size/Composition | Number,,
Housing Characteristics | Binary,,
Hukou status | Binary,,
Hukou status | Percentage,,
