Variable,Frequency,Studies,Source_Columns
Schools | Number,13,11,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; TEMPORAL & CONTROL VARIABLES; DEMOGRAPHIC & SOCIAL VARIABLES
Population size | Number,9,8,DEMOGRAPHIC & SOCIAL VARIABLES; TEMPORAL & CONTROL VARIABLES
Euclidean Distance | Distance,7,7,DISTANCE & ACCESSIBILITY VARIABLES
Home-to-crime distance | Distance,7,7,DISTANCE & ACCESSIBILITY VARIABLES
Proportion of single-person households | Percentage,7,4,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Proportion of migrants | Percentage,6,3,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Age | Number,5,5,DEMOGRAPHIC & SOCIAL VARIABLES
Bars and clubs | Number,5,5,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Bus stops | Number,5,5,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; TEMPORAL & CONTROL VARIABLES
Gender | Percentage,5,5,DEMOGRAPHIC & SOCIAL VARIABLES
High schools | Number,5,5,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Population Density | Distance,5,4,TEMPORAL & CONTROL VARIABLES; ECONOMIC VARIABLES; DEMOGRAPHIC & SOCIAL VARIABLES
Restaurants | Number,5,5,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Socioeconomic heterogeneity | Index,5,3,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Subway stations | Number,5,5,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; TEMPORAL & CONTROL VARIABLES
Bars | Number,4,4,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Collective efficacy | Index,4,3,DEMOGRAPHIC & SOCIAL VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Distance to city center | Distance,4,4,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; DISTANCE & ACCESSIBILITY VARIABLES
Ethnic Heterogeneity | Index,4,3,TEMPORAL & CONTROL VARIABLES; DEMOGRAPHIC & SOCIAL VARIABLES
Euclidean distance | Distance,4,4,DISTANCE & ACCESSIBILITY VARIABLES
Number of business units in commercial or public industries | Number,4,2,ECONOMIC VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Number of households | Number,4,4,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; ECONOMIC VARIABLES
Population density | Distance,4,2,ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES; DEMOGRAPHIC & SOCIAL VARIABLES
Population density | Number,4,4,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES
Proportion of residents with a non-Western background | Percentage,4,2,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Accessibility | Distance,3,3,TEMPORAL & CONTROL VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; ECONOMIC VARIABLES
Affluence | Number,3,2,ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Age of offenders | Number,3,3,DEMOGRAPHIC & SOCIAL VARIABLES
Banks | Number,3,3,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Collective Efficacy | Number,3,3,DEMOGRAPHIC & SOCIAL VARIABLES; TEMPORAL & CONTROL VARIABLES
Distance | Distance,3,3,DISTANCE & ACCESSIBILITY VARIABLES; TEMPORAL & CONTROL VARIABLES
Distance of Journey to Crime | Distance,3,3,DISTANCE & ACCESSIBILITY VARIABLES
Employee Density | Distance,3,1,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Ethnic heterogeneity | Index,3,3,DEMOGRAPHIC & SOCIAL VARIABLES; TEMPORAL & CONTROL VARIABLES; ECONOMIC VARIABLES
Ethnic Heterogeneity | Percentage,3,3,DEMOGRAPHIC & SOCIAL VARIABLES
Gender | Binary,3,3,DEMOGRAPHIC & SOCIAL VARIABLES
Malls and supermarkets | Number,3,3,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; TEMPORAL & CONTROL VARIABLES
Number of business units in any industry | Number,3,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; ECONOMIC VARIABLES
Number of dwellings | Number,3,2,ECONOMIC VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; TEMPORAL & CONTROL VARIABLES
Number of employees | Number,3,2,ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Percent migrants | Percentage,3,1,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Percent Occupied Housing Units | Percentage,3,1,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Population Density | Number,3,2,DEMOGRAPHIC & SOCIAL VARIABLES; TEMPORAL & CONTROL VARIABLES
Population Size | Number,3,3,TEMPORAL & CONTROL VARIABLES; DEMOGRAPHIC & SOCIAL VARIABLES
Population Turnover | Percentage,3,2,DEMOGRAPHIC & SOCIAL VARIABLES; TEMPORAL & CONTROL VARIABLES
Presence of illegal cash economies | Number,3,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; ECONOMIC VARIABLES
Presence of legal cash economies | Number,3,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; ECONOMIC VARIABLES
Propinquity | Distance,3,1,DEMOGRAPHIC & SOCIAL VARIABLES; DISTANCE & ACCESSIBILITY VARIABLES; TEMPORAL & CONTROL VARIABLES
Proportion of Single-Person Households | Percentage,3,2,DEMOGRAPHIC & SOCIAL VARIABLES; TEMPORAL & CONTROL VARIABLES; ECONOMIC VARIABLES
Racial/Ethnic Heterogeneity | Index,3,2,TEMPORAL & CONTROL VARIABLES; DEMOGRAPHIC & SOCIAL VARIABLES
Residential Population Density | Distance,3,1,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Residential Stability | Percentage,3,2,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES
Residential Units | Number,3,2,DEMOGRAPHIC & SOCIAL VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Retail stores | Number,3,3,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Social Cohesion | Number,3,3,DEMOGRAPHIC & SOCIAL VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Surveillance cameras | Number,3,3,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Total Number of Households | Number,3,1,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Wholesale markets | Number,3,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; ECONOMIC VARIABLES
25. | Number,2,2,MAJOR FINDINGS & RESULTS
Adjacency | Binary,2,2,DISTANCE & ACCESSIBILITY VARIABLES
Age of Burglar | Number,2,1,DEMOGRAPHIC & SOCIAL VARIABLES; TEMPORAL & CONTROL VARIABLES
Ambient population | Number,2,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; TEMPORAL & CONTROL VARIABLES
ATMs | Number,2,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
ATMs and banks | Number,2,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Average House Price | Number,2,1,ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Average rent price | Number,2,1,ECONOMIC VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Bus Stops | Distance,2,2,DISTANCE & ACCESSIBILITY VARIABLES
Car parks | Number,2,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; TEMPORAL & CONTROL VARIABLES
Collective efficacy | Number,2,2,DEMOGRAPHIC & SOCIAL VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Cybercafés | Number,2,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
D.HIGHWAY | Distance,2,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; DISTANCE & ACCESSIBILITY VARIABLES
D.HOSPITAL | Distance,2,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; DISTANCE & ACCESSIBILITY VARIABLES
Day of Week | Number,2,2,TEMPORAL & CONTROL VARIABLES
Distance of journey to crime | Distance,2,2,TEMPORAL & CONTROL VARIABLES
Distance of Journey to Prior Robbery | Distance,2,1,DISTANCE & ACCESSIBILITY VARIABLES; TEMPORAL & CONTROL VARIABLES
Distance of Journey to Subsequent Robbery | Distance,2,1,DISTANCE & ACCESSIBILITY VARIABLES; TEMPORAL & CONTROL VARIABLES
Distance Squared | Distance,2,2,TEMPORAL & CONTROL VARIABLES; DISTANCE & ACCESSIBILITY VARIABLES
Distance to City Center | Distance,2,1,DISTANCE & ACCESSIBILITY VARIABLES; TEMPORAL & CONTROL VARIABLES
Distance to the nearest highway ramp | Distance,2,1,DISTANCE & ACCESSIBILITY VARIABLES; TEMPORAL & CONTROL VARIABLES
Ethnic Diversity | Index,2,1,DEMOGRAPHIC & SOCIAL VARIABLES; TEMPORAL & CONTROL VARIABLES
Ethnic diversity | Number,2,2,DEMOGRAPHIC & SOCIAL VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
FAM.DENSITY | Density,2,1,ECONOMIC VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
GDP | Number,2,2,ECONOMIC VARIABLES
Gender of offenders | Percentage,2,2,DEMOGRAPHIC & SOCIAL VARIABLES
Gini Coefficient | Index,2,1,ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Grocery stores | Number,2,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Home Location | Percentage,2,1,DISTANCE & ACCESSIBILITY VARIABLES; TEMPORAL & CONTROL VARIABLES
Hospitals | Number,2,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Hotels | Number,2,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Level of urbanization | Index,2,1,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES
Mean value of residential property | Number,2,1,ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Number of business units in industry categories | Number,2,1,ECONOMIC VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Number of commercial or public business units | Number,2,1,ECONOMIC VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Number of people on the street | Number,2,1,DEMOGRAPHIC & SOCIAL VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Number of people working | Number,2,1,ECONOMIC VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Number of potential targets | Number,2,1,ECONOMIC VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Number of residential units | Number,2,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; DEMOGRAPHIC & SOCIAL VARIABLES
Number of Residential Units | Number,2,2,TEMPORAL & CONTROL VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Number of Residents | Number,2,2,DEMOGRAPHIC & SOCIAL VARIABLES
Number of residents with a non-Western ethnic background | Number,2,1,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES
Number of retail stores | Number,2,2,ECONOMIC VARIABLES
Number of Schools | Number,2,2,ECONOMIC VARIABLES; DEMOGRAPHIC & SOCIAL VARIABLES
Number of single-person households | Number,2,1,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES
P.CARE.PH | Number,2,1,ECONOMIC VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Percent lowly-rent houses | Percentage,2,1,ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Physical Barriers | Number,2,2,DISTANCE & ACCESSIBILITY VARIABLES
Population Churn Rates | Rate,2,1,DEMOGRAPHIC & SOCIAL VARIABLES; TEMPORAL & CONTROL VARIABLES
Population turnover | Number,2,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; DEMOGRAPHIC & SOCIAL VARIABLES
Poverty | Percentage,2,1,ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Presence of facilities | Number,2,1,ECONOMIC VARIABLES; TEMPORAL & CONTROL VARIABLES
Presence of illegal markets | Number,2,1,ECONOMIC VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Previous Crime Location | Binary,2,2,TEMPORAL & CONTROL VARIABLES
Previous Home Location | Percentage,2,1,DISTANCE & ACCESSIBILITY VARIABLES; TEMPORAL & CONTROL VARIABLES
Proportion of houses built after 2000 | Percentage,2,1,ECONOMIC VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Proportion of residents with a non-western background | Percentage,2,1,DEMOGRAPHIC & SOCIAL VARIABLES; TEMPORAL & CONTROL VARIABLES
Proportion of single-family dwellings | Percentage,2,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; DEMOGRAPHIC & SOCIAL VARIABLES
Proportion of Single-Family Dwellings | Percentage,2,2,DISTANCE & ACCESSIBILITY VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Proportion of young adults | Percentage,2,1,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES
Proportion of youngsters | Percentage,2,2,DEMOGRAPHIC & SOCIAL VARIABLES
Proximity | Distance,2,2,DISTANCE & ACCESSIBILITY VARIABLES
Proximity to City Centre | Distance,2,1,DISTANCE & ACCESSIBILITY VARIABLES; TEMPORAL & CONTROL VARIABLES
Real Estate Value | Percentage,2,2,TEMPORAL & CONTROL VARIABLES
Residential mobility | Index,2,1,DEMOGRAPHIC & SOCIAL VARIABLES; TEMPORAL & CONTROL VARIABLES
Residential Mobility | Number,2,2,DEMOGRAPHIC & SOCIAL VARIABLES
Residential mobility | Percentage,2,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; DEMOGRAPHIC & SOCIAL VARIABLES
Residential Mobility | Rate,2,2,TEMPORAL & CONTROL VARIABLES
Robust Standard Errors | Number,2,2,TEMPORAL & CONTROL VARIABLES
Social cohesion | Number,2,2,DEMOGRAPHIC & SOCIAL VARIABLES
Socioeconomic Heterogeneity | Index,2,2,ECONOMIC VARIABLES
Subway Stations | Distance,2,2,DISTANCE & ACCESSIBILITY VARIABLES
Territoriality | Number,2,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES; TEMPORAL & CONTROL VARIABLES
Time of Day | Number,2,2,TEMPORAL & CONTROL VARIABLES
Total number of business units | Number,2,1,ECONOMIC VARIABLES; ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
Total number of residents | Number,2,1,DEMOGRAPHIC & SOCIAL VARIABLES; ECONOMIC VARIABLES
Trees | Number,2,2,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
[Architectural_Features | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
[Physical_Accessibility | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
[Public_Facilities | Percentage,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
[Residential_Units | Number,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
[Social_Accessibility | Distance,1,1,ENVIRONMENTAL & CRIME ATTRACTOR VARIABLES
0%; distance inversely related to targeting likelihood. | Percentage,1,1,MAJOR FINDINGS & RESULTS
000) | Number,1,1,MODEL FIT & PERFORMANCE METRICS
001) | Number,1,1,MODEL FIT & PERFORMANCE METRICS
"028, Root likelihood for mixed logit = 0.151 | Number",1,1,MODEL FIT & PERFORMANCE METRICS
06 for residential burglary). | Number,1,1,MAJOR FINDINGS & RESULTS
"065 for bars, 1.302 for night shops, 1.084 for nightclubs, 1.058 for restaurants, 1.235 for schools, and 1.034 for residential units. | Number",1,1,MAJOR FINDINGS & RESULTS
"070 (juvenile), OR = 1.092 (young adult); transportation hubs: OR = 1.035 (young adult), OR = 1.075 (adult); distance of journey to crime: OR = 0.194 (juvenile), OR = 0.212 (young adult), OR = 0.227 (adult). | Distance",1,1,MAJOR FINDINGS & RESULTS
