"Title","Data_Collection_Period","Study_Period","Country","City_Region","Study_Area_Size_km2","Elicit_Study_Area_km2","Total_Units_Region","Average_Unit_Size_km2","Area_Calculation_Method","Area_Source","Population_per_Unit_Numeric","Crime_Type","Sample_Size_Numeric","Number_of_Crimes_Numeric","Number_of_Offenders_Numeric","Rationale_Category","Study_Design","Discrete_Choice_Model","Estimation_Method","Model_Comparison_Status","Sample_Size_Effects_Status","Robustness_Checks_Status","Scale_Recommendations_Status","Scale_Limitations_Status","Cross_Scale_Comparisons_Status","Quoted_Rationale","Justification_Summary","Sampling_Approach","Choice_Set_Definition","Alternative_Selection","Significant_Predictors","Effect_Directions","Data_Sources","Data_Availability","Data_Quality_Issues","Missing_Data_Issues","Data_Source_Limitations","Measurement_Issues","Temporal_Limitations","Generalizability","Context_Specificity","Comparative_Limitations","Spatial_Scale_Recommendations","Data_Collection_Suggestions","Methodological_Improvements","Demographic_Variables","Demographic_Count","Economic_Variables","Economic_Count","Environmental_Variables","Environmental_Count","Distance_Variables","Distance_Count","Temporal_Variables","Temporal_Count","Total_Variables"
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",NA,"2005-2014","Belgium","Ghent",156,NA,NA,NA,NA,NA,1287,"Burglary",679,679,577,"Theory-Method","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""The neighborhoods in this study are similarly constructed to the areas used in most previous discrete spatial choice studies and are comparable or smaller in size.""","The spatial units were chosen for their comparability to previous studies and their suitability for analyzing burglary target choice at the residence level.","Combining data on burglaries with data on residences and neighborhoods in Ghent, Belgium, using a discrete spatial choice approach.","'Residence' as the main unit of analysis.","Discrete choice framework evaluating neighborhood and residence attributes.","Residential density, prior burglary activity, building construction type, number of residential units, rental status, distance from the offender's home.","Lower residential density, prior burglary activity, detached or single-unit buildings, renter-occupied residences, and proximity to the offender's home increase choice probability.","Police-recorded information on burglars and residential burglaries; Census information on residences and neighborhoods in Ghent, Belgium","Limited to cleared burglaries; potential biases in selection of burglars and burglaries","Potential selectivity in the sample due to selection criteria.","Lack of personal data on burglars; absence of certain residential features and situational cues.","Census data lacks relevant variables for burglary target selection.","Neighborhood and residence data not measured at the same time as burglaries.","Neighborhood and residence data only from 2011, not matching burglary period.","Findings may not be generalizable to other contexts or cities beyond Ghent, Belgium.","Findings are specific to the context of Ghent, Belgium.","Data collection at different times for burglary and neighborhood/residence data limits comparisons across time periods.","Not explicitly mentioned.","Not explicitly mentioned.","Not explicitly mentioned.","1. Population | Number; 2. Ethnic Heterogeneity | Percentage; 3. Household Size | Number; 4. Household Composition | Number; 5. Higher population turnover rates | Rate",5,"1. Rental Units | Percentage; 2. Rental Status | Binary; 3. Median income | Number; 4. Proportion rental units | Percentage; 5. Higher real estate values | Number",5,"1. Building Type | Binary; 2. Housing Characteristics | Binary",2,"1. Residential density | Distance; 2. Residential Density | Distance; 3. Distance | Distance; 4. Distance from offender's home | Distance",4,"1. Prior burglary in neighborhood | Binary",1,17
"A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*",NA,"2004-2005","Netherlands","The Hague (Greater Area)",NA,NA,NA,NA,NA,NA,4900,"Multiple Types",3784,7179,3784,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Specified","Not Specified","Not Specified","Not Specified","Not Specified","""In terms of their size, shape, and topography, the postal code area is a useful approximation of the area one would expect people to be familiar with if they lived within it.""","Postal code areas are used because they are a practical and data-rich scale that reflects local familiarity and travel patterns","Random sample from police records","Each of the 4,000 postal code areas as potential alternatives for each offense","Based on offender's residential history and crime location","Current and former residential areas, duration of residence, recency of moving, proximity to these areas.","Living in an area increases the likelihood of committing a crime there; current residence has a stronger effect than former residence.","Police information system; population registration data (GBA); national database of demographic, social, and economic information on postal code areas","Reliable records of previous addresses; 85% of sample tracked back more than 5 years; 50% tracked back more than 10 years","Missing information on past home addresses could lead to conservative estimates.","Residential histories for some offenders could only be reconstructed for the last 2 years; exclusions due to missing data on past addresses.","Reliable records of previous addresses are a strength but not common in other countries.","Use of postal code areas as a proxy for familiarity.","Data availability limited to 1994 onward.","Limited to the Netherlands; may not generalize to other countries or contexts.","Findings specific to the Netherlands.","No direct comparisons across contexts or time periods.","Use more detailed data on activity patterns.","Incorporate locations of schools, workplaces, and other anchor points.","Incorporate detailed spatial data and activity patterns into analysis.","1. Population size | Number; 2. Population Size | Number",2,"1. Poverty level | Number; 2. Poverty Level | Number",2,"1. Residential addresses | Percentage",1,"1. Distance from home to crime location | Distance; 2. Proximity Hypothesis | Distance",2,"1. Time Since Moved Out of the Area | Binary",1,26
"A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices","2006-2009","2006-2009","Netherlands","The Hague (Greater Area)",2.96,NA,NA,NA,NA,NA,7000,"Multiple Types",12639,12639,3666,"Practical Constraint","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Specified","Not Specified","Not Specified","Not Specified","Not Specified","""In previous studies, it was argued that four-digit postal code areas are well-suited for crime location choice research, as these administrative areas were constructed in such a way to have minimal travel restrictions for postal delivery services that usually travel on foot or bicycle.""","Four-digit postal code areas were chosen because they are well-suited for crime location choice research, providing a practical and familiar scale for analysis.","Random sample of 10,000 suspects from The Hague Police Service registration data.","142 four-digit postal code areas in the greater The Hague area.","Postal code areas used as alternatives for each offense.","Timing of previous offenses within the week and day.","Offenders are more likely to return to previously targeted areas at similar times and days.","Dutch Suspect Identification System (HKS); nationwide citizen information system (BRP); Statistics Netherlands; LISA database","Limited by reliance on police data, which may introduce detection bias","Detection bias due to reliance on police data.","Data on nonarrested offenders.","Police data may not capture all crimes.","Assumption of learning from previous experiences not explicitly tested.","Potential issues with temporal resolution of crime timing.","The findings may not generalize to nonarrested offenders due to potential differences in the probability of arrest.","The study's findings are based on data from the Netherlands, which may have specific cultural, legal, or environmental factors.","The study does not provide direct comparisons across different contexts or time periods.",NA,"Systematic observations of time-varying target attractiveness.","Incorporate cyclic time effects into predictive models.","1. Proportion of residents with a non-Western background | Percentage; 2. Population density | Distance",2,NA,0,NA,0,"1. Euclidean distance | Distance; 2. Distance within same postal code area | Distance; 3. Accessibility based on distance | Distance; 4. Transportation network accessibility | Distance; 5. Distance from current residential area to the target area | Distance",5,"1. Previous crime location on same weekday | Binary; 2. Previous crime location on different weekday | Binary; 3. Previous crime location on same weekend day | Binary; 4. Previous crime location on different weekend day | Binary; 5. Previous crime location on different week part | Binary; 6. Previous crime location with a . . . hour difference | Binary",6,19
"a_discrete_spatial_choice_model_of_burglary_target.pdf","2012","2006-2012","Belgium","East Flanders",3000,NA,NA,NA,NA,NA,NA,"Burglary",650,650,650,"Theory-Method","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""The use of fine-grained spatial units of analysis such as the house that is burglarized has the advantage that it addresses the modifiable areal unit problem and reduces the risk of aggregation bias.""","Using houses as the spatial unit addresses methodological issues and aligns with the nature of burglary.","Simple random sampling","Every burglar can choose among 503,589 residential properties in East Flanders","Simple random sampling","Type of house (terraced vs. semi-detached), presence of a garage, presence of central heating or air-conditioning, distance from the offender's home.","Terraced houses, houses without a garage, houses without central heating or air-conditioning increase choice probability; distance from the offender's home decreases choice probability.","Belgian Federal Police; Belgian Land Registry",NA,"Selection effects in recorded crime data may overrepresent local burglars and underestimate remote targets.","Police files lack information on additional reference points or actual locations from which offenders left to commit offenses.","Registry data lacks information on apartments, limiting analyses to house burglaries.","Variables for rewards, efforts, and risks may not be effective indicators.",NA,"Limited to the Belgian province of East Flanders; focus on houses rather than apartments.","Findings specific to East Flanders, Belgium.","No direct comparisons across different contexts or time periods.","Use finer spatial units like the house level.","Explore additional house-level data sources like land registers or insurance companies.","Use variations of the nested logit model.","1. Population size | Number; 2. Age of burglars | Number; 3. Gender of burglars | Percentage; 4. 5 million inhabitants | Number",4,NA,0,NA,0,"1. Journey-to-crime distance | Distance; 2. Average journey-to-crime distance | Distance; 3. Shortest travel path | Distance; 4. Temporally optimized distance | Distance",4,NA,0,14
"Adolescent offenders' current whereabouts predict locations of their future crimes","2008-2011","Approximately 4 years","Netherlands","The Hague",NA,NA,NA,NA,NA,NA,NA,"Multiple Types",843,165,70,"Practical Constraint","Panel","Conditional Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified",NA,"The grid cell system was likely chosen for consistency with prior research and practical constraints.","Cohort study of adolescents in The Hague, collecting hourly whereabouts over four days.","Grid of 4558 locations (67 × 67 = 5092 grid cells minus 544 on the North Sea).","Spatial choice model where offenders choose from the grid.","Activity space and prior crime locations.","Increase choice probability.","Space-time budget interviews; Police records from HKS information system; Points of interest data from LISA","Limited due to underreporting and low clearance rates in police data","Police data are incomplete due to underreporting and low clearance rates.","Unreported crimes and offenders not apprehended are missing from police data.","Space-time budget data is limited by high fieldwork costs and participants' memory limitations.","Measurement of whereabouts was limited to October-May, missing seasonal variations.","Short observation period of four days and fixed one-hour slots.","Findings may not generalize due to focus on adolescents and incomplete police data.","Findings specific to The Hague context.","No basis for comparison across contexts or time periods.","Not mentioned.","Not mentioned.","Not mentioned.","1. Gender | Binary; 2. Ethnic background | Binary; 3. Age structure | Binary",3,NA,0,NA,0,"1. Distance from Activity Space | Distance; 2. Distance from Prior Crime | Distance; 3. Contiguity Order | Distance",3,"1. Prior crime locations | Binary; 2. Day-of-week weighting | Number; 3. Time elapsed since interview | Number",3,22
"Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice","12-18 May 2016 (for mobile phone data)","2012-2016","China","Zg City",1971,NA,NA,NA,NA,NA,NA,"Robbery",4358,11455,7124,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not explicitly stated","Communities are used as spatial units likely due to administrative relevance and data availability.","Arrested street robbers and their offenses from 2012 to 2016 in ZG City, China.","1971 communities in ZG City.","One community chosen out of 1971.","Ambient population and surveillance cameras.","Negative for both ambient population and surveillance cameras.","Crime data from ZG Municipal Public Security Bureau; mobile phone data; neighborhood characteristics data from ZG City; sixth census of China","11,455 arrest records; only 7860 records have a home address in the city","Only 7860 out of 11,455 arrest records had a home address in the city.","Random selection of one robber to represent multiple robbers in some cases.","Relies on arrest records from the ZG Municipal Public Security Bureau.","Use of mobile phone data to measure ambient population.","Data from 2012 to 2016.","The study's findings are specific to ZG City and may not generalize to other urban areas.","The study is conducted in a specific urban context in China with unique characteristics such as rapid urbanization.","The study does not provide a direct comparison with other cities or regions.","The study uses community-level data, suggesting that future research should consider similar spatial scales for analyzing crime location choice.","The use of mobile phone data for ambient population measurement is highlighted, suggesting its potential for future studies.","The study suggests integrating ambient population and surveillance cameras into discrete spatial choice models to improve explanatory power.","1. Ambient population | Number",1,"1. Economic Inequality | Number",1,"1. Types of housing | Binary; 2. Density of Road Network | Percentage; 3. Density of road network | Percentage",3,"1. Distance of Journey to Crime | Distance; 2. Bus Stops | Distance; 3. Transportation Hubs | Distance; 4. Subway Stations | Distance; 5. Distance of journey to crime | Distance; 6. Logged distance of journey to crime | Distance",6,NA,0,30
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",NA,"2016","China","Zg City",1.62,NA,NA,NA,NA,NA,NA,"Robbery",1262,1262,527,"Data Availability","Panel","Mixed Logit",NA,"Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not explicitly provided","Administrative convenience and data availability","Detected robberies from the ZG City Public Security Bureau.","Pairs of prior and subsequent robberies for each repeat offender.","Prior and subsequent robbery locations for each offender.","Time interval between robberies, not being arrested in the act of a prior robbery.","Shorter time intervals and not being arrested increase the likelihood of returning to the same location.","ZG City Public Security Bureau; POI data from a navigation data company in China","Empirical crime research based on official police data is rare in China due to difficulty in accessing crime data","Difficulty in accessing crime data in China.","Omission of un-arrested robbers.","Reliance on official police data.","None explicitly mentioned.","None mentioned.","Findings may not be fully generalizable to other contexts due to unique Chinese social structure and spatial form.","Findings are specific to ZG City, China, and may not apply universally due to differences in social cohesion and policing strategies.","The study's context is specific to China, limiting comparisons with Western countries due to differences in social structure and policing.","Not explicitly mentioned.","Incorporate data from un-arrested robbers to improve model accuracy.","Address the nesting issue and incorporate data from un-arrested robbers.","1. Gender | Percentage; 2. Age | Percentage",2,NA,0,NA,0,"1. Distance of Journey to Prior Robbery | Distance; 2. Distance of Journey to Subsequent Robbery | Distance",2,"1. Time Interval Between Two Robberies | Number; 2. Not Arrested in the Act of Prior Robbery | Binary",2,36
"AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE","2009","2006-2009","Netherlands","The Hague, Rijswijk, And Leidschendam-Voorburg",1.68,NA,NA,NA,NA,NA,7700,"Any-Crime-Type Offences",13088,13088,5377,"Theory-Method","Cross-sectional","Conditional Logit","Maximum Likelihood","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""These postal codes are therefore well suited for a crime location choice study, because most people will be familiar with these areas when living there or (frequently) visiting the area.""","Four-digit postal code areas were chosen because they are familiar to residents and visitors, making them suitable for analyzing crime location choice.","Random sampling of offenders with at least one registered crime incident in 2009.","76 postal code areas as alternatives for each crime incident.","Alternatives selected based on availability of community survey data.","Residential areas of offenders and family, number of bars/restaurants/hotels, collective efficacy.","Residential areas increase targeting likelihood; high collective efficacy decreases it; bars/restaurants/hotels increase targeting in non-residential areas.","Police information system; Population registration data (BRP); LISA data; Community survey (SPAN project)","3696 questionnaires returned; Postal codes with sufficient residents included","Not explicitly mentioned.","No data available to precisely map awareness spaces of individual offenders.","Use of four-digit postal codes may be too large for theoretical models.","Study did not include other types of criminal opportunity.","Not explicitly mentioned.","Limited to three municipalities in the greater The Hague area in the Netherlands; may not be representative of other areas, especially rural ones.","Findings may not be applicable to rural areas.","Mechanisms may differ between countries, indicating a potential limitation in comparative validity across different national contexts.","Smaller spatial units may better fit theoretical models.","More precise data collection is needed to map individual offenders' awareness spaces.","Use more complete and precise measures for awareness and opportunity.","1. Population size | Number; 2. Proportion of residents with a non-western background | Percentage; 3. Age of offenders | Number; 4. Gender of offenders | Percentage",4,NA,0,NA,0,"1. Euclidean Distance | Distance; 2. Average Distance Replacement | Distance; 3. Travel Restrictions | Number; 4. Distance between the offender's residential area and the crime location | Distance",4,"1. Previous crime location | Binary",1,17
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",NA,"2006-2009","Netherlands","The Hague (Greater Area)",2.96,NA,NA,NA,NA,NA,7000,"Multiple Types",12639,12639,3666,"Theory-Method","Longitudinal","Conditional Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""A four-digit postal code area is a useful and plausible indication of the area people are expected to be familiar with when for instance living in or (regularly) visiting that area because 1) Dutch postal code areas are designed to have minimal travel restrictions for postal delivery services usually traveling on foot or bicycle, and 2) the size of a postal code area is inversely related to its level of urbanization that matches the geographic coverage of residents.""","Four-digit postal code areas are used because they are considered a familiar scale for individuals and match urbanization patterns, making them appropriate for studying crime location choices.","Random sample of 10,000 offenders from a police information system, with 3,666 included after exclusions.","Geographical set of alternatives from 142 four-digit postal code areas in the greater The Hague area.","Offender's choice of area for committing a crime.","Prior crime locations, distance to prior crime locations, recency of prior crimes, frequency of crimes in an area, type of crime.","Prior crime locations increase choice probability; distance to prior crime locations decreases choice probability.","Police information system used by the greater The Hague Police Service","Limited to cleared offense data from police records, which might suffer from detection bias","Detection bias due to reliance on cleared offense data.","Crimes committed outside the study area not accounted for.","Limited to greater The Hague area, largely urban.","Four-digit postal code areas may be too large.","Not explicitly mentioned.","Findings might not generalize to other regions, especially rural areas.","Findings are specific to the greater The Hague area.","No basis for comparison across different contexts or time periods.","The study suggests using larger areas to increase generalizability.","The authors recommend collecting data on offenders' daily routines and locations.","The study suggests using offender-based research methods to gather more detailed data.","1. Proportion of Residents with a Non-Western Ethnic Background | Percentage; 2. Proportion of residents with a non-Western ethnic background | Percentage; 3. Population Density | Distance; 4. Proportion of Non-Western Residents | Percentage",4,NA,0,"1. Residential Area Variables | Percentage",1,"1. Distance to Prior Crime Location | Distance; 2. Distance from Residential Area to Target Areas | Distance",2,NA,0,19
"Burglar Target Selection: Australia Study (Brisbane)",NA,NA,"Australia","Brisbane",NA,NA,NA,NA,NA,NA,NA,"Burglary",NA,276,NA,"Data Availability","Cross-sectional","Conditional Logit","Maximum Likelihood","Specified","Not Specified","Not Specified","Not Specified","Not Specified","Not Specified","""Study regions and their associated choice set geographies (NL-neighborhoods, UK-Super Output Areas [medium layer], AU-Statistical Local Areas) were selected based on equivalence in size of the known burglar population, number of targets (households) within each area, and total number of areas in a study region. (Australia context - Statistical Local Areas)""","Spatial units chosen based on equivalence in size of burglar population and number of targets for Australia context, likely due to data availability and administrative convenience.","Discrete spatial choice approach involving geographical units such as neighborhoods or suburbs.","Geographical units such as neighborhoods or suburbs selected based on equivalence in size and number of targets.","Based on geographical characteristics and presence of targets.","Proximity to home, proportion of single-family dwellings, number of households.","Positive for all significant predictors.","Australian Bureau of Statistics; Queensland Police Service","Limited by inconsistency in measuring residential real estate value across regions","Relies solely on cleared offense data, which may not accurately represent all criminal activity.","Indicator of ethnic heterogeneity unavailable for UK and Australia.","Police-recorded crime data may have nonprobabilistic sampling issues.","Assumption that crime trips originate from an offender's residence may not always be accurate.",NA,"Limited by reliance on cleared offense data and assumptions about crime trip origins; need for more study regions.","Findings specific to Brisbane, Australia context due to differences in target densities and Statistical Local Area characteristics.","Differences in measurement precision and data availability limit comparative analyses; constrained by lowest common denominator of data.","Use consolidated models for statistical comparisons across different environments.","Use administrative and census data to estimate the consolidated model.","Relax assumptions in the conditional logit model and use more complex models.",NA,0,"1. Residential Real Estate Value | Number",1,"1. Residential Mobility | Number; 2. Residential mobility | Percentage",2,"1. Proximity | Distance; 2. Proximity to City Center | Distance",2,NA,0,14
