Study_Title,Demographic_Count,Economic_Count,Environmental_Count,Distance_Count,Temporal_Count,Uncategorized_Count,Total_Variables
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",5,5,2,4,1,0,17
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,2,2,1,2,1,18,26
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,2,0,0,5,6,6,19
a_discrete_spatial_choice_model_of_burglary_target.pdf,4,0,0,4,0,6,14
Adolescent offenders' current whereabouts predict locations of their future crimes,3,0,0,3,3,13,22
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,1,1,3,6,0,19,30
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",2,0,0,2,2,30,36
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,4,0,0,4,1,8,17
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",4,0,1,2,0,12,19
Burglar Target Selection: Australia Study (Brisbane),0,1,2,2,0,9,14
Burglar Target Selection: Netherlands Study (The Hague),0,1,2,2,0,9,14
Burglar Target Selection: United Kingdom Study (Birmingham),0,1,2,2,0,9,14
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,2,2,2,3,0,10,19
CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,3,0,0,0,3,14,20
Co-offending and the Choice of Target Areas in Burglary,2,1,2,4,0,7,16
Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves' Target Location Choices,2,0,0,4,0,20,26
Discrete choice analysis of spatial attack sites,1,0,1,4,0,0,6
Divergent Decision-Making in Context: Neighborhood Context Shapes Effects of Physical Disorder and Spatial Knowledge on Burglars' Location Choice,2,0,2,3,0,10,17
"Do juvenile, young adult, and adult offenders target different places in the Chinese context?",1,0,0,1,0,14,16
Do Migrant and Native Robbers Target Different Places?,3,0,1,2,0,23,29
Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,8,0,2,8,2,16,36
"EFFECTS OF ATTRACTIVENESS, OPPORTUNITY AND ACCESSIBILITY TO BURGLARS ON RESIDENTIAL BURGLARY RATES OF URBAN NEIGHBORHOODS",1,2,2,5,0,9,19
Effects of residential history on commercial robbers' crime location choices,6,0,1,3,0,2,12
Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,2,0,0,2,0,6,10
FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE *,6,0,0,2,1,19,28
Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices,6,3,3,3,0,8,23
Go where the money is: modeling street robbers' location choices,7,0,1,5,0,7,20
Graffiti Writers Choose Locations That Optimize Exposure,0,0,1,3,0,18,22
HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,4,2,4,4,0,1,15
Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,0,1,0,2,0,24,27
LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,6,0,1,4,1,11,23
Location Choice of Snatching Offenders in Chennai City,5,0,0,5,0,10,20
Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places,4,0,4,4,0,4,16
Modelling taste heterogeneity regarding offence location choices,3,0,1,3,0,2,9
Modelling the spatial decision making of terrorists: the discrete choice approach,0,0,1,4,0,8,13
Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,3,0,0,1,3,8,15
Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar's Home Neighborhood Predict Offense Location?,4,1,2,5,0,12,24
Residential burglary target selection: An analysis at the property-level using Google Street View,0,1,0,5,0,12,18
