Study_Title,PDF_File,Output_File,Total_Quotes,Highlighted_Quotes,Success_Rate,Error
"Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",23_location_location_location_effects_of_neighbo.pdf,23_location_location_location_effects_of_neighbo_highlighted.pdf,197,29,14.720812182741117,
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,46_a_sentimental_journey_to_crime_effects_of_reside.pdf,46_a_sentimental_journey_to_crime_effects_of_reside_highlighted.pdf,167,94,56.287425149700596,
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,43_co-offenders_crime_location_choice.pdf,43_co-offenders_crime_location_choice_highlighted.pdf,196,0,0.0,
a_discrete_spatial_choice_model_of_burglary_target.pdf,01_a_discrete_spatial_choice_model_of_burglary_target.pdf,01_a_discrete_spatial_choice_model_of_burglary_target_highlighted.pdf,199,74,37.185929648241206,
Adolescent offenders' current whereabouts predict locations of their future crimes,10_adolescent_offenders_current_whereabouts_predict.pdf,10_adolescent_offenders_current_whereabouts_predict_highlighted.pdf,181,116,64.08839779005525,
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,31_ambient_population_and_surveillance_cameras.pdf,31_ambient_population_and_surveillance_cameras_highlighted.pdf,190,8,4.2105263157894735,
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",30_assessing_the_influence_of_prior_on_subsequent_street_robbery_location_choices.pdf,30_assessing_the_influence_of_prior_on_subsequent_street_robbery_location_choices_highlighted.pdf,175,103,58.857142857142854,
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,34_awareness_x_opportunity_testing_interactions_betw.pdf,34_awareness_x_opportunity_testing_interactions_betw_highlighted.pdf,244,19,7.786885245901639,
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",42_biting_once_twice_the_influence_of_prior_on_subs.pdf,42_biting_once_twice_the_influence_of_prior_on_subs_highlighted.pdf,206,76,36.89320388349515,
Burglar Target Selection: A Crossnational Comparison,20_burglar_target_selection_a_cross_national_compari.pdf,20_burglar_target_selection_a_cross_national_compari_highlighted.pdf,212,89,41.9811320754717,
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,40_burglars_blocked_by_barriers.pdf,40_burglars_blocked_by_barriers_highlighted.pdf,183,18,9.836065573770492,
