pdf_file,total_terms_found,geographic_terms,quantitative_terms,methods_terms,crime_terms,statistical_terms,other_terms,processing_status
01_a_discrete_spatial_choice_model_of_burglary_target.pdf,60,14,10,5,17,2,12,Success
02_residential_burglary_target_selection_property_level.pdf,58,11,10,0,18,7,12,Success
03_graffiti_writers_choose_locations_that_optimize_exposure.pdf,79,15,21,3,18,7,15,Success
04_where_do_dealers_solicit_customers_and_sell_them_drugs.pdf,70,11,30,3,12,2,12,Success
05_go_where_the_money_is_modeling_street_robbers_lo.pdf,90,19,23,8,20,5,15,Success
06_do_street_robbery_location_choices_vary_over_time.pdf,67,12,5,3,25,8,14,Success
07_the usefulness of past crime data as an attractive.pdf,71,20,15,4,18,3,11,Success
08_role_of_the_street_network_in_burglars_spatial_de.pdf,75,18,11,8,17,6,15,Success
09_discrete_choice_analysis_of_spatial_attack_sites_1.pdf,27,6,7,2,5,3,4,Success
10_adolescent_offenders_current_whereabouts_predict.pdf,54,8,10,5,17,2,12,Success
11_spatial_analysis_with_preference_specification_of.pdf,29,9,7,1,5,1,6,Success
12_modelling_the_spatial_decision_making_of_terrorist.pdf,71,17,11,7,18,3,15,Success
13_testing_ecological_theories_of_offender_spatial_de.pdf,83,18,12,7,25,5,16,Success
14_target_choice_during_extreme_events_a_discrete_sp.pdf,68,13,15,7,16,3,14,Success
15_situating_crime_pattern_theory_into_the_explanation.pdf,72,16,16,1,20,5,14,Success
16_modelling_taste_heterogeneity_regarding_offence_lo.pdf,72,17,11,6,21,3,14,Success
17_learning_where_to_offend_effects_of_past_on_future_burglary_locations.pdf,74,20,16,4,20,3,11,Success
18_how_do_residential_burglars_select_target_areas.pdf,56,13,12,6,13,6,6,Success
19_cooffending_and_the_choice_of_target_areas_in_bur.pdf,54,12,11,3,15,4,9,Success
20_burglar_target_selection_a_cross_national_compari.pdf,67,19,13,5,14,5,11,Success
21_effect_attractiveness_opportunity_and_accessibility.pdf,42,9,5,0,11,7,10,Success
22_where_offenders_choose_to_attack_a_discrete_choice_model.pdf,69,15,12,7,23,3,9,Success
23_location_location_location_effects_of_neighbo.pdf,80,14,16,4,19,9,18,Success
24_relative_difference_and_burglary_location.pdf,73,17,14,7,20,4,11,Success
25_divergent_decision-making_in_context_neighborhood.pdf,79,13,24,4,14,7,17,Success
26_familiar_locations_and_similar_activities_examining.pdf,75,14,14,3,28,3,13,Success
27_traveling_alone_or_together_neighborhood_context.pdf,92,21,13,6,20,20,12,Success
28_relationships_between_offenders_crime_locations.pdf,75,10,19,4,24,4,14,Success
29_crime_feeds_on_legal_activities_daily_mobility_fl.pdf,96,21,24,3,20,13,15,Success
30_assessing_the_influence_of_prior_on_subsequent_street_robbery_location_choices.pdf,77,18,13,7,18,9,12,Success
31_ambient_population_and_surveillance_cameras.pdf,89,20,16,6,22,11,14,Success
32_do_migrant_and_native_robbers_target_different_places.pdf,79,14,13,4,24,8,16,Success
33_do_juvenile_young_adult_and_adult_offenders_target_different_places.pdf,72,15,13,1,21,7,15,Success
34_awareness_x_opportunity_testing_interactions_betw.pdf,83,19,16,4,26,8,10,Success
35_the_importance_of_importance_sampling_exploring_m.pdf,93,17,32,4,21,4,15,Success
36_burglar_target_selection_a_cross_national_compari.pdf,67,19,13,5,14,5,11,Success
37_location_choice_of_snatching_offenders_in_chennai.pdf,90,20,14,5,27,12,12,Success
38_the_influence_of_activity_space_and_visiting_frequ.pdf,76,9,17,4,21,9,16,Success
39_right_place_right_time_making_crime_pattern_theory.pdf,51,8,5,4,20,3,11,Success
40_burglars_blocked_by_barriers.pdf,93,18,18,9,23,8,17,Success
41_investigating_the_effect_of_people_on_the_street.pdf,84,19,11,3,25,11,15,Success
42_biting_once_twice_the_influence_of_prior_on_subs.pdf,65,13,8,4,22,6,12,Success
43_co-offenders_crime_location_choice.pdf,57,12,6,3,17,4,15,Success
44_family_matters_effects_of_family_members_residen.pdf,50,9,8,5,11,6,11,Success
45_a_time_for_a_crime_temporal_aspects_of_repeat_off.pdf,92,18,22,9,22,7,14,Success
46_a_sentimental_journey_to_crime_effects_of_reside.pdf,57,16,8,4,19,2,8,Success
47_modeling_micro-level_crime_location_choice_applic.pdf,81,23,20,7,19,0,12,Success
48_effects_of_residential_history_on_commercial_robbe.pdf,40,6,7,4,15,1,7,Success
49_formal_evaluation_of_the_impact_of_barriers_and_connectors.pdf,60,14,13,3,17,4,9,Success
50_burglar_target_selection_a_cross_national_compari.pdf,67,19,13,5,14,5,11,Success
51_target_selection_models_with_preference_variation.pdf,70,19,14,5,17,1,14,Success
