Page,Variable,Term,HitsOnPage,Color
2,Number_of_Units,"503,589",1,"(0.0, 1.0, 0.0)"
1,Spatial_Unit_Name,house,1,"(0.0, 0.0, 1.0)"
1,Country,Belgium,1,"(1.0, 0.0, 0.0)"
1,Data_Sources,Belgian Federal Police,1,"(1.0, 0.65, 0.0)"
11,Crime_Type,Residential burglary,1,"(1.0, 0.65, 0.0)"
5,Independent_Variables,Built surface area,1,"(0.5, 0.0, 0.5)"
1,Crime_Incidents,650,1,"(0.0, 1.0, 0.0)"
1,City,Ghent,1,"(1.0, 0.0, 0.0)"
6,Software_Used,R version 3.0.2,1,"(0.5, 0.0, 0.5)"
4,Model_Type,Conditional Logit Model,1,"(0.5, 0.0, 0.5)"
