Page,Variable,Term,Mode,HitsOnPage,Color,Expanded
1,Supporting_quotes_for__Unit_Size_,This article studies how,quote,1,"(0.5, 0.5, 0.5)",True
1,Supporting_quotes_for__Unit_Size_,how burglars select a,quote,1,"(0.5, 0.5, 0.5)",True
1,Supporting_quotes_for__Unit_Size_,select a house to,quote,1,"(0.5, 0.5, 0.5)",True
2,Supporting_quotes_for__Average_Population_per_Unit_,The study area comprises,quote,1,"(0.5, 0.5, 0.5)",True
2,Supporting_quotes_for__Average_Population_per_Unit_,comprises the entire province,quote,1,"(0.5, 0.5, 0.5)",True
1,Supporting_quotes_for__Spatial_Aggregation_,decision when selecting a residential property as a burglary target.,quote,1,"(0.5, 0.5, 0.5)",True
1,Supporting_quotes_for__Spatial_Aggregation_,decision when selecting a residential property as a burglary target.,quote,1,"(0.5, 0.5, 0.5)",True
1,Unit_Selection_Rationale,the house as the,quote,1,"(0.2, 0.4, 1.0)",False
1,Unit_Selection_Rationale,house as the spatial,quote,1,"(0.2, 0.4, 1.0)",False
2,Supporting_quotes_for__Unit_Selection_Rationale_,the spatial resolution of existing applications of the approach is not aligned with the outcome of offenders,quote,1,"(0.5, 0.5, 0.5)",True
2,Supporting_quotes_for__Unit_Selection_Rationale_,the spatial resolution of existing applications of the approach is not aligned with the outcome of offenders,quote,1,"(0.5, 0.5, 0.5)",True
1,Supporting_quotes_for___Rationale_Category_,The spatial resolution of existing applications of the discrete spatial choice approach to crime target selection does not yet fully align with the theoretical and empirical understanding of burglars,quote,1,"(0.5, 0.5, 0.5)",True
1,Supporting_quotes_for___Rationale_Category_,The spatial resolution of existing applications of the discrete spatial choice approach to crime target selection does not yet fully align with the theoretical and empirical understanding of burglars,quote,1,"(0.5, 0.5, 0.5)",True
1,Supporting_quotes_for___Rationale_Category_,The spatial resolution of existing applications of the discrete spatial choice approach to crime target selection does not yet fully align with the theoretical and empirical understanding of burglars,quote,1,"(0.5, 0.5, 0.5)",True
1,Supporting_quotes_for___Rationale_Category_,The spatial resolution of existing applications of the discrete spatial choice approach to crime target selection does not yet fully align with the theoretical and empirical understanding of burglars,quote,1,"(0.5, 0.5, 0.5)",True
1,Supporting_quotes_for___Rationale_Category_,"target selection process, even though burglars ultimately select a house to burglarize.",quote,1,"(0.5, 0.5, 0.5)",True
1,Supporting_quotes_for___Rationale_Category_,"target selection process, even though burglars ultimately select a house to burglarize.",quote,1,"(0.5, 0.5, 0.5)",True
2,Supporting_quotes_for___Rationale_Category_,"Since micro-places more accurately measure the environment in which the offender acts, it is preferable to conduct geospatial criminological research at the most fine-grained spatial resolution available.",quote,1,"(0.5, 0.5, 0.5)",True
2,Supporting_quotes_for___Rationale_Category_,"Since micro-places more accurately measure the environment in which the offender acts, it is preferable to conduct geospatial criminological research at the most fine-grained spatial resolution available.",quote,1,"(0.5, 0.5, 0.5)",True
2,Supporting_quotes_for___Rationale_Category_,"Since micro-places more accurately measure the environment in which the offender acts, it is preferable to conduct geospatial criminological research at the most fine-grained spatial resolution available.",quote,1,"(0.5, 0.5, 0.5)",True
2,Supporting_quotes_for___Rationale_Category_,"Since micro-places more accurately measure the environment in which the offender acts, it is preferable to conduct geospatial criminological research at the most fine-grained spatial resolution available.",quote,1,"(0.5, 0.5, 0.5)",True
4,Computational_Constraints,the conditional logit model,quote,1,"(0.0, 0.8, 0.8)",False
6,Computational_Constraints,the conditional logit model,quote,1,"(0.0, 0.8, 0.8)",False
6,Computational_Constraints,the conditional logit model,quote,1,"(0.0, 0.8, 0.8)",False
6,Computational_Constraints,the conditional logit model,quote,1,"(0.0, 0.8, 0.8)",False
6,Computational_Constraints,the conditional logit model,quote,1,"(0.0, 0.8, 0.8)",False
6,Supporting_quotes_for__Computational_Constraints_,Estimating a conditional logit,quote,1,"(0.5, 0.5, 0.5)",True
6,Supporting_quotes_for__Computational_Constraints_,a conditional logit model,quote,1,"(0.5, 0.5, 0.5)",True
6,Supporting_quotes_for__Computational_Constraints_,a conditional logit model,quote,1,"(0.5, 0.5, 0.5)",True
6,Supporting_quotes_for__Computational_Constraints_,involves an iterative maximum,quote,1,"(0.5, 0.5, 0.5)",True
1,Supporting_quotes_for__Data_Sources_,target selection process.,quote,1,"(0.5, 0.5, 0.5)",True
