Title,Authors,DOI,DOI link,Venue,Citation count,Year,study area size,"Supporting quotes for ""study area size""","Supporting  tables for ""study area size""","Reasoning for ""study area size"""
TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS *,"Peter Baudains, Alex Braithwaite, Shane D Johnson",-,-,,85,2013,Not specified (the paper does not provide a direct measurement or calculation method for the total study area size in square kilometers),"  - ""Predominantly, the riots took place in the highly populated areas of London, Birmingham, and Manchester.""
  - ""Data exist across the complete set of 4,765 LSOAs in the Greater London area, and each LSOA typically consists of around 1,500 residents.""
  - ""In executing our research design, we are interested in offender decision making at the area level, and our chosen unit of analysis is the U.K. census LSOA.""
  - ""To do this, we use data for all riot-related incidents that occurred in London in August 2011 that were detected by the police.""
  - ""We examine the extent to which these patterns might be considered random or whether systematic patterns emerge that would plausibly be explained by existing criminological theory concerned with crime patterns.""",,"- The study focuses on riot-related incidents in London during August 2011, indicating that the study area is primarily within Greater London.
- The use of Lower Super Output Areas (LSOAs) as the unit of analysis suggests that the study area is divided into these smaller geographic units for analysis.
- The mention of 4,765 LSOAs in Greater London implies that the study area encompasses these areas, but it does not provide a direct measurement of the total area size in square kilometers.
- The paper does not provide a direct statement of the total study area size in square kilometers, nor does it offer a method for calculating this size based on the LSOAs.
- The study area description is limited to the geographic scope of Greater London and the use of LSOAs, but it lacks specific details about the total area size."
a_discrete_spatial_choice_model_of_burglary_target.pdf,-,-,-,-,-,-,"Total Study Area Size: Nearly 3,000 km²
Study Area Description: Entire province of East Flanders, Belgium
Area Calculation Method: Not specified
Area Source: Paper description
Alternative Size Info: None found
Context Notes: Densely urbanized polycentric area with a population of approximately 1.5 million","  - ""It covers nearly 3,000 km² and has a population of approximately 1.5 million.""
  - ""The study area comprises the entire province of East Flanders (Belgium), a densely urbanized polycentric study area with a population of approximately 1.5 million inhabitants distributed across 12 cities and 53 towns.""",,"- The paper explicitly states that the study area is the entire province of East Flanders in Belgium.
- It provides a specific size for the study area, mentioning that it covers ""nearly 3,000 km².""
- This information is directly related to the study area size, which is a key piece of information for understanding the scope of the study."
Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices,"Joseph Clare, John Fernandez, Frank Morgan",-,-,,100,2009,"Total Study Area Size: Approximately 1967.96 km²
Study Area Description: City of Perth, including 291 residential suburbs
Area Calculation Method: Calculated from average suburb size and total number of suburbs
Area Source: Australian Bureau of Statistics (ABS) data
Alternative Size Info: Average suburb size is 6.76 km²
Context Notes: Suburbs sprawl along the coast for approximately 100 km and extend inland up to 40 km","  - ""Perth is the largest city in Western Australia, with suburbs that sprawl along the coast for approximately 100 km and extend inland from the coast by up to 40 km.""
  - ""A total of 291 residential suburbs were selected as members of the possible choice set for the residential burglaries examined here.""
  - ""The overall geographic placement of these suburbs in relation to the Swan River, selected major roads, and the location of the railway line are displayed in Figure 1""
  - ""The city of Perth is located in the south-west of Western Australia at the coast of the Indian Ocean.""",,"- The study area is described as the city of Perth, which is located in Western Australia.
- The geographic extent of Perth is described as sprawling along the coast for approximately 100 km and extending inland up to 40 km.
- The study involves 291 residential suburbs, which are part of the choice set for residential burglaries.
- The average size of these suburbs is given as 6.76 km², which can be used to estimate the total study area size.
- To calculate the total study area size, we can multiply the average size of a suburb by the total number of suburbs: 6.76 km² * 291 suburbs = approximately 1967.96 km²."
Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,"Han Yue, Lin Liu, Luzi Xiao, Y D Wei",-,-,Applied Geography,15,2023,Not specified (the paper does not provide a specific total area size in square kilometers or any other unit),"  - ""The type of crime studied in this paper is street theft crime, which includes snatching, pickpocketing, and theft from the person that happened in the public open space.""
  - ""This study is conducted in ZG city, a megacity in southeast China.""
  - ""There are 2643 communities in the ZG city, and this study takes the community as the spatial unit of analysis.""
  - ""Finally, 1636 communities remain in this study.""
  - ""We obtained a set of detected street theft crimes committed during 2017 and 2018 from the police department of ZG city.""",,"- The study is conducted in ZG city, which is described as a megacity in southeast China. This provides a general geographic context for the study area.
- The study area is further defined by the number of communities involved, with 2643 communities in ZG city and 1636 communities remaining in the study. This indicates the spatial scope of the study.
- The study focuses on street theft crime within these communities, suggesting that the study area is urban and includes public spaces where such crimes occur.
- The use of a discrete spatial choice model to analyze crime location choices implies that the study area is divided into discrete spatial units, which are the communities.
- However, the paper does not provide a specific total area size in square kilometers or any other unit. It does not mention the exact size of the study area in terms of km² or any other measurement."
Target Selection Models with Preference Variation Between Offenders,"Michael Townsley, Daniel Birks, Stijn Ruiter, Wim Bernasco, • Gentry White",-,-,-,-,-,"Total Study Area Size: Not specified
Study Area Description: Brisbane Local Government Area, 158 Statistical Local Areas (SLAs)
Area Calculation Method: Not mentioned
Area Source: Not stated
Alternative Size Info: None found
Context Notes: None","  - ""Examining the location choices of these offenders, a choice set of 158 Statistical Local Areas (SLAs) were defined as possible offending areas.""
  - ""Data describing 2844 detected residential burglaries committed by 873 offenders over 2006-2009 calendar years in the Brisbane Local Government Area were collected and analyzed.""
  - ""Analyzing detected residential burglaries from Brisbane, Australia, we apply a random effects variant of the discrete spatial choice model to estimate preference variation between offenders across six location choice characteristics.""",,"- The study is conducted in Brisbane, Australia, as indicated by the mention of ""Brisbane, Australia"" and ""Brisbane Local Government Area.""
- The study area is described in terms of the number of Statistical Local Areas (SLAs) involved, which is 158.
- The paper does not provide a direct measurement of the study area size in square kilometers (km²), nor does it mention any specific geographic boundaries or administrative units beyond the SLAs.
- The area calculation method and source are not explicitly mentioned in the provided text.
- There is no alternative size information or context notes provided in the text."
Effects of residential history on commercial robbers' crime location choices,"Wim Bernasco, Thessa Kooistra",-,-,-,-,-,"Total Study Area Size: Not specified
Study Area Description: Postal code areas in the Netherlands
Area Calculation Method: Not mentioned
Area Source: Not stated
Alternative Size Info: None found
Context Notes: None","  - ""The third source of data is a database containing demographic, social and economic information on all postal code areas in the Netherlands. There are 4006 postal code areas nationwide; they have an average population size of 4900 and an average number of households of 2100.""
  - ""In terms of size, shape and topography, the postal code area is a useful spatial unit of analysis because it approximates the area one would expect people to be familiar with if they lived within it.""
  - ""Using unique data on the residential histories of commercial robbers, this study has generated new empirical evidence relating to the spatial behaviour of offenders that supports crime pattern theory.""
  - ""The first data source is the National Commercial Robbery Registration System (LORS), which is managed by the Dutch National Police Services Agency (KLPD). The LORS is an information system specifically designed for strategic and operational analyses in criminal investigations of commercial robberies.""",,"- The paper discusses the use of postal code areas as a spatial unit of analysis, which suggests that the study area is defined by these areas.
- The mention of 4006 postal code areas nationwide indicates the scope of the study area, but it does not provide a direct measurement of the total area size in square kilometers.
- The paper does not provide a specific total area size in square kilometers or any other unit, nor does it mention a method for calculating the area size.
- The study area description is related to postal code areas, but no specific geographic boundaries or administrative units are detailed beyond this.
- There is no mention of how the area size was calculated or what source was used for this information.
- The paper does not provide alternative size information or context notes about the area."
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,"Sabine E M Van Sleeuwen, Stijn Ruiter, Barbara Menting",-,-,,21,2018,"Total Study Area Size: Not specified (average area size of postal code areas is 2.96 km²)
Study Area Description: Greater The Hague area, comprising nine municipalities
Area Calculation Method: Not mentioned
Area Source: Study methodology
Alternative Size Info: 142 postal code areas with an average size of 2.96 km²
Context Notes: Study area defined by postal code areas","  - ""The dependent variable represents the choice outcome, that is, the target area the offender has selected from the set of alternative areas. As all offense locations were geocoded and allocated to one of the 142 postal codes in the study area, the dependent variable describes the choice for a particular postal code from all 142 potential alternatives in the greater The Hague area.""
  - ""In previous studies, it was argued that four-digit postal code areas are well-suited for crime location choice research, as these administrative areas were constructed in such a way to have minimal travel restrictions for postal delivery services that usually travel on foot or bicycle (Bernasco 2010:398)""
  - ""The area comprises of nine municipalities around-and including-the city of The Hague, the third largest city in the Netherlands.""",,"- The study area is described as comprising nine municipalities around and including the city of The Hague, indicating a geographic scope.
- The average area size of the postal code areas within the study region is given as approximately 2.96 km².
- The study uses 142 four-digit postal code areas, which are considered suitable for crime location choice research due to their minimal travel restrictions.
- The dependent variable involves choosing a target area from these 142 postal code areas, suggesting that the study area is defined by these administrative boundaries."
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Wim Bernasco,-,-,,204,2010,Not specified (the paper does not provide a specific total study area size in square kilometers or any other unit),"  - ""The third source is a national database of demographic, social, and economic information on all (four-digit) postal code areas in the Netherlands.""
  - ""In terms of their size, shape, and topography, the postal code area is a useful approximation of the area one would expect people to be familiar with if they lived within it.""
  - ""The second source of data is the population registration data, which are held in a nationwide information system (Dutch acronym GBA) used by Dutch municipalities and several other agencies, to keep track of birth, death, nationality, marriage, divorce, childbirth, and residential addresses of all Dutch citizens.""
  - ""The first data source is a police information system used by the Greater The Hague Police Force that was designed to support crime investigations.""
  - ""There are approximately 4,000 postal code areas nationwide, with an average population size of 4,900 and an average number of households of 2,100.""",,"- The study uses data from the Greater The Hague Police Force, which suggests a focus on the Hague area.
- The use of a nationwide population registration system and a national database of demographic information indicates a broader scope, but the focus is on postal code areas within the Netherlands.
- The mention of approximately 4,000 postal code areas with an average population size and number of households provides context for the study area's scope.
- The study area is described in terms of postal code areas, which are used as a proxy for areas familiar to residents.
- However, the paper does not provide a specific total study area size in square kilometers or any other unit."
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,"Luzi Xiao, Stijn Ruiter, Lin Liu, Guangwen Song, Suhong Zhou",-,-,"Computers, Environment and Urban Systems",12,2021,"Total Study Area Size: Approximately 7235.22 km²
Study Area Description: 2643 communities in ZG city
Area Calculation Method: Estimated from average community size and number of communities
Area Source: Paper's methodology section
Alternative Size Info: Average community size is 2.74 km²
Context Notes: Communities vary in size; average size used for estimation","  - ""Community size has a skew distribution though, with half of all communities smaller than 0.92 kmsq., but the smallest area only 0.01 km-sq. and the largest 82.49 km-sq.""
  - ""Communities have a relatively homogeneous population and their average size is 2.74 km-sq., which closely resembles the size of the units of analysis in many other crime location choice studies (e.g., Menting et al., 2016).""
  - ""Communities in the downtown area are generally smaller with a higher population density, whereas communities in the suburbs often have a lot of farmland or woodland and are thus usually bigger in size with relatively low numbers of residents.""
  - ""All residential burglaries were geocoded to one of the 2643 communities in ZG city.""",,"- The paper provides information about the number of communities (2643) and their average size (2.74 km-sq.), which can be used to estimate the total study area size.
- The average size of each community is given as 2.74 km-sq., and there are 2643 communities.
- To find the total study area size, we can multiply the number of communities by the average size of each community: 2643 communities * 2.74 km-sq./community = approximately 7235.22 km-sq.
- The paper also mentions that community sizes vary, with some being smaller and others larger, but the average size is a reasonable basis for estimating the total area."
FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE *,"Barbara Menting, Marre Lammers, Stijn Ruiter, Wim Bernasco",-,-,-,-,-,"Total Study Area Size: Not specified (average area size of 2.96 km² per postal code area)
Study Area Description: Greater The Hague area in the Netherlands
Area Calculation Method: Not mentioned
Area Source: Paper description
Alternative Size Info: 142 four-digit postal code areas with an average size of 2.96 km²
Context Notes: Average area size provided; total area not specified","  - ""Dutch four-digit postal code areas are designed to have minimal travel restrictions for postal delivery services that usually travel by foot or bicycle, and their size is inversely related to the level of urbanization (Bernasco, 2010: 398)""",,"- The paper provides specific information about the study area size by mentioning the average area size of the four-digit postal code areas within the study area. This is a direct measure of the size of the areas being studied.
- The average area size is given as 2.96 km², which is a key piece of information for understanding the scale of the study area.
- The study area is described as covering the greater The Hague area in the Netherlands, which provides a geographic context for the study.
- The paper does not provide a total study area size in km² but gives an average size for each postal code area, which can be used to estimate the total area if the number of areas is known."
