Title,Authors,DOI,DOI link,Venue,Citation count,Year,study area size,"Supporting quotes for ""study area size""","Supporting  tables for ""study area size""","Reasoning for ""study area size"""
TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS *,"Peter Baudains, Alex Braithwaite, Shane D Johnson",-,-,,85,2013,Not mentioned (the paper does not provide the total study area size or the average size of an LSOA in square kilometers),"  - ""Data exist across the complete set of 4,765 LSOAs in the Greater London area, and each LSOA typically consists of around 1,500 residents.""",,"- The paper mentions that the study area is Greater London, which is divided into 4,765 Lower Super Output Areas (LSOAs).
- Each LSOA typically consists of around 1,500 residents, but this information does not directly provide the size in square kilometers.
- The paper does not explicitly state the total area size of Greater London or the average size of an LSOA in square kilometers.
- Without the average size of an LSOA or the total area of Greater London, we cannot calculate the total study area size."
a_discrete_spatial_choice_model_of_burglary_target.pdf,-,-,-,-,-,-,"3,000 km²","  - ""It covers nearly 3,000 km² and has a population of approximately 1.5 million.""
  - ""The study area spans East Flanders (see Fout! Verwijzingsbron niet gevonden.), a north-western province in Belgium that borders the Netherlands in the north.""",,"- The paper explicitly states that the study area ""covers nearly 3,000 km²,"" which directly provides the total study area size.
- This information is found in the section describing the study area and geography, which is one of the specified search sections.
- The mention of the study area being larger than previous studies in terms of surface area further supports the relevance of this figure as the total study area size."
Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices,"Joseph Clare, John Fernandez, Frank Morgan",-,-,,100,2009,291 suburbs * 6.76 km²/suburb = 1967.16 km²,"  - ""Perth is the largest city in Western Australia, with suburbs that sprawl along the coast for approximately 100 km and extend inland from the coast by up to 40 km.""
  - ""54 suburbs (18.6%) included in the choice set did not experience any victimisation during the time period of interest.""
  - ""A total of 291 residential suburbs were selected as members of the possible choice set for the residential burglaries examined here.""
  - ""The final dataset contained 1,761 singleoffender (actual or attempted) residential burglaries committed between January 1, 2001, and December 31, 2002 , where the offender resided in the city of Perth.""
  - ""The city of Perth is located in the south-west of Western Australia at the coast of the Indian Ocean.""",,"- The study area is described as the city of Perth, which sprawls along the coast for approximately 100 km and extends inland by up to 40 km. This provides a general geographical context but does not directly state the total area size.
- The study involves 291 residential suburbs, which are part of the choice set for the analysis.
- The average size of each suburb is given as 6.76 km². This information can be used to calculate the total study area size by multiplying the average size by the total number of suburbs.
- The total number of suburbs analyzed is 291, and the average size of each suburb is 6.76 km². Therefore, the total study area size can be calculated as 291 suburbs * 6.76 km²/suburb."
Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,"Han Yue, Lin Liu, Luzi Xiao, Y D Wei",-,-,Applied Geography,15,2023,Not mentioned (the paper does not provide information on the total study area size or the average size of communities),"  - ""There are 2643 communities in the ZG city, and this study takes the community as the spatial unit of analysis.""
  - ""Finally, 1636 communities remain in this study.""
  - ""This study is conducted in ZG city, a megacity in southeast China.""",,"- The study is conducted in ZG city, which is described as a megacity in southeast China. This provides context for the study area but does not specify the total area size.
- The study uses communities as the spatial unit of analysis, and there are originally 2643 communities in ZG city. This is the total number of spatial units before exclusions.
- After data cleaning or exclusions, 1636 communities remained in the study. This is the number of units actually analyzed.
- However, the paper does not provide the average or typical size of these communities, nor does it specify the total area covered by these communities. Therefore, we cannot calculate the total study area size based on the information provided."
Target Selection Models with Preference Variation Between Offenders,"Michael Townsley, Daniel Birks, Stijn Ruiter, Wim Bernasco, • Gentry White",-,-,-,-,-,Not mentioned (the paper does not provide information on the total study area size or the average size of the spatial units),"  - ""Examining the location choices of these offenders, a choice set of 158 Statistical Local Areas (SLAs) were defined as possible offending areas.""
  - ""158 Statistical Local Areas (SLAs)""
  - ""Data describing 2844 detected residential burglaries committed by 873 offenders over 2006-2009 calendar years in the Brisbane Local Government Area were collected and analyzed.""",,"- The paper mentions that the study was conducted in the Brisbane Local Government Area, but it does not provide a direct statement about the total study area size in square kilometers.
- The number of spatial units is given as 158 Statistical Local Areas (SLAs), but there is no information provided about the average or typical size of these units.
- Without the average size of the SLAs or the total area covered by these units, it is not possible to calculate the total study area size."
Effects of residential history on commercial robbers' crime location choices,"Wim Bernasco, Thessa Kooistra",-,-,-,-,-,Not mentioned (the paper does not provide information on the total study area size in square kilometers),"  - ""In terms of size, shape and topography, the postal code area is a useful spatial unit of analysis because it approximates the area one would expect people to be familiar with if they lived within it.""
  - ""The third source of data is a database containing demographic, social and economic information on all postal code areas in the Netherlands. There are 4006 postal code areas nationwide; they have an average population size of 4900 and an average number of households of 2100.""",,"- The paper mentions that there are 4006 postal code areas in the Netherlands, which are used as spatial units for analysis.
- The average population size and number of households per postal code area are provided, but not the average size in square kilometers.
- The paper does not explicitly state the total study area size in square kilometers or provide enough information to calculate it directly.
- The focus is on the number of spatial units (postal code areas) rather than their physical size."
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,"Sabine E M Van Sleeuwen, Stijn Ruiter, Barbara Menting",-,-,,21,2018,Total study area size: 142 areas * 2.96 km²/area = 420.32 km²,"  - ""the alternatives represent the 142 different four-digit postal code areas of the study region, the greater The Hague area in the Netherlands.""
  - ""The area comprises of nine municipalities around-and including-the city of The Hague, the third largest city in the Netherlands.""",,"- The study area is described as the greater The Hague area in the Netherlands, which includes nine municipalities.
- The study area is divided into 142 different four-digit postal code areas.
- Each postal code area has an average size of about 2.96 km².
- To calculate the total study area size, we multiply the number of postal code areas by the average size of each area: 142 areas * 2.96 km²/area."
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,Wim Bernasco,-,-,,204,2010,"- Total number of spatial units: Approximately 4,000 postal code areas
- Average size of spatial unit: Urban areas < 0.5 square miles, rural areas < 2 square miles
- Units actually analyzed: 3,784 individuals (86% of the original sample)","  - ""The third source is a national database of demographic, social, and economic information on all (four-digit) postal code areas in the Netherlands. There are approximately 4,000 postal code areas nationwide, with an average population size of 4,900 and an average number of households of 2,100.""
  - ""In terms of their size, shape, and topography, the postal code area is a useful approximation of the area one would expect people to be familiar with if they lived within it.""
  - ""Postal codes in urban areas usually cover less than half a square mile, whereas postal codes in more rural regions are larger (less than 2 square miles).""
  - ""Of the 4,410 individuals originally selected for inclusion in the analysis on the basis of their presence in the police records, 3,784 (86 percent) were used in the analysis.""",,"- The study uses postal code areas as the spatial units for analysis, with approximately 4,000 such areas nationwide.
- The average size of these postal code areas is described in terms of urban and rural regions, with urban areas covering less than half a square mile and rural areas covering less than 2 square miles.
- To calculate the total study area size, we need to consider the average size of these postal code areas and the total number of areas analyzed.
- The paper does not provide a direct total area size but gives us the average size of postal code areas and the total number of areas."
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,"Luzi Xiao, Stijn Ruiter, Lin Liu, Guangwen Song, Suhong Zhou",-,-,"Computers, Environment and Urban Systems",12,2021,approximately 7235.02 km²,"  - ""Communities have a relatively homogeneous population and their average size is 2.74 km-sq.,""
  - ""Community size has a skew distribution though, with half of all communities smaller than 0.92 kmsq., but the smallest area only 0.01 km-sq. and the largest 82.49 km-sq.""
  - ""Communities in the downtown area are generally smaller with a higher population density, whereas communities in the suburbs often have a lot of farmland or woodland and are thus usually bigger in size with relatively low numbers of residents.""
  - ""All residential burglaries were geocoded to one of the 2643 communities in ZG city.""",,"- The study area is described in terms of the number of communities and their average size. The total number of communities is given as 2643.
- The average size of each community is provided as 2.74 km².
- To calculate the total study area size, we can multiply the total number of communities by the average size of each community.
- The calculation would be: 2643 communities * 2.74 km²/community = approximately 7235.02 km²."
FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE *,"Barbara Menting, Marre Lammers, Stijn Ruiter, Wim Bernasco",-,-,-,-,-,Total study area size = Average size of each postal code area * Total number of postal code areas = 2.96 km² * 142 = 420.32 km²,"  - ""Dutch four-digit postal code areas are designed to have minimal travel restrictions for postal delivery services that usually travel by foot or bicycle, and their size is inversely related to the level of urbanization (Bernasco, 2010: 398)""",,"- The study area is described as the ""greater The Hague area in the Netherlands,"" but no direct total area size is provided.
- The study area is divided into 142 four-digit postal code areas, which are the spatial units used for analysis.
- The average size of each postal code area is given as 2.96 km², with a standard deviation of 4.38 km² and a range from 0.12 to 24.69 km².
- To calculate the total study area size, we can use the average size of each postal code area and multiply it by the total number of areas."
