#,DOI,Publication_Year ,Journal_Name,Inclusion_Exclusion,Covidence_ID,Study_Title,Authors,Study_Country,Country_Class,Region,Study_Type,Corruption_Type,Corruption_Scenarios,Corruption_Scenarios2,Corruption_Scenarios3,Corruption_Scenarios4,Corruption_Scenarios5,Settings,Settings_Class,Target_Population,Public_Sector_Actors ,Private_Sector_Actors,General_Public,Students ,Demographic_Group,Target_Population_Other,Data_Source,Data_Type,Data_Collection_Methods,Data_Collection_Methods2,Data_Collection_Methods3,Data_Collection_Methods4,Techniques_Class,Data_Analysis_Techniques,Data_Analysis_Techniques2,Data_Analysis_Techniques3,Methodological_Approach,Quality_Appraisal_Total_Score
1,10.1111/ajsp.12402,2020,Asian Journal of Social Psychology,Included,5141,influence of individual values on attitudes toward corruption what undermine formal anticorruption effectiveness,"Tu, Wenyan; Yang, Jianguo; Zheng, Yang",china,Asia,East Asia,Empirical ,Not Mentioned,Not mentioned ,,,,,Public sector,Public Sector,"Besides being civil servants in the public sector, the respondents in our sample were also part-time students in the Master of Public Administration (MPA) programmes. These MPA students were full-time civil servants and only attended classes on weekends during a period of time, which makes them no different from common civil servants.",Civil servants ,,,University students ,,,Primary data ,Survey data,Surveys,,,,Surveys,Regression Analysis,,,Quantitative,High Quality
2,10.1007/s11205-016-1366-6,2017,Social Indicators Research,Included,5142,mapping colombian citizens views regardingordinary corruption threat bribery and the illicitsharing of confidential information,"López López, Wilson; Bocarejo, María Alejandra Roa; Peralta, Diana Roa; Pineda Marín, Claudia; Mullet, Etienne",colombia,The Americas,South America,Empirical ,Everyday Corruption,Bribery,Nepotism,,,,Not mentioned,Not Classified,Individuals,,,Citizens ,,,,Primary data ,Qualitative data,Vignettes,,,,Vignettes,Cluster Analysis,,,Mixed-approach,High Quality
3,10.1080/23812346.2017.1342897,2022,Journal of Chinese Governance,Included,5143,corruption tolerance and its influencing factorsthe case of chinas civil servants,"Guo, Xiajuan; Tu, Wenyan",china,Asia,East Asia,Empirical ,Not Mentioned,Bribery,,,,,Not mentioned,Not Classified,Civil servants,Civil servants ,,,,,,Primary data ,Survey data,Surveys,,,,Surveys,Descriptive Statistics,Regression Analysis,,Quantitative,High Quality
4,10.1177/1866802x1500700204,2015,Journal of Politics in Latin America,Included,5144,lowlevel corruption tolerance an actionbased approach for peru and latin america,"Alvarez, Joseph Pozsgai",latin america,The Americas,Latin America,Empirical ,Petty Corruption,Bribery,,,,,Daily-life scenario,Real-World Setting,Citizens,,,Citizens ,,,,Secondary data ,Observational,Surveys,,,,Surveys,Ordered Logistic Regression Analysis,,,Quantitative,High Quality
5,10.1007/s40888-017-0056-4,2017,Economia Politica,Included,5145,individual and institutional determinants of corruption in the eu countries the problem of its tolerance,"Hunady, Jan",eu countries,Europe,EU Countries,Empirical ,Not Mentioned,Bribery,,,,,Not mentioned,Not Classified,Citizens,,,Citizens ,,,,Secondary data ,Eurobarometer data and World Bank,Surveys,,,,Surveys,Regression Analysis,,,Quantitative,High Quality
6,10.1111/jora.12729,2019,Journal of Research on Adolescence,Included,5146,the influence of sociocultural beliefs on adolescents moral and tolerance evaluations toward corruption,"Martínez, Cristhian A.; Posada, Roberto",colombia,The Americas,South America,Empirical ,Petty Corruption,Bribery,Nepotism,,,,Two public and two private schools and universities in Bogota Colombia.,Educational Setting,"Adolescents (early, mid, and late adolescence)",,,,,Adolescents ,,Primary data ,Behavioral data,Interviews,"Transgression vignette (i.e., either bribery or nepotism), in a baseline condition, followed by the three experimental conditions (illegality, institutional illegitimacy, and survival).",,,"Interviews, Vignettes",Descriptive Statistics,Regression Analysis,,Quantitative,High Quality
7,10.1007/s11205-012-0071-3,2013,Social Indicators Research,Included,5147,indicators and implications of zero tolerance of corruption the case of hong kong,"Gong, Ting; Wang, Shiru",hong kong,Asia,East Asia,Empirical ,Not Mentioned,Not mentioned ,,,,,Educational setting,Educational Setting,University students,,,,University students ,,,Primary data ,Quantitative data,Surveys,,,,Surveys,Regression Analysis,,,Quantitative,High Quality
8,10.1016/j.jpubeco.2009.03.004,2009,Journal of Public Economics,Included,5148,propensities to engage in and punish corrupt behavior experimental evidence from australia india indonesia and singapore,"Cameron, Lisa; Chaudhuri, Ananish; Erkal, Nisvan; Gangadharan, Lata",australia india indonesia and singapore,"Oceania, Asia",Southeast Asia,Empirical ,Not Mentioned,Bribery,,,,,Experimental Lab,Educational Setting,Third year undergraduate or postgraduate students,,,,University students ,,,Primary data ,Experimental Data,Surveys,Experiments,,,"Experiments, Surveys",Multivariate Analysis,,,Quantitative,High Quality
9,10.1080/15387216.2019.1667844,2017,Eurasian Geography and Economics,Included,5149,the effects of anticorruption videos on attitudes toward corruption in a ukrainian online survey,"Denisova-Schmidt, Elena; Huber, Martin; Prytula, Yaroslav",ukraine,Europe,Eastern Europe,Empirical ,Everyday Corruption,Bribery,,,,,University,Educational Setting,Students,,,,University students ,,,Primary data ,Training and test data,Surveys,Experiments,,,"Experiments, Surveys",Descriptive Statistics,Regression Analysis,,Quantitative,High Quality
10,10.1080/10999922.2024.2353710,2024,Public Integrity,Included,5150,type of primary school attended influences bribegiving intentions,"Mengzhen, Lim; Van Oosten, Sanne; Wan Jaafar, Wan Munira",malaysia,Asia,Southeast Asia,Empirical ,Not Mentioned,Bribery,,,,,Primary and secondary schools,Educational Setting,Young adults between 18 and 30 years old.,,,,,Young adutlts ,,Primary data ,Survey data,Surveys,,,,Surveys,Comparative Analysis,,,Qualitative,Low Quality
