StartDate,EndDate,IPAddress,Progress,sector,QID1,gender,Q2_4_TEXT,education,housing,Q7_4_TEXT,Q3,Q3_7_TEXT,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_6,Q9_7,Q10_1,Q10_2,Q10_3,Q10_4,Q10_6,Q10_7,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q11,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_7_TEXT,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_5_TEXT,Q19,Q20,Q21,Q22,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_8_TEXT,graffiti_perc_gem,streetart_perc_gem,Zgraffiti_perc_gem,Zstreetart_perc_gem,privaat_rapport_gem,publiek_rapport_gem,graffiti_perception_sum,graffiti_reporting_sum,filter_$,age
2025-03-18T10:34:32Z,2025-03-18T10:41:18Z,78.21.37.66,100,A801,1984,Vrouw,,Diploma Hoger Onderwijs,Eigenaar van een (koop)huis/appartement,,Ik werk voltijds,,Minder dan 5,4,1,4,3,1,2,Helemaal eens,Oneens,Helemaal eens,Oneens,Helemaal eens,Oneens,5,5,5,5,1,3,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,Neutraal,"Neen, ik heb geen graffiti gerapporteerd aan één van de bevoegde instanties",,,NA,NA,NA,NA,Graffiti is lelijk,NA,NA,,NA,NA,NA,Er zijn andere dingen waar ik me zorgen over maak,NA,,Ja,,Neen,,NA,NA,"Het aanstellen van erkende graffiti artiesten die kunstwerken maken in de graffiti stijl, als manier om illegale graffiti tegen te gaan",Meer gebruik maken van muren die beschikbaar worden gesteld zodat graffiti artiesten deze kunnen gebruiken om graffiti te spuiten,NA,NA,"Stad Gent zou niet alleen moeten instaan voor het verwijderen van graffiti, andere overheidsinstanties moeten instaan voor de verwijdering op hun eigendom (spoorwegbruggen - > Infrabel, bus- en traminfrastructuur -> De Lijn)",NA,,2.5,3.1666666666666665,-0.3797291678283646,-0.6768867374631954,3,3,15,24,Selected,41
2025-03-18T12:57:53Z,2025-03-18T13:04:42Z,78.22.227.14,100,A531,1998,Vrouw,,Diploma Middelbaar,Ik huur een woning/appartement,,Ik werk voltijds,,Minder dan 5,4,3,4,3,3,3,Oneens,Oneens,Eens,Neutraal,Oneens,Neutraal,4,3,1,4,2,1,Waarschijnlijk,Waarschijnlijk,Niet waarschijnlijk,Niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,"Neen, ik heb geen graffiti gerapporteerd aan één van de bevoegde instanties",,,Het type van graffiti,De locatie waar graffiti aanwezig is,NA,NA,NA,NA,NA,,Ik weet niet wie ik moet contacteren,NA,Ik denk dat het deel uit maakt van een cultuur,Er zijn andere dingen waar ik me zorgen over maak,NA,,Ja,,Neen,,NA,NA,"Het aanstellen van erkende graffiti artiesten die kunstwerken maken in de graffiti stijl, als manier om illegale graffiti tegen te gaan",Meer gebruik maken van muren die beschikbaar worden gesteld zodat graffiti artiesten deze kunnen gebruiken om graffiti te spuiten,"De overheid moet bepaalde richtlijnen creëren die op basis van de meningen van de bevolking zijn gebaseerd, om graffiti te verwijderen. Hierbij wordt er een systeem gebruik van lage en hoge prioriteit waarbij hoge prioriteit graffiti sneller worden verwi",NA,"Stad Gent zou niet alleen moeten instaan voor het verwijderen van graffiti, andere overheidsinstanties moeten instaan voor de verwijdering op hun eigendom (spoorwegbruggen - > Infrabel, bus- en traminfrastructuur -> De Lijn)",NA,,3.3333333333333335,3.6666666666666665,0.48509904162367484,-0.07237882137116702,4,1.4,20,15,Selected,27
2025-03-19T12:15:47Z,2025-03-19T12:23:51Z,81.244.162.193,100,A812,1975,Vrouw,,Diploma Hoger Onderwijs,Eigenaar van een (koop)huis/appartement,,Ik werk voltijds,,Minder dan 5,4,4,4,5,2,3,Helemaal oneens,Oneens,Helemaal eens,Helemaal oneens,Oneens,Oneens,2,3,2,3,3,1,Neutraal,Waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,"Neen, ik heb geen graffiti gerapporteerd aan één van de bevoegde instanties",,,Het type van graffiti,NA,NA,NA,Graffiti is lelijk,NA,NA,,NA,NA,Ik denk dat het deel uit maakt van een cultuur,Er zijn andere dingen waar ik me zorgen over maak,NA,,Ja,,Neen,,NA,NA,"Het aanstellen van erkende graffiti artiesten die kunstwerken maken in de graffiti stijl, als manier om illegale graffiti tegen te gaan",NA,NA,NA,"Stad Gent zou niet alleen moeten instaan voor het verwijderen van graffiti, andere overheidsinstanties moeten instaan voor de verwijdering op hun eigendom (spoorwegbruggen - > Infrabel, bus- en traminfrastructuur -> De Lijn)",NA,,3.6666666666666665,4.5,0.8310303254044902,0.9351343721155472,3.5,1,22,14,Selected,50
2025-03-19T12:44:36Z,2025-03-19T12:51:14Z,78.21.37.66,100,A801,1983,Man,,Diploma Hoger Onderwijs,Anders:,,Ik ben zelfstandige,,Minder dan 5,4,3,3,3,3,4,Neutraal,Neutraal,Eens,Oneens,Neutraal,Oneens,4,3,3,2,1,1,Neutraal,Helemaal niet waarschijnlijk,Waarschijnlijk,Neutraal,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,"Neen, ik heb geen graffiti gerapporteerd aan één van de bevoegde instanties",,,Het type van graffiti,De locatie waar graffiti aanwezig is,De grote hoeveelheid aan graffiti die al aanwezig is,NA,NA,NA,NA,,NA,NA,Ik denk dat het deel uit maakt van een cultuur,Er zijn andere dingen waar ik me zorgen over maak,NA,,Ja,,Ja,0,NA,NA,NA,Meer gebruik maken van muren die beschikbaar worden gesteld zodat graffiti artiesten deze kunnen gebruiken om graffiti te spuiten,"De overheid moet bepaalde richtlijnen creëren die op basis van de meningen van de bevolking zijn gebaseerd, om graffiti te verwijderen. Hierbij wordt er een systeem gebruik van lage en hoge prioriteit waarbij hoge prioriteit graffiti sneller worden verwi",NA,NA,NA,,3.3333333333333335,3.5,0.48509904162367484,-0.27388146006850966,2,2,20,14,Selected,42
2025-03-20T04:31:12Z,2025-03-20T04:36:19Z,78.22.235.49,100,A531,1992,Vrouw,,Diploma Hoger Onderwijs,Eigenaar van een (koop)huis/appartement,,Ik werk voltijds,,Minder dan 5,4,2,4,4,3,3,Oneens,Neutraal,Eens,Oneens,Neutraal,Oneens,4,4,4,2,2,1,Waarschijnlijk,Niet waarschijnlijk,Helemaal niet waarschijnlijk,Niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,"Neen, ik heb geen graffiti gerapporteerd aan één van de bevoegde instanties",,,Het type van graffiti,De locatie waar graffiti aanwezig is,NA,NA,NA,NA,NA,,NA,NA,Ik denk dat het deel uit maakt van een cultuur,Er zijn andere dingen waar ik me zorgen over maak,NA,,Ja,,Ja,5,NA,NA,NA,Meer gebruik maken van muren die beschikbaar worden gesteld zodat graffiti artiesten deze kunnen gebruiken om graffiti te spuiten,"De overheid moet bepaalde richtlijnen creëren die op basis van de meningen van de bevolking zijn gebaseerd, om graffiti te verwijderen. Hierbij wordt er een systeem gebruik van lage en hoge prioriteit waarbij hoge prioriteit graffiti sneller worden verwi",NA,NA,NA,,3.3333333333333335,3.6666666666666665,0.48509904162367484,-0.07237882137116702,3,1.2,20,17,Selected,33
2025-03-20T08:33:35Z,2025-03-20T08:44:08Z,78.22.98.222,100,A24,1971,Man,,Diploma Hoger Onderwijs,Eigenaar van een (koop)huis/appartement,,Ik ben zelfstandige,,Minder dan 5,1,1,2,2,2,2,Eens,Neutraal,Eens,Oneens,Neutraal,Neutraal,4,4,3,4,4,4,Waarschijnlijk,Waarschijnlijk,Waarschijnlijk,Waarschijnlijk,Neutraal,Neutraal,Neutraal,"Ja, ik heb een melding gemaakt bij Stad Gent",Gevel beklad en gevraagd om reiniging,Graffiti verwijderd binnen de maand,NA,NA,NA,NA,Graffiti is lelijk,NA,NA,,NA,NA,NA,NA,Andere:,Ik zou het wel rapporteren,Ja,,Ja,1000 €,NA,Nultolerantie: elk type graffiti moet direct verwijderd worden,"Het aanstellen van erkende graffiti artiesten die kunstwerken maken in de graffiti stijl, als manier om illegale graffiti tegen te gaan",Meer gebruik maken van muren die beschikbaar worden gesteld zodat graffiti artiesten deze kunnen gebruiken om graffiti te spuiten,NA,NA,NA,NA,,1.6666666666666667,3.1666666666666665,-1.2445573772804037,-0.6768867374631954,4,3.4,10,23,Selected,54
2025-03-20T15:26:53Z,2025-03-20T15:33:22Z,81.245.145.0,100,A801,1976,Vrouw,,Diploma Hoger Onderwijs,Eigenaar van een (koop)huis/appartement,,Ik werk voltijds,,Minder dan 5,2,2,3,2,2,2,Oneens,Oneens,Helemaal eens,Oneens,Oneens,Oneens,5,5,4,4,3,3,Waarschijnlijk,Waarschijnlijk,Waarschijnlijk,Waarschijnlijk,Waarschijnlijk,Niet waarschijnlijk,Neutraal,"Neen, ik heb geen graffiti gerapporteerd aan één van de bevoegde instanties",,,NA,De locatie waar graffiti aanwezig is,NA,NA,NA,NA,NA,,NA,NA,NA,Er zijn andere dingen waar ik me zorgen over maak,NA,,Ja,,Ja,50,NA,NA,"Het aanstellen van erkende graffiti artiesten die kunstwerken maken in de graffiti stijl, als manier om illegale graffiti tegen te gaan",Meer gebruik maken van muren die beschikbaar worden gesteld zodat graffiti artiesten deze kunnen gebruiken om graffiti te spuiten,NA,NA,"Stad Gent zou niet alleen moeten instaan voor het verwijderen van graffiti, andere overheidsinstanties moeten instaan voor de verwijdering op hun eigendom (spoorwegbruggen - > Infrabel, bus- en traminfrastructuur -> De Lijn)",NA,,2.1666666666666665,4.166666666666667,-0.7256604516091804,0.5321290947208619,4,3.4,13,24,Selected,49
2025-03-21T04:16:22Z,2025-03-21T04:31:18Z,81.244.28.161,100,A24,1940,Vrouw,,Diploma Hoger Onderwijs,Ik huur een woning/appartement,,Ik ben gepensioneerd,,Minder dan 5,3,4,4,2,4,2,Oneens,Oneens,Eens,Oneens,Oneens,Oneens,4,4,4,4,2,2,Waarschijnlijk,Waarschijnlijk,Waarschijnlijk,Neutraal,Waarschijnlijk,Neutraal,Waarschijnlijk,"Neen, ik heb geen graffiti gerapporteerd aan één van de bevoegde instanties",,,Het type van graffiti,De locatie waar graffiti aanwezig is,NA,NA,Graffiti is lelijk,Het is een misdrijf en het is een goede daad om het te melden,NA,,NA,Ik denk niet dat het een impact zal hebben,NA,Er zijn andere dingen waar ik me zorgen over maak,NA,,Ja,,Neen,,NA,NA,"Het aanstellen van erkende graffiti artiesten die kunstwerken maken in de graffiti stijl, als manier om illegale graffiti tegen te gaan",Meer gebruik maken van muren die beschikbaar worden gesteld zodat graffiti artiesten deze kunnen gebruiken om graffiti te spuiten,NA,NA,NA,NA,,3.1666666666666665,4,0.31213339973326665,0.33062645602351876,4,3.6,19,20,Selected,85
2025-03-23T05:53:43Z,2025-03-23T06:50:28Z,81.247.72.185,100,A01,1960,Man,,Diploma Middelbaar,Eigenaar van een (koop)huis/appartement,,Ik ben gepensioneerd,,Minder dan 5,5,1,3,1,2,2,Helemaal oneens,Eens,Neutraal,Oneens,Eens,Oneens,5,5,5,5,5,5,Niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,"Ja, ik heb een melding gemaakt bij Stad Gent",Melding gemaakt om illegale tag op mijn gevel (van mijn huis) te laten verwijderen,"Ja, ja en 1 week",NA,De locatie waar graffiti aanwezig is,NA,NA,NA,NA,NA,,NA,NA,NA,Er zijn andere dingen waar ik me zorgen over maak,NA,,Ja,,Neen,,Nultolerantie: elke persoon dat betrapt wordt op graffiti zou direct gestraft moeten worden,NA,NA,Meer gebruik maken van muren die beschikbaar worden gesteld zodat graffiti artiesten deze kunnen gebruiken om graffiti te spuiten,NA,NA,NA,NA,,2.3333333333333335,3.3333333333333335,-0.5526948097187723,-0.47538409876585225,1.5,1,14,30,Selected,65
2025-03-23T07:26:00Z,2025-03-23T07:31:24Z,78.21.6.118,100,A63,1996,Man,,Diploma Middelbaar,Ik huur een woning/appartement,,Ik werk voltijds,,Minder dan 5,4,3,4,4,4,4,Oneens,Oneens,Eens,Neutraal,Oneens,Oneens,1,1,1,1,4,1,Heel waarschijnlijk,Heel waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,Helemaal niet waarschijnlijk,"Neen, ik heb geen graffiti gerapporteerd aan één van de bevoegde instanties",,,Het type van graffiti,NA,NA,NA,NA,NA,NA,,Ik weet niet wie ik moet contacteren,NA,NA,Er zijn andere dingen waar ik me zorgen over maak,NA,,Ja,,Neen,,NA,NA,"Het aanstellen van erkende graffiti artiesten die kunstwerken maken in de graffiti stijl, als manier om illegale graffiti tegen te gaan",NA,NA,NA,"Stad Gent zou niet alleen moeten instaan voor het verwijderen van graffiti, andere overheidsinstanties moeten instaan voor de verwijdering op hun eigendom (spoorwegbruggen - > Infrabel, bus- en traminfrastructuur -> De Lijn)",NA,,3.8333333333333335,3.8333333333333335,1.0039959672948984,0.12912381732617614,5,1,23,9,Selected,29
