Var1,Var2,Correlation
age,age,1
graffiti_reporting_sum,age,0.23
gender,age,-0.1
education,age,0.17
housing,age,-0.54
age,graffiti_reporting_sum,0.23
graffiti_reporting_sum,graffiti_reporting_sum,1
gender,graffiti_reporting_sum,-0.08
education,graffiti_reporting_sum,0.08
housing,graffiti_reporting_sum,-0.19
age,gender,-0.1
graffiti_reporting_sum,gender,-0.08
gender,gender,1
education,gender,-0.07
housing,gender,0.04
age,education,0.17
graffiti_reporting_sum,education,0.08
gender,education,-0.07
education,education,1
housing,education,-0.23
age,housing,-0.54
graffiti_reporting_sum,housing,-0.19
gender,housing,0.04
education,housing,-0.23
housing,housing,1
