Predictor,Estimate,Std. Error,t value,Pr(>|t|)
(Intercept),16.309,3.476,4.692,0
age,-0.05,0.021,-2.372,0.018
genderVrouw,0.198,0.609,0.325,0.745
genderNon-binair,7.492,3.981,1.882,0.061
genderAnders:,-13.956,5.779,-2.415,0.016
genderWil ik liever niet zeggen,3.619,2.825,1.281,0.201
educationDiploma Middelbaar,3.016,3.405,0.886,0.376
educationDiploma Hoger Onderwijs,2,3.382,0.591,0.555
educationWil ik liever niet zeggen,0.992,5.215,0.19,0.849
housingIk huur een woning/appartement,1.742,0.743,2.345,0.02
housingIk huur een kot,0.969,1.399,0.692,0.489
housingAnders:,2.515,1.589,1.583,0.114
