S. No,Article Title,Year of publication,Size of the unit,Unit,No of units,No of incidents,Name of the unit
1,Go where the money is: Modeling street robbers' location choices,2013,19680,m,24.594,12.938,Census block
2,Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,,19680,m,24.594,12.938,Census block
3,Formal evaluation of the impact of barriers and connectors on residential burglars' macro-level offending location choices,,6.7,km,291,1.761,Residential suburb
4,Burglar Target Selection: A Cross-national Comparison (statistical local areas - AU),,8.48,km,158,889,Other administrative unit
5,Target Selection Models with Preference Variation Between Offenders,,8.48,km,158,2.844,statistical local areas
6,Biting Once Twice: the Influence of Prior on Subsequent Crime Location Choice,,2.96,km,142,12.639,Postal code area
7,Co-offenders' crime location choice: Do co-offending groups commit crimes in their shared awareness space?,,2.96,km,142,3.037,Postal code area
8,Family Matters: Effects of Family Members’ Residential Areas on Crime Location Choice*,,2.96,km,142,19.42,Postal code area
9,A Time for a Crime: Temporal Aspects of Repeat Offenders’ Crime Location Choices,,2.96,km,142,12.639,Postal code area
10,Burglars blocked by barriers The impact of physical and social barriers on residential burglars target location choices in China,,2.74,km,2.643,3.86,Community
11,Location Choice of Snatching Offenders in Chennai City (Wards),,2.18,km,201,1.573,Other administrative unit
12,Burglar Target Selection: A Cross-national Comparison (Super Output Areas - UK),,2.04,km,131,398,Other administrative unit
13,Awareness×Opportunity: Testing Interactions Between Activity Nodes and Criminal Opportunity in Predicting Crime Location Choice,,1.68,km,76,13.088,Postal code area
14,Crime Feeds on Legal Activities: Daily Mobility Flows Help to Explain Thieves’ Target Location Choices,,1.62,km,1.616,3.436,Census unit
15,Assessing the influence of prior on subsequent street robbery location choices: A case study in ZG City  China,,1.62,km,1.973,527,Community
16,Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,,1.62,km,1.971,4.358,Community
17,Do Migrant and Native Robbers Target Different Places?,,1.62,km,1.971,4.358,Neighborhood
18,"Do juvenile, young adult, and adult offenders target different places in the Chinese context?",,1.62,km,1.971,4.358,Neighborhood
19,Relationships Between Offenders’ Crime Locations and Different Prior Activity Locations as Recorded in Police Data,,1.2,km,2.153,38.57,Census unit statistical area
20,Location Location Location”: Effects of Neighborhood and House Attributes on Burglars’ Target Selection',,0.79,km,193,679,Neighborhood
21,The Influence of Activity Space and Visiting Frequency on Crime Location Choice: Findings from an Online Self-Report Survey,,0.68,km,12.821,140,Neighborhood
22,Right place  right time? Making crime pattern theory time-specific,,0.66,km,71,13.305,Neighborhood
23,How do residential burglars select target areas? : A new approach to the analysis of criminal location choice,,0.65,km,89,548,Neighborhood
24,Co-offending and the Choice of Target Areas in Burglary,,0.65,km,89,1.174,Neighborhood
25,Burglar Target Selection: A Cross-national Comparison (NL),,0.65,km,89,1.835,Neighborhood
26,Effect Attractiveness Opportunity And Accessibility To Burglars On Residential Burglary Rates Of Urban Neighborhoods,,0.65,km,89,26,Neighborhood
27,Learning where to offend: Effects of past on future burglary locations (UK Census Lower Level Super Output Area (LSOA),,0.51,km,1.687,3.337,LSOA
28,Modelling taste heterogeneity regarding offence location choices (Census output area),,0.44,km,616,1.105,Other administrative unit
29,The usefulness of past crime data as an attractiveness index for residential burglars,,500,m,1.134,369,Grid cell
30,Adolescent offenders' current whereabouts predict locations of their future crime,,200,m,4.558,5.092,Grid cell
31,Where Do Dealers Solicit Customers and Sell Them Drugs,,103,m,262,50,Street segment
32,Where offenders choose to attack: A discrete choice model of robberies in Chicago,,,,844,12.872,Census tract
33,Relative Difference and Burglary Location: Can Ecological Characteristics of a Burglar’s Home Neighborhood Predict Offense Location?,,,,334,5.182,Neighborhood
34,A Sentimental Journey To Crime : Effects of Residential History on Crime Location Choice,,,,4,7.179,Postal code area
35,Modeling micro-level crime location choice: Application of the discrete choice framework to crime at places ,,,,23.984,1.311,Postal code area
36,Effects of Residential history on Commercial Robbers' Crime Location Choices,,,,4.006,1.539,Postal code area
37,Role of the Street Network in Burglars' Spatial Decision-Making,,,,5.286,459,Street segment
38,Target Choice During Extreme Events: A Discrete Spatial Choice Model of the 2011 London Riots (LSOA),,,,4.765,2.299,LSOA
39,Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model (LSOA),,,,198,721,LSOA
40,A discrete spatial choice model of burglary target selection at the house-level,,,,503.589,4.308,Residential property
41,Residential burglary target selection: An analysis at the property-level using Google Street View,,,,51.378,2.911,Residential property
42,Modelling the spatial decision making of terrorists: The discrete choice approach,,,,890,150,Small areas
43,Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,,,,304,4.92,Neighborhood
44,,,,,,,
