group,term
key,crime location
key,crime location choice
key,criminal decision
key,criteria decision
key,decision maker
key,decision makers
key,decision making
key,decision making process
key,discrete choice
key,discrete spatial choice
key,juvenile offender
key,juvenile offenders
key,location choice
key,location choices
key,offender decision
key,offender decision-making
key,residential burglar
key,residential burglary
key,sexual offender
key,sexual offenders
key,sexual offending
key,sexual offense
key,sexual offenses
key,sexual violence
key,spatial choice
key,spatial choice model
key,violent crime
key,violent crimes
