S.No,,Article Title,Abstract,ISSN,eISSN,Publication Year,Volume,Issue,Start Page,End Page,DOI Link,Early Access Date,Date of Export
1,y,FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE,"According to crime pattern theory, offenders are likely to select crime locations within their awareness space. Previous studies have shown that offenders often commit crimes within their current and former residential areas and in areas they previously targeted. However, offenders' awareness spaces obviously consist of more locations that potentially influence their crime location choices. This study examines the importance of the residential areas of offenders' family members. Most offenders visit their families at least occasionally and consequently get familiar with the areas in which their families live. It is hypothesized that family members' residential areas are at increased risk of being targeted. Unique data were used to reconstruct residential histories of the parents, siblings, and children of 7,910 offenders who committed 19,420 offenses. The results of discrete spatial choice models showed that residential areas of family members are indeed at increased risk of being targeted. Current familial residential areas had stronger and more consistent effects than had former familial residential areas. Effects were strongest for the residential areas of offenders' children compared with those of their parents and siblings. The residential areas of male and female family members affected the crime location choices of male and female offenders equally.",0011-1384,1745-9125,2016,54,3,413,433,http://dx.doi.org/10.1111/1745-9125.12109,,22/02/2024
2,y,Target Selection Models with Preference Variation Between Offenders,"This study explores preference variation in location choice strategies of residential burglars. Applying a model of offender target selection that is grounded in assertions of the routine activity approach, rational choice perspective, crime pattern and social disorganization theories, it seeks to address the as yet untested assumption that crime location choice preferences are the same for all offenders. Analyzing detected residential burglaries from Brisbane, Australia, we apply a random effects variant of the discrete spatial choice model to estimate preference variation between offenders across six location choice characteristics. Furthermore, in attempting to understand the causes of this variation we estimate how offenders' spatial target preferences might be affected by where they live and by their age. Findings of this analysis demonstrate that while in the aggregate the characteristics of location choice are consistent with the findings from previous studies, considerable preference variation is found between offenders. This research highlights that current understanding of choice outcomes is relatively poor and that existing applications of the discrete spatial choice approach may underestimate preference variation between offenders.",0748-4518,1573-7799,2016,32,2,283,304,http://dx.doi.org/10.1007/s10940-015-9264-7,,22/02/2024
3,y,CO-OFFENDERS' CRIME LOCATION CHOICE: DO CO-OFFENDING GROUPS COMMIT CRIMES IN THEIR SHARED AWARENESS SPACE?,"This study examines the influence of co-offending on crime location choice: the extent to which awareness spaces of co-offenders overlap and whether co-offended crimes are more likely committed in this overlap in awareness space. In total, 4,654 offenders from the greater The Hague region in The Netherlands were studied. They committed 6,283 crimes; of which, 3,612 were co-offended. The data were analysed using a discrete spatial choice model. Results show that most co-offending groups share 50 per cent or less of their awareness space. Offender groups are significantly more likely to commit crimes in areas known to multiple offenders in the group (the shared awareness space of the group) than in areas known to one offender or none of the offenders.",0007-0955,1464-3529,2018,58,5,1193,1211,http://dx.doi.org/10.1093/bjc/azx069,,22/02/2024
4,y,The Importance of Importance Sampling: Exploring Methods of Sampling from Alternatives in Discrete Choice Models of Crime Location Choice,"Objectives The burgeoning field of individual level crime location choice research has required increasingly large datasets to model complex relationships between the attributes of potential crime locations and offenders' choices. This study tests methods of sampling aiming to overcome computational challenges involved in the use of such large datasets. Methods Using police data on 38,120 residential and non-residential burglary, commercial and personal robbery and extra-familial sex offense locations and the offenders' pre-offense activity locations (e.g., home, family members' homes and prior crime locations), and in the context of the conditional logit formulation of the discrete spatial choice model, we tested a novel method for importance sampling of alternatives. The method over-samples potential crime locations near to offenders' activity locations that are more likely to be chosen for crime. We compared variants of this method with simple random sampling. Results Importance sampling produced results more consistent with those produced without sampling compared with simple random sampling, and provided considerable computational savings. There were strong relationships between the locations of offenders' prior criminal and non-criminal activities and their crime locations. Conclusions Importance sampling from alternatives is a relatively simple and effective method that enables future studies to use larger datasets (e.g., with more variables, wider study areas, or more granular spatial or spatio-temporal units) to yield greater insights into crime location choice. By examining non-residential burglary and sexual offenses, in New Zealand, the substantive results represent a novel contribution to the growing literature on offenders' spatial decision making.",0748-4518,1573-7799,2022,38,4,1003,1031,http://dx.doi.org/10.1007/s10940-021-09526-5,Jul-21,22/02/2024
5,y,A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,"Objectives: This article examines to what extent repeat offenders' crime location choices are conditional on the timing of the offenses within the week and within the day. Extending crime pattern theory, we argue that offenders acquire time-specific rather than general knowledge of their environment. We hypothesize that offenders are more likely to offend in previously targeted areas at similar than at different days and times. Methods: Data on 12,639 offenses committed by 3,666 repeat offenders in the Netherlands are analyzed using discrete spatial choice models. Results: Offenders are most likely to offend in areas they already targeted before at similar parts of the week and similar times of the day, especially when the previous offense was committed on exactly the same weekend day or weekday and at the same hour of day. Offenders are less likely to return to previously targeted areas at different times of the week and day, and least likely to offend in areas they never targeted before. The effects were stronger for the same than for different types of crime. Conclusions: Assessing cyclic time patterns in crime location choice not only enhances our understanding of spatial criminal decision-making, but could also improve predictive policing methods.",0022-4278,1552-731X,2018,55,4,538,568,http://dx.doi.org/10.1177/0022427818766395,,22/02/2024
6,y,Location Choice of Snatching Offenders in Chennai City,"Objectives We aim to test the applicability of crime pattern theory in an Indian urban context by assessing the effects of offender residence, prior offending locations and presence of crime generators and crime attractors on where offenders commit offences. Methods The data comprise 1573 police-recorded snatching offenses committed by 1152 identified offenders across the 201 wards of Chennai City. We used discrete crime location choice models to establish the choice criteria that snatching offenders use when they decide where to offend. Data on the locations retail businesses, religious and transportation facilities were collected using Google location services. Results The results confirm that snatching offenders prefer to target locations closer to their residence and that they prefer to re-offend at or near their prior offending locations. The findings also demonstrate that some but not all crime attractors and generators influence the location choice of snatching offenders. Conclusions By replicating in an Indian context previously published crime location choice findings, our findings support the generality of crime pattern theory. We discuss limitations and make suggestions for future investigations.",0748-4518,1573-7799,2022,38,3,673,696,http://dx.doi.org/10.1007/s10940-021-09514-9,May-21,22/02/2024
7,y,Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,"Understanding the relationships between individual offenders' crime locations and their prior activity locations is important to enable individual level predictions to support crime prevention and investigation strategies. This study examined a wider range of crimes and activity locations than included in previous studies, to determine whether offenders are more likely to commit crime near some types of activity locations than others. Using discrete spatial choice models, we identified relationships between proximity to pre-crime activity locations recorded in a police database (e.g., offenders' homes, family members' homes, schools, prior crimes, and other police interactions) and the locations of 17,054 residential burglaries, 10,353 non-residential burglaries, 1,977 commercial robberies, 4,315 personal robberies, and 4,421 extra-familial sex offences in New Zealand. Offenders were generally more likely to commit crime closer to their activity locations than farther away, and closer to those visited more frequently (e.g., home versus family homes) or more likely to impart relevant knowledge about crime opportunities (e.g., prior crimes versus prior victim or witness locations). The observed patterns for different activity locations and crime types broadly support a recently proposed extension to crime pattern theory and illustrate the benefits of differentiating activity location and crime types when examining criminal spatial behaviour. The results have implications for offender risk assessment and management, and geographic profiling in police investigations.",0882-0783,1936-6469,2023,38,1,172,185,http://dx.doi.org/10.1007/s11896-022-09540-8,Aug-22,22/02/2024
8,y,"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE","Properties, victims, and locations previously targeted by offenders have an increased risk of being targeted again within a short time period. It has been suggested that often the same offenders are involved in these repeated events and, thus, that offenders' prior crime location choices influence their subsequent crime location choices. This article examines repeated crime location choices, testing the hypothesis that offenders are more likely to commit a crime in an area they previously targeted than in areas they did not target before. Unique data from four different data sources are used to study the crime location choices of 3,666 offenders who committed 12,639 offenses. The results indicate that prior crime locations strongly influence subsequent crime location choices. The effects of prior crime locations are larger if the crimes are frequent, if they are recent, if they are nearby, and if they are the same type of crime.",0011-1384,1745-9125,2015,53,3,309,329,http://dx.doi.org/10.1111/1745-9125.12071,,22/02/2024
9,y,Modeling Micro-Level Crime Location Choice: Application of the Discrete Choice Framework to Crime at Places,"Discrete choice recently emerged as a new framework for analyzing criminal location decisions, but has thus far only been used to study the choice amongst large areas like census tracts. Because offenders also make target selection decisions at much lower levels of spatial aggregation, the present study analyzes the location choices of offenders at detailed spatial resolutions: the average unit of analysis is an area of only 18 residential units and 40 residents. This article reviews the discrete choice and spatial choice literature, justifies the use of geographic units this small, and argues that because small spatial units depend strongly on their environment, models are needed that take into account spatial interdependence. To illustrate these points, burglary location choice data from the Netherlands are analyzed with discrete choice models, including the spatial competition model.",0748-4518,1573-7799,2010,26,1,113,138,http://dx.doi.org/10.1007/s10940-009-9086-6,,22/02/2024
10,y,"Right place, right time? Making crime pattern theory time-specific","Objectives Crime pattern theory and the related empirical research have remained rather a-temporal, as if the timing of routine activities and crime plays no role. Building on previous geography of crime research, we extend crime pattern theory and propose that an offender's spatial knowledge acquired during daily routine activities is not equally applicable to all times of day. Methods We put this extended theory to a first empirical test by applying a discrete spatial choice model to detailed information from the Netherlands on 71 offences committed by 30 offenders collected through a unique online survey instrument. The offenders reported on their most important activity nodes and offence locations over the past year, as well as the specific times they regularly visited these locations. Results The results show that almost 40% of the offences are committed within the neighbourhoods of offenders' activity nodes, increasing to 85% when including first-, second- and third-order neighbourhoods. Though not statistically significant in our small sample, the results further suggest that offenders are more likely to commit crime in neighbourhoods they have regularly visited at the same time of day than in neighbourhoods they have regularly visited at different times of day. Conclusion Our extension of crime pattern theory is only tentatively supported. We argue for replication research with larger samples before any firm conclusions are warranted.",,2193-7680,2021,10,1,,,http://dx.doi.org/10.1186/s40163-021-00139-8,,22/02/2024
