crime_type,n,percentage
Residential burglary,13,27.1
Burglary,6,12.5
Street robbery,6,12.5
Any-crime-type offences,1,2.1
Breaking and entering,1,2.1
"Burglary, robbery, assault, theft from a vehicle",1,2.1
Commercial robberies,1,2.1
Graffiti writing,1,2.1
Group crime,1,2.1
Illicit drug dealing,1,2.1
"Residential and non-residential burglary, commercial and personal robbery, extra-familial sex offenses",1,2.1
Residential breaking and entering,1,2.1
Riot-related incidents,1,2.1
"Robberies, residential burglaries, thefts from vehicles, assaults",1,2.1
Robbery,1,2.1
Serious acquisitive crime,1,2.1
Snatching,1,2.1
Street theft crime,1,2.1
Terrorist attacks,1,2.1
Theft from the person,1,2.1
Theft from vehicles (TFV),1,2.1
"Various (residential burglary, theft of/from a bicycle, car or other (motor) vehicle, theft from a shop/shoplifting, theft (of an object) from a person, robbery, assault, vandalism)",1,2.1
"Various (violent offences, thefts, vandalism, drug trafficking, burglaries, robberies, weapons trafficking)",1,2.1
Various crime types analyzed,1,2.1
"Various crime types including residential burglary, non-residential burglary, commercial robbery, personal robbery, and extra-familial sex offenses",1,2.1
Various property and violent crimes,1,2.1
