Title,Year,Authors,Journal,DOI,Filename,Country,City_Region,Study_Area_Size,Crime_Type,Study_Period,Data_Collection_Period,SUoA_Type,SUoA_Size,Number_of_Units,Sample_Size,Number_of_Crimes_Analyzed,Discrete_Choice_Model,Software_Used,Main_Results,Demographic_Variables,Demographic_Count,Economic_Variables,Economic_Count,Environmental_Variables,Environmental_Count,Distance_Variables,Distance_Count,Temporal_Variables,Temporal_Count,Total_Variables
TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS *,2013,Peter Baudains; Alex Braithwaite; Shane D Johnson,NA,10.1111/1745,Baudains_2013_Target_Choice_During_Extreme_Events.pdf,United Kingdom,London,Not explicitly mentioned in km²,Riot,August 2011,August 2011 (implied),Lower Super Output Areas (LSOA),NA,"4,765","2,299 records with both residential and offense locations.","3,914 total riot",Conditional logit,STATA 10 SE,"Rioters' target choices were not random and were influenced by proximity to home, presence of schools, transport hubs, retail facilities, and previous rioting activity.",Population Churn Rates; Ethnic Heterogeneity; Number of Schools; Age Distribution; Propinquity; Social Disorganization,6,Index of Multiple Deprivation (IMD),1,Routine Activity Nodes; Transport Hubs; Retail Centers; Schools; River Thames,5,Home-to-crime distance; Distance to city center; Presence of underground station; Thames River barrier; Propinquity; Contagion measure,6,Prior Offenses; Propinquity; Contagion; Discrete Choice Approach; Population Churn Rates; Ethnic Heterogeneity; Deprivation; Population Density; McFadden Pseudo R-squared,9,27
a_discrete_spatial_choice_model_of_burglary_target.pdf,NA,NA,NA,NA,a_discrete_spatial_choice_model_of_burglary_target.pdf,Belgium,East Flanders,"nearly 3,000 km²",residential burglaries,2006,Up to 2012,House,Not specified,"503,589",650,650,Conditional logit,R,"Terraced houses, houses without a garage, houses without central heating or air",Population size; Age of burglars; Gender of burglars,3,Built Surface Area; Presence of Garage; Central Heating and Air-Conditioning,3,Construction Type; Presence of Garage; Central Heating and/or Air-Conditioning System; Number of Floors; Presence of Rooftop Living Floor; Built Surface Area,6,Journey-to-crime distance; Average journey-to-crime distance; Odds ratio for distance; Shortest travel path; Temporally optimized distance,5,Time period of recorded crime data; Date of Belgian Land Registry data; Study area; Bootstrapping procedure,4,21
Formal Evaluation of the Impact of Barriers and Connectors on Residential Burglars' Macro-Level Offending Location Choices,2009,Joseph Clare; John Fernandez; Frank Morgan,Journal of Research in Crime and Delinquency,NA,Clare et al. 2009.pdf,Australia,Perth,6.76 km² (average size of suburbs),Residential burglary,"January 1, 2001, to December 31, 2002",2001 and 2002,Residential suburbs,Average size of 6.76 km²,291,"1,761 single","1,761.",Conditional logit,NA,"Physical barriers and connectors significantly influence residential burglars' location choices. Barriers decrease the likelihood of selecting a target suburb, while connectors increase it.",Age; Indigenous Status; Sex; Population Size; Population Density; Ethnic Heterogeneity; Residential Mobility Rates; Total Residential Units,8,Victim Suburb Weekly Income; Socio-Economic Index for Areas (SEIFA); Median Weekly Income Bracket,3,Physical Barriers - Swan River; Physical Barriers - Major Roads; Connectors - Train Network; Land Use - Suburb Size; Land Use - Population Density,5,W ij; F ij; T ij; D ij; A i/J i,5,Time Period; Clustering,2,23
Investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model,2023,Han Yue; Lin Liu; Luzi Xiao; Y D Wei,NA,NA,Yue_2023_Investigating_the_effect_of_people_on_the_street.pdf,China,"ZG city, southeast China",NA,Street theft crime,2017,"2016, 2017, 2019",Administrative unit (Community),Not specified,1636,"2,519,440 observations.",1540 street theft crimes.,Conditional logit,NA,The inclusion of streetscape variables improves model performance in understanding location choice for street theft crime offenders.,Percent migrants; Number of people on the street,2,Percent migrants; Percent lowly-rent houses,2,Fences; Walls; Windows; Grass; Sidewalks; Plants; Number of people on the street; Commercial interfaces; Shops facing the street; Buildings along the street; Streetlights; Surveillance cameras; Trees; Lawns; ATMs; Banks; Subway stations; Bus stops; Schools; Hospitals,20,Offender Residence-Crime Proximity,1,Residence-crime proximity; Crime attractors; Crime generators; Crime detractors; Percent migrants; Percent lowly-rent houses,6,31
Target Selection Models with Preference Variation Between Offenders,NA,Michael Townsley; Daniel Birks; Stijn Ruiter; Wim Bernasco; Gentry White,NA,NA,Townsley_2009_TargetSelectionModels.pdf,Australia,Brisbane,158 Statistical Local Areas (SLAs),Residential burglary,2006,2006,Statistical Local Areas (SLAs),Not specified,158,2844 detected residential burglaries,2844,Mixed logit,R (RSGHB package),The study found considerable variation in location choice preferences among offenders. The mixed logit model showed a stronger influence of proximity variables compared to the conditional logit model.,Residential mobility; Social cohesion; Ethnicity/race; Collective efficacy,4,Mean housing repayment; Number of households,2,Target Vulnerability; City Center Proximity,2,Proximity to city center; Proximity; Distance to crime,3,NA,0,11
Effects of residential history on commercial robbers' crime location choices,2010,Wim Bernasco; Thessa Kooistra,NA,NA,Bernasco_Kooistra_2010_Effects_of_residential_history_on_commercial_robbers_crime_location_choices.pdf,Netherlands,Nationwide,4006 postal code areas,Commercial robbery,2004,NA,Postal code areas,Varies,4006,276 robberies used for hypothesis testing.,4657 initial robberies; 398 solitary offender robberies; 276 used for analysis.,Conditional logit,NA,"Offenders are more likely to commit crimes in areas where they have lived before, both currently and formerly.",Population density; Population size; Population percentages of 15-25-year-old; Foreign-born residents; Single residents,5,Mean value of residential property; Total floor area of retail businesses,2,Total floor area of retail businesses; Postal code area characteristics,2,Distance to the nearest highway ramp; Distance between current residence and crime location,2,"Total floor area of retail businesses; Distance to the nearest highway ramp; Mean value of residential property; Population density; Population size; Population percentages of 15-25-year-old, foreign-born, and single residents; Distance decay; Duration of residence",8,19
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,2018,Sabine E M Van Sleeuwen; Stijn Ruiter; Barbara Menting,NA,NA,NA,Netherlands,The greater The Hague area,2.96 km² (average area size per postal code),Not specified (multiple types analyzed),2006 to 2009,2006 to 2009,Administrative unit (four,Average area size of about 2.96 km²,142,"12,639 choice observations.","12,639 offenses.",Conditional logit,NA,"Offenders are more likely to commit crimes in areas they have previously targeted, especially at similar times and days.",Proportion of residents with a non-Western background; Proportion of single-person households; Population density,3,Proportion of residents with a non-Western background; Proportion of single-person households; Population density; Number of employees; Presence of facilities,5,Facilities,1,Euclidean distance; Distance within same postal code area; Accessibility based on distance; Spatial boundaries; Transportation network accessibility,5,Previous crime location on same weekday; Previous crime location on different weekday; Previous crime location on same weekend day; Previous crime location on different weekend day; Previous crime location on different week part; Previous crime location with a . . . hour difference; Offender's current or former residence; Distance from current residential area to the target area; Proportion of residents with a non-Western background; Proportion of single-person households; Population density; Number of employees; Presence of facilities,13,27
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,2010,Wim Bernasco,NA,10.1111/j.  1745,Bernasco_2010_Sentimental_Journey_to_Crime,Netherlands,Greater The Hague,NA,Multiple,2004,"Not explicitly mentioned, but inferred as during or after 2005",Administrative unit,varies,"approximately 4,000","3,784 offenders","7,179 offenses",Conditional logit (multinomial logit),NA,Offenders prefer to commit crimes in areas where they currently live or have lived in the past.,Population size; Percentage of single-person households; Level of urbanization; Birth; Death; Nationality; Marriage; Divorce; Childbirth; Residential addresses,10,Poverty level; Level of urbanization,2,NA,0,Distance from home to crime location; Distance to current area of residence; Shortest distance to former area of residence,3,Home Hypothesis; History Hypothesis; Recency Hypothesis; Duration Hypothesis; Proximity Hypothesis; Population Size; Percentage of Single-Person Households; Poverty Level; Level of Urbanization; Whether Offender Lives in the Area; Whether Offender Has Lived in the Area Before; Duration of Residence; Time Since Moved Out of the Area; Distance to Current Area of Residence; Distance to Former Area of Residence,15,30
Burglars blocked by barriers? The impact of physical and social barriers on residential burglars' target location choices in China,2021,Luzi Xiao; Stijn Ruiter; Lin Liu; Guangwen Song; Suhong Zhou,NA,NA,Xiao_2021_Burglars_blocked_by_barriers.pdf,China,ZG city,Average community size is 2.74 km,Residential burglary,January 2012 to June 2016,January 2012 to June 2016,Administrative unit (communities),Average size 2.74 km²; varies from 0.01 km² to 82.49 km²,2643,3860 choice observations or events.,3860 residential burglaries.,Conditional logit,Stata/MP version 15,Residential burglars are less likely to target areas on the other side of physical barriers like rivers and major roads. Local burglars prefer communities with a majority local population.,"Proportion of local residents with ZG city Hukou status; Community categorization by majority population type (local, domestic migrant, mixed); Social barriers based on Hukou status; Limited social network overlap; Number of households in a community",5,"Proportion of houses built after 2000; Average rent price; Rent categories (no rent, low, medium, high); Number of households",4,Proportion of high-rise buildings; Proportion of houses built after 2000; Natural log of the number of households; Average rent price,4,Physical Barriers; Distance Measure; Accessibility Measure,3,Time Period; Distance; Affluence Measures; Building Type; Household Count,5,21
FAMILY MATTERS: EFFECTS OF FAMILY MEMBERS' RESIDENTIAL AREAS ON CRIME LOCATION CHOICE *,NA,Barbara Menting; Marre Lammers; Stijn Ruiter; Wim Bernasco,NA,NA,Menting_2023_FamilyMatters.pdf,Netherlands,Greater The Hague area,2.96 km²,Not specified,2006,NA,Four,Average area size of 2.96 km² (range = 0.12 to 24.69 km²),142,"19,420 offenses.","19,420.",Conditional logit,NA,Residential areas of family members are at increased risk of being targeted by offenders.,Population density; Proportion of single-person households; Proportion of residents with a non-Western background; Average population size; Average area size; Urban nature of the study area; Ethnic diversity,7,"Population Density; Proportion of Single-Person Households; Proportion of Residents with a Non-Western Background; Number of Retail Stores; Number of Hotels Restaurants Bars; Number of Schools; Number of Culture, Health-Care, and Sports/Leisure Facilities; Number of People Working",8,"Retail stores; Bars/nightlife; Schools; Culture, health-care, and sports/leisure facilities; Guardianship",5,Euclidean Distance,1,"Previous Crime Location; Distance; Population Density; Single-Person Households; Non-Western Background; Retail Stores; Hotels Restaurants Bars; Schools; Culture, Health-Care, and Sports/Leisure Facilities; People Working",10,31
