Jurisdiction,n_studies,mean_size_km2,median_size_km2,sd_size_km2,min_size_km2,max_size_km2
Japan,1,0.025,0.025,NA,0.025,0.025
Northern Ireland,1,0.15,0.15,NA,0.15,0.15
Belgium,3,0.26366030333333335,8.4491e-4,0.4558236861481817,1.36e-4,0.79
United States,8,0.43042,0.216,0.5034809676641214,0.01968,1.36
United Kingdom,6,0.5914,0.385,0.7302715659259917,0.0284,2.04
New Zealand,3,1.524,1.41,0.3935835362410374,1.2,1.962
Netherlands,17,1.782452192352941,2.63,1.266582347817865,1.4227e-4,2.96
China,8,1.826,1.62,0.6289737673385115,0.958,2.81
India,1,2.18,2.18,NA,2.18,2.18
Australia,3,7.886666666666667,8.48,1.027683479157534,6.7,8.48
