model_type,n,percentage
Conditional logit model,23,46
Discrete choice model,8,16
Conditional logit,6,12
Multinomial logit,2,4
Conditional logistic regression,1,2
Conditional logit models,1,2
Conditional logit selection models,1,2
"Conditional logit, mixed logit, latent class logit",1,2
Discrete spatial choice approach,1,2
Discrete spatial choice model,1,2
Mixed logit model,1,2
Multinomial logit model,1,2
Multinomial logit model; Spatial competition model,1,2
Multinomial logit model; Universal logit model,1,2
Negative binomial regression,1,2
