statistical_method,n,percentage
Conditional logit model,10,19.6
Discrete choice model,5,9.8
Discrete spatial choice approach,5,9.8
Discrete choice modeling,3,5.9
Discrete spatial choice model,3,5.9
Discrete spatial choice models,3,5.9
Mixed logit model,3,5.9
Conditional logistic regression,2,3.9
Discrete choice framework,2,3.9
Discrete choice models,2,3.9
Discrete spatial choice modeling,2,3.9
Conditional logit selection model,1,2
Discrete choice theory,1,2
Discrete crime location choice models,1,2
Discrete location choice models,1,2
Discrete spatial choice modeling (DSCM),1,2
Discrete spatial crime location choice approach,1,2
Multinomial discrete choice model,1,2
Multinomial logit model,1,2
Random utility model,1,2
Regression analysis,1,2
Spatially lagged negative binomial regression,1,2
