statistical_method_clean,n_studies,mean_unit_size,median_unit_size
Conditional logit model,10,2.254284491,2.296
Discrete choice model,5,0.9686,0.7
Discrete spatial choice approach,5,2.4,0.79
Discrete choice modeling,3,0.8933333333333333,0.88
Discrete spatial choice model,3,1.9233786666666666,2.81
Discrete spatial choice models,3,2.4433333333333334,2.96
Mixed logit model,3,3.3761333333333337,1.62
Conditional logistic regression,2,0.075071135,0.075071135
Discrete choice framework,2,1.48984,1.48984
Discrete choice models,2,2.32,2.32
Discrete spatial choice modeling,2,1.62,1.62
Conditional logit selection model,1,1.62,1.62
Discrete choice theory,1,0.062,0.062
Discrete crime location choice models,1,2.18,2.18
Discrete location choice models,1,0.01968,0.01968
Discrete spatial choice modeling (DSCM),1,1.2,1.2
Discrete spatial crime location choice approach,1,0.51,0.51
Multinomial discrete choice model,1,0.032,0.032
Multinomial logit model,1,0.001545,0.001545
Random utility model,1,0.33,0.33
Regression analysis,1,0.65,0.65
Spatially lagged negative binomial regression,1,0.37,0.37
