year,statistical_method,n
2003,Regression analysis,1
2005,Conditional logit model,1
2006,Discrete choice theory,1
2007,Multinomial discrete choice model,1
2009,Conditional logit model,1
2009,Discrete choice model,1
2010,Discrete choice model,1
2013,Random utility model,1
2015,Discrete choice model,1
2015,Discrete spatial choice approach,3
2015,Discrete spatial crime location choice approach,1
2015,Multinomial logit model,1
2016,Discrete choice modeling,1
2017,Conditional logistic regression,1
2017,Mixed logit model,1
2018,Discrete choice model,1
2018,Discrete choice models,1
2018,Discrete spatial choice models,1
2018,Mixed logit model,1
2019,Conditional logistic regression,1
2019,Conditional logit model,1
2019,Discrete choice modeling,1
2019,Discrete spatial choice approach,1
2021,Conditional logit model,2
2021,Discrete crime location choice models,1
2021,Discrete spatial choice modeling,2
2021,Spatially lagged negative binomial regression,1
2022,Conditional logit selection model,1
2022,Discrete choice modeling,1
2023,Discrete spatial choice model,1
2023,Discrete spatial choice modeling (DSCM),1
2023,Discrete spatial choice models,1
2024,Conditional logit model,1
2024,Discrete choice model,1
"Not explicitly mentioned, but likely around 2011 based on references",Discrete choice framework,1
Not specified in the provided text,Mixed logit model,1
