study_id,distance_access,infrastructure,economic,land_use,other,social_behavioral,environmental,demographic,temporal_control
1,1,4,0,0,0,0,0,0,0
2,2,1,1,2,1,2,0,0,0
3,1,1,0,3,0,0,1,0,0
4,2,0,2,2,8,3,0,2,1
5,1,0,0,5,9,0,1,5,0
6,1,0,0,3,2,0,1,2,2
7,1,2,0,0,4,0,0,1,0
8,1,0,0,0,0,0,0,0,0
9,2,0,0,0,1,0,0,0,0
10,0,0,0,1,2,1,0,3,0
11,2,0,0,0,0,0,0,2,0
12,0,2,0,0,1,0,0,0,0
13,3,0,1,0,3,1,1,1,0
14,2,0,1,2,1,2,0,2,1
15,1,0,2,2,6,3,0,3,1
16,2,1,2,0,1,0,0,2,0
17,3,0,0,0,0,4,0,4,0
18,2,2,0,0,1,0,0,2,0
19,2,1,2,0,1,0,0,3,0
20,2,2,0,0,1,0,0,1,0
21,1,0,0,0,3,0,0,3,0
22,1,0,1,0,4,1,0,2,0
23,1,2,3,0,2,1,0,0,0
24,2,0,0,0,1,0,0,6,0
25,2,1,2,1,6,2,1,5,0
26,0,0,0,1,2,0,0,1,0
27,1,0,1,0,5,0,0,2,0
28,1,0,0,1,1,0,0,0,0
29,1,0,0,7,6,0,0,2,0
30,2,0,0,2,4,2,0,2,1
31,2,1,1,4,7,1,1,2,0
32,3,1,1,4,7,0,1,1,0
33,2,0,0,2,6,0,1,2,0
34,0,0,0,1,0,2,0,1,0
35,1,0,0,0,1,0,0,0,0
36,2,2,0,0,1,0,0,1,0
37,1,0,0,0,1,4,0,1,0
38,1,0,1,0,0,0,0,0,0
39,1,0,0,0,0,0,0,0,1
40,1,4,1,0,2,0,0,3,0
41,3,2,2,3,4,0,5,1,0
42,2,0,1,5,4,4,0,2,1
43,0,0,1,0,0,2,0,0,0
44,1,0,1,0,0,1,0,2,0
45,1,0,0,0,0,0,0,0,1
46,2,0,1,0,3,4,0,4,0
47,1,0,0,0,2,0,0,2,0
48,2,1,0,1,3,1,0,4,1
49,3,3,3,0,0,0,0,5,0
50,2,2,0,0,1,0,0,1,0
51,2,1,1,0,0,0,0,2,0
