study_id,variable_category,variable_name
14,demographic,Population churn rate
14,demographic,Ethnic diversity
14,economic,Deprivation (Index of Multiple Deprivation)
14,land_use,Presence of schools
14,land_use,Presence of retail facilities
14,distance_access,Distance from city center
14,distance_access,Distance from home location
14,social_behavioral,Previous offenses in the area
14,social_behavioral,Contagion (previous unrest)
14,temporal_control,Time of day (not explicitly mentioned but implied in the context of the study)
14,other,Presence of underground stations
49,demographic,Age
49,demographic,Indigenous status
49,demographic,Sex
49,demographic,Success — Transience
49,demographic,Success — Ethnic heterogeneity
49,economic,Affluence
49,economic,SEIFA index
49,economic,Success — Rent
49,infrastructure,Residential units
49,infrastructure,Barrier — River
49,infrastructure,Barrier — Road
49,distance_access,Connector — Train
49,distance_access,Distance — Adults
49,distance_access,Distance — Juveniles
41,demographic,Percent migrants
41,economic,Percent low-rent houses
41,economic,Economic variables
41,land_use,ATM and banks
41,land_use,Schools
41,land_use,Hospitals
41,infrastructure,Percent fence
41,infrastructure,Percent wall
41,distance_access,Proximity (distance from offender's residence)
41,distance_access,Proximity
41,distance_access,Distance/accessibility variables
41,environmental,Number of people on the street
41,environmental,Percent window
41,environmental,Percent grass
41,environmental,Percent plant
41,environmental,Percent sidewalk
41,other,Bus stops
41,other,Subway stations
41,other,Guard stations
41,other,Demographic variables
51,demographic,Number of households
51,demographic,Residential mobility
51,economic,Mean housing repayment
51,infrastructure,Proportion of single-family dwellings
51,distance_access,Proximity to city center
51,distance_access,Proximity
48,demographic,Population density
48,demographic,Age structure
48,demographic,Gender ratios
48,demographic,Household composition
48,land_use,Commercial area
48,infrastructure,Total floor area of retail businesses
48,distance_access,Distance to the nearest highway ramp
48,distance_access,Distance from offender's residence to crime location
48,social_behavioral,Residential history (duration and recency)
48,temporal_control,Time since last residence change
48,other,Mean value of residential property
48,other,Residential density
48,other,Target density
45,distance_access,Proximity
45,temporal_control,Temporal variables
46,demographic,Sex
46,demographic,Age
46,demographic,Population size
46,demographic,Percentage single-person households
46,economic,Poverty level
46,distance_access,Distance to current area of residence
46,distance_access,Distance to former area of residence
46,social_behavioral,Prior offenses
46,social_behavioral,Whether the offender lives in the area
46,social_behavioral,Whether the offender ever has lived in the area before
46,social_behavioral,Duration and recency of residence
46,other,Country of birth
46,other,Level of urbanization
46,other,Number of addresses per 10 years
40,demographic,Hukou status
40,demographic,Number of households
40,demographic,Community type based on Hukou status
40,economic,Rent price category
40,infrastructure,Proportion of high-rise buildings
40,infrastructure,Major roads with access control
40,infrastructure,Major roads without access control
40,infrastructure,Rivers
40,distance_access,-log(Distance)
40,other,Proportion of houses built after 2000
40,other,None explicitly mentioned
44,demographic,"Residential areas of family members (parents, siblings, children)"
44,demographic,Gender of offender and family members
44,economic,Current and former residential areas of offenders
44,distance_access,Distance to current residential area of offender
