Title,Study_Period,Data_Collection_Period,Country,City_Region,Study_Area_Size,Crime_Type,Sample_Size,Number_of_Crimes_Analyzed,Study_Design,Discrete_Choice_Model,Significant_Predictors,Effect_Directions,Data_Quality_Issues,Generalizability,Context_Specificity,Spatial_Scale_Recommendations
"""Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",2005-2014,"Not explicitly mentioned, but data was available up to 2011",Belgium,Ghent,approximately 156 km²,Burglary,679 burglaries.,679 burglaries.,Cross-sectional,Conditional logit,"Residential density, prior burglary activity, building construction type, number of residential units, rental status, distance from the offender's home.","Lower residential density, prior burglary activity, detached or single-unit buildings, renter-occupied residences, and proximity to the offender's home increase choice probability.",Potential selectivity in the sample due to selection criteria.,"Findings may not be generalizable to other contexts or cities beyond Ghent, Belgium.","Findings are specific to the context of Ghent, Belgium.",Not explicitly mentioned.
A SENTIMENTAL JOURNEY TO CRIME: EFFECTS OF RESIDENTIAL HISTORY ON CRIME LOCATION CHOICE*,2004-2005,"Not explicitly mentioned, but inferred as during or after 2005",Netherlands,Greater The Hague,NA,Multiple,"3,784 offenders","7,179 offenses",Cross-sectional,Conditional logit (multinomial logit),"Current and former residential areas, duration of residence, recency of moving, proximity to these areas.",Living in an area increases the likelihood of committing a crime there; current residence has a stronger effect than former residence.,Missing information on past home addresses could lead to conservative estimates.,Limited to the Netherlands; may not generalize to other countries or contexts.,Findings specific to the Netherlands.,Use more detailed data on activity patterns.
A Time for a Crime: Temporal Aspects of Repeat Offenders' Crime Location Choices,2006 to 2009,2006 to 2009,Netherlands,The greater The Hague area,2.96 km² (average area size per postal code),Not specified (multiple types analyzed),"12,639 choice observations.","12,639 offenses.",Cross-sectional,Conditional logit,Timing of previous offenses within the week and day.,Offenders are more likely to return to previously targeted areas at similar times and days.,Detection bias due to reliance on police data.,The findings may not generalize to nonarrested offenders due to potential differences in the probability of arrest.,"The study's findings are based on data from the Netherlands, which may have specific cultural, legal, or environmental factors.",NA
a_discrete_spatial_choice_model_of_burglary_target.pdf,2006-2012,Up to 2012,Belgium,East Flanders,"nearly 3,000 km²",residential burglaries,650,650,Cross-sectional,Conditional logit,"Type of house (terraced vs. semi-detached), presence of a garage, presence of central heating or air-conditioning, distance from the offender's home.","Terraced houses, houses without a garage, houses without central heating or air-conditioning increase choice probability; distance from the offender's home decreases choice probability.",Selection effects in recorded crime data may overrepresent local burglars and underestimate remote targets.,Limited to the Belgian province of East Flanders; focus on houses rather than apartments.,"Findings specific to East Flanders, Belgium.",Use finer spatial units like the house level.
Adolescent offenders' current whereabouts predict locations of their future crimes,Approximately 4 years,"October 2008 - May 2009 (first wave), November 2010 - June 2011 (second wave)",Netherlands,The Hague,NA,Not specified (multiple types),843 adolescents.,165.,Panel study,Conditional logit,Activity space and prior crime locations.,Increase choice probability.,Police data are incomplete due to underreporting and low clearance rates.,Findings may not generalize due to focus on adolescents and incomplete police data.,Findings specific to The Hague context.,Not mentioned.
Ambient population and surveillance cameras: The guardianship role in street robbers' crime location choice,2012-2016,12-18 May 2016 (for mobile phone data),China,ZG City,"1971 communities, average size of 1.62 km²",Street robbery,4358 street robbers.,"Implied to be related to 11,455 arrest records.",Cross-sectional,Conditional logit,Ambient population and surveillance cameras.,Negative for both ambient population and surveillance cameras.,"Only 7860 out of 11,455 arrest records had a home address in the city.",The study's findings are specific to ZG City and may not generalize to other urban areas.,The study is conducted in a specific urban context in China with unique characteristics such as rapid urbanization.,"The study uses community-level data, suggesting that future research should consider similar spatial scales for analyzing crime location choice."
"Assessing the Influence of Prior on Subsequent Street Robbery Location Choices: A Case Study in ZG City, China",2016,"Not explicitly mentioned, but likely around 2016",China,ZG City,Average size of 1.62 km² per community,Street robbery,1262 street robberies.,1262.,Panel,Mixed logit,"Time interval between robberies, not being arrested in the act of a prior robbery.",Shorter time intervals and not being arrested increase the likelihood of returning to the same location.,Difficulty in accessing crime data in China.,Findings may not be fully generalizable to other contexts due to unique Chinese social structure and spatial form.,"Findings are specific to ZG City, China, and may not apply universally due to differences in social cohesion and policing strategies.",Not explicitly mentioned.
AWARENESS × OPPORTUNITY: TESTING INTERACTIONS BETWEEN ACTIVITY NODES AND CRIMINAL OPPORTUNITY IN PREDICTING CRIME LOCATION CHOICE,2006-2009,2009,Netherlands,"The Hague, Rijswijk, and Leidschendam-Voorburg",1.68 km² (average area size),Any-crime-type offences,"13,088 choice observations.","13,088 crime incidents.",Cross-sectional,Conditional logit,"Residential areas of offenders and family, number of bars/restaurants/hotels, collective efficacy.",Residential areas increase targeting likelihood; high collective efficacy decreases it; bars/restaurants/hotels increase targeting in non-residential areas.,Not explicitly mentioned.,"Limited to three municipalities in the greater The Hague area in the Netherlands; may not be representative of other areas, especially rural ones.",Findings may not be applicable to rural areas.,Smaller spatial units may better fit theoretical models.
"BITING ONCE, TWICE: THE INFLUENCE OF PRIOR ON SUBSEQUENT CRIME LOCATION CHOICE *",2006-2009,"Not explicitly mentioned, but implied to be after the offenses were committed",Netherlands,The greater The Hague area,2.96 km² (average size of each postal code area),Multiple types,"12,639 choice observations or events.","12,639 offenses.",Longitudinal,Conditional logit,"Prior crime locations, distance to prior crime locations, recency of prior crimes, frequency of crimes in an area, type of crime.",Prior crime locations increase choice probability; distance to prior crime locations decreases choice probability.,Detection bias due to reliance on cleared offense data.,"Findings might not generalize to other regions, especially rural areas.",Findings are specific to the greater The Hague area.,The study suggests using larger areas to increase generalizability.
Burglar Target Selection: Australia Study (Brisbane),NA,NA,Australia,Brisbane,NA,Residential burglary,Not explicitly mentioned.,"Not explicitly mentioned, but incidents involving multiple offenders were removed (276, 94, and 247 crimes in The Hague, Birmingham, and Brisbane, respectively).",Cross-sectional,Conditional logit,"Proximity to home, proportion of single-family dwellings, number of households.",Positive for all significant predictors.,"Relies solely on cleared offense data, which may not accurately represent all criminal activity.",Limited by reliance on cleared offense data and assumptions about crime trip origins; need for more study regions.,"Findings specific to Brisbane, Australia context due to differences in target densities and Statistical Local Area characteristics.",Use consolidated models for statistical comparisons across different environments.
