master_title,clean_title,match_type
Residential burglary target selection: An analysis at the property-level using Google Street View,Residential burglary target selection: An analysis at the property-level using Google Street View,exact_normalized
Graffiti Writers Choose Locations That Optimize Exposure,Graffiti Writers Choose Locations That Optimize Exposure,exact_normalized
Go where the money is: Modeling street robbers' location choices,Go where the money is: modeling street robbers' location choices,exact_normalized
Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,Do Street Robbery Location Choices Vary Over Time of Day or Day of Week? A Test in Chicago,exact_normalized
The usefulness of past crime data as an attractiveness index for residential burglars,The usefulness of past crime data as an attractiveness index for residential burglars,exact_normalized
Role of the Street Network in Burglars' Spatial Decision-Making,ROLE OF THE STREET NETWORK IN BURGLARS' SPATIAL DECISION-MAKING *,exact_normalized
discrete choice analysis of spatial attack sites,Discrete choice analysis of spatial attack sites,exact_normalized
spatial analysis with preference specification of latent decision makers for criminal event prediction,Spatial analysis with preference specification of latent decision makers for criminal event prediction,exact_normalized
Modelling the spatial decision making of terrorists: The discrete choice approach,Modelling the spatial decision making of terrorists: the discrete choice approach,exact_normalized
Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model (LSOA),Testing Ecological Theories of Offender Spatial Decision Making Using a Discrete Choice Model,exact_normalized
Target Choice During Extreme Events: A Discrete Spatial Choice Model of the 2011 London Riots (LSOA),TARGET CHOICE DURING EXTREME EVENTS: A DISCRETE SPATIAL CHOICE MODEL OF THE 2011 LONDON RIOTS *,exact_normalized
Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,Situating Crime Pattern Theory Into The Explanation Of Co-Offending: Considering Area-Level Convergence Spaces,exact_normalized
Modelling taste heterogeneity regarding offence location choices (Census output area),Modelling taste heterogeneity regarding offence location choices,exact_normalized
Learning where to offend: Effects of past on future burglary locations (UK Census Lower Level Super Output Area (LSOA),LEARNING WHERE TO OFFEND EFFECTS OF PAST ON FUTURE BURGLARY LOCATIONS,exact_normalized
Co-offending and the Choice of Target Areas in Burglary,Co-offending and the Choice of Target Areas in Burglary,exact_normalized
How do residential burglars select target areas? : A new approach to the analysis of criminal location choice,HOW DO RESIDENTIAL BURGLARS SELECT TARGET AREAS? A New Approach to the Analysis of Criminal Location Choice,exact_normalized
Where offenders choose to attack: A discrete choice model of robberies in Chicago,WHERE OFFENDERS CHOOSE TO ATTACK: A DISCRETE CHOICE MODEL OF ROBBERIES IN CHICAGO*,exact_normalized
Location Location Location”: Effects of Neighborhood and House Attributes on Burglars’ Target Selection',"Location, Location, Location"": Effects of Neighborhood and House Attributes on Burglars' Target Selection",exact_normalized
familiar locations and similar activities examining the contributions of reliable and relevant knowledge in offenders crime location choices,Familiar Locations and Similar Activities: Examining the Contributions of Reliable and Relevant Knowledge in Offenders' Crime Location Choices,exact_normalized
Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,Traveling Alone or Together? Neighborhood Context on Individual and Group Juvenile and Adult Burglary Decisions,exact_normalized
Relationships Between Offenders’ Crime Locations and Different Prior Activity Locations as Recorded in Police Data,Relationships Between Offenders' Crime Locations and Different Prior Activity Locations as Recorded in Police Data,exact_normalized
